"","date","BC"
"1","2007-01-03",31.92
"2","2007-01-04",31.74
"3","2007-01-05",31.309999
"4","2007-01-08",30.02
"5","2007-01-09",30.049999
"6","2007-01-10",30.24
"7","2007-01-11",30.49
"8","2007-01-12",30.52
"9","2007-01-16",30.35
"10","2007-01-17",30.57
"11","2007-01-18",30.879999
"12","2007-01-19",31.450001
"13","2007-01-22",31.26
"14","2007-01-23",31.620001
"15","2007-01-24",31.9
"16","2007-01-25",33.349998
"17","2007-01-26",33.810001
"18","2007-01-29",33.310001
"19","2007-01-30",33.700001
"20","2007-01-31",34.110001
"21","2007-02-01",34.619999
"22","2007-02-02",34.599998
"23","2007-02-05",34.130001
"24","2007-02-06",34.09
"25","2007-02-07",33.860001
"26","2007-02-08",33.759998
"27","2007-02-09",33.23
"28","2007-02-12",32.900002
"29","2007-02-13",33
"30","2007-02-14",33.619999
"31","2007-02-15",33.299999
"32","2007-02-16",33.439999
"33","2007-02-20",33.75
"34","2007-02-21",34.080002
"35","2007-02-22",34.279999
"36","2007-02-23",34.080002
"37","2007-02-26",33.939999
"38","2007-02-27",32.220001
"39","2007-02-28",32.650002
"40","2007-03-01",32.77
"41","2007-03-02",32.16
"42","2007-03-05",31.68
"43","2007-03-06",32.52
"44","2007-03-07",32.900002
"45","2007-03-08",33.23
"46","2007-03-09",33.279999
"47","2007-03-12",33.169998
"48","2007-03-13",32.34
"49","2007-03-14",31.5
"50","2007-03-15",31.6
"51","2007-03-16",31.57
"52","2007-03-19",31.6
"53","2007-03-20",31.82
"54","2007-03-21",32.16
"55","2007-03-22",31.98
"56","2007-03-23",32.02
"57","2007-03-26",31.99
"58","2007-03-27",31.809999
"59","2007-03-28",31.469999
"60","2007-03-29",31.59
"61","2007-03-30",31.85
"62","2007-04-02",32.110001
"63","2007-04-03",32.369999
"64","2007-04-04",32.34
"65","2007-04-05",32.110001
"66","2007-04-09",32.119999
"67","2007-04-10",32.09
"68","2007-04-11",31.969999
"69","2007-04-12",30.639999
