"","date","MAT"
"1","2007-01-03",23.049999
"2","2007-01-04",23.120001
"3","2007-01-05",22.93
"4","2007-01-08",23.219999
"5","2007-01-09",23.34
"6","2007-01-10",23.43
"7","2007-01-11",23.559999
"8","2007-01-12",23.360001
"9","2007-01-16",23.07
"10","2007-01-17",23.33
"11","2007-01-18",23.25
"12","2007-01-19",23.51
"13","2007-01-22",23.610001
"14","2007-01-23",23.959999
"15","2007-01-24",24.040001
"16","2007-01-25",23.85
"17","2007-01-26",23.959999
"18","2007-01-29",23.969999
"19","2007-01-30",24.190001
"20","2007-01-31",24.360001
"21","2007-02-01",24.9
"22","2007-02-02",24.99
"23","2007-02-05",25.120001
"24","2007-02-06",25.389999
"25","2007-02-07",25.82
"26","2007-02-08",26.459999
"27","2007-02-09",26.030001
"28","2007-02-12",26.17
"29","2007-02-13",26.42
"30","2007-02-14",26.629999
"31","2007-02-15",26.709999
"32","2007-02-16",26.360001
"33","2007-02-20",26.93
"34","2007-02-21",27.360001
"35","2007-02-22",26.82
"36","2007-02-23",26.93
"37","2007-02-26",26.6
"38","2007-02-27",26.200001
"39","2007-02-28",26.01
"40","2007-03-01",26.450001
"41","2007-03-02",26.4
"42","2007-03-05",26.27
"43","2007-03-06",27.059999
"44","2007-03-07",26.889999
"45","2007-03-08",27.51
"46","2007-03-09",27.700001
"47","2007-03-12",27.73
"48","2007-03-13",27.379999
"49","2007-03-14",27.360001
"50","2007-03-15",27.809999
"51","2007-03-16",27.709999
"52","2007-03-19",27.66
"53","2007-03-20",28.15
"54","2007-03-21",28.610001
"55","2007-03-22",28.5
"56","2007-03-23",28.73
"57","2007-03-26",28.73
"58","2007-03-27",28.26
"59","2007-03-28",27.49
"60","2007-03-29",27.68
"61","2007-03-30",27.57
"62","2007-04-02",28.24
"63","2007-04-03",28.57
"64","2007-04-04",29.049999
"65","2007-04-05",29.65
"66","2007-04-09",29.280001
"67","2007-04-10",29.24
"68","2007-04-11",29.200001
"69","2007-04-12",28.780001
"70","2007-04-13",28.34
"71","2007-04-16",28.1
"72","2007-04-17",28.299999
"73","2007-04-18",28.379999
"74","2007-04-19",28.1
"75","2007-04-20",28.389999
"76","2007-04-23",28.639999
"77","2007-04-24",28.24
"78","2007-04-25",28.5
"79","2007-04-26",28.67
"80","2007-04-27",28.41
"81","2007-04-30",28.299999
"82","2007-05-01",28.59
"83","2007-05-02",28.809999
"84","2007-05-03",29.129999
"85","2007-05-04",29.129999
"86","2007-05-07",28.83
"87","2007-05-08",28.66
"88","2007-05-09",29.07
"89","2007-05-10",29.209999
"90","2007-05-11",29.23
"91","2007-05-14",29.049999
"92","2007-05-15",28.950001
"93","2007-05-16",28.559999
"94","2007-05-17",28.530001
"95","2007-05-18",28.83
"96","2007-05-21",28.700001
"97","2007-05-22",29.049999
"98","2007-05-23",28.709999
"99","2007-05-24",28.809999
"100","2007-05-25",28.48
"101","2007-05-29",28.41
"102","2007-05-30",27.68
"103","2007-05-31",28.01
"104","2007-06-01",28.35
