"","date","USPH"
"1","2007-01-03",12.06
"2","2007-01-04",12.07
"3","2007-01-05",12.15
"4","2007-01-08",12.13
"5","2007-01-09",12.25
"6","2007-01-10",12.73
"7","2007-01-11",12.78
"8","2007-01-12",12.98
"9","2007-01-16",13.13
"10","2007-01-17",13.23
"11","2007-01-18",13.13
"12","2007-01-19",13.34
"13","2007-01-22",13.55
"14","2007-01-23",13.25
"15","2007-01-24",13.25
"16","2007-01-25",13.54
"17","2007-01-26",13.58
"18","2007-01-29",13.65
"19","2007-01-30",13.85
"20","2007-01-31",14.1
"21","2007-02-01",14.35
"22","2007-02-02",14.25
"23","2007-02-05",14.03
"24","2007-02-06",13.91
"25","2007-02-07",13.75
"26","2007-02-08",13.84
"27","2007-02-09",13.75
"28","2007-02-12",13.52
"29","2007-02-13",14
"30","2007-02-14",14.11
"31","2007-02-15",14.43
"32","2007-02-16",14.49
"33","2007-02-20",14.44
"34","2007-02-21",14.47
"35","2007-02-22",14.2
"36","2007-02-23",14.32
"37","2007-02-26",14.21
"38","2007-02-27",13.82
"39","2007-02-28",13.51
"40","2007-03-01",13.36
"41","2007-03-02",13
"42","2007-03-05",13.05
"43","2007-03-06",13.01
"44","2007-03-07",12.92
"45","2007-03-08",13.03
"46","2007-03-09",13.78
"47","2007-03-12",13.77
"48","2007-03-13",13.88
"49","2007-03-14",13.9
"50","2007-03-15",14.07
"51","2007-03-16",14.04
"52","2007-03-19",13.69
"53","2007-03-20",13.79
"54","2007-03-21",13.91
"55","2007-03-22",13.99
"56","2007-03-23",13.95
"57","2007-03-26",13.96
"58","2007-03-27",13.97
"59","2007-03-28",14
"60","2007-03-29",13.97
"61","2007-03-30",13.92
"62","2007-04-02",14.1
"63","2007-04-03",14.75
"64","2007-04-04",15.27
"65","2007-04-05",15.61
"66","2007-04-09",15.59
"67","2007-04-10",15.21
"68","2007-04-11",15.5
"69","2007-04-12",15.5
"70","2007-04-13",15.49
"71","2007-04-16",15.5
"72","2007-04-17",15.5
"73","2007-04-18",15.42
"74","2007-04-19",15.28
"75","2007-04-20",15.17
"76","2007-04-23",15.2
"77","2007-04-24",14.84
"78","2007-04-25",14.52
"79","2007-04-26",14.6
"80","2007-04-27",14.68
"81","2007-04-30",14.6
"82","2007-05-01",14.51
