"","date","MPV"
"1","2007-01-03",15.02
"2","2007-01-04",14.95
"3","2007-01-05",15
"4","2007-01-08",15.4
"5","2007-01-09",15.75
"6","2007-01-10",15.67
"7","2007-01-11",15.85
"8","2007-01-12",15.65
"9","2007-01-16",16.02
"10","2007-01-17",15.81
"11","2007-01-18",16.110001
"12","2007-01-19",15.98
"13","2007-01-22",16.48
"14","2007-01-23",16.26
"15","2007-01-24",16.09
"16","2007-01-25",16.1
"17","2007-01-26",16.4
"18","2007-01-29",16.200001
"19","2007-01-30",16.33
"20","2007-01-31",16.32
"21","2007-02-01",16.190001
"22","2007-02-02",16.4
"23","2007-02-05",16.290001
"24","2007-02-06",16.41
"25","2007-02-07",16.379999
"26","2007-02-08",15.8
"27","2007-02-09",16.09
"28","2007-02-12",16.110001
"29","2007-02-13",15.73
"30","2007-02-14",15.9
"31","2007-02-15",15.82
"32","2007-02-16",15.81
"33","2007-02-20",15.99
"34","2007-02-21",16
"35","2007-02-22",15.91
"36","2007-02-23",15.9
"37","2007-02-26",16.1
"38","2007-02-27",15.99
"39","2007-02-28",15.91
"40","2007-03-01",16.110001
"41","2007-03-02",16.219999
"42","2007-03-05",16.799999
"43","2007-03-06",16.620001
"44","2007-03-07",16.610001
"45","2007-03-08",16.84
"46","2007-03-09",17.190001
"47","2007-03-12",16.85
"48","2007-03-13",16.299999
"49","2007-03-14",16.139999
"50","2007-03-15",16
"51","2007-03-16",16.07
"52","2007-03-19",16.35
"53","2007-03-20",16.450001
"54","2007-03-21",16.4
"55","2007-03-22",16.1
"56","2007-03-23",15.9
"57","2007-03-26",15.94
"58","2007-03-27",15.85
"59","2007-03-28",15.8
"60","2007-03-29",16.200001
"61","2007-03-30",16.209999
"62","2007-04-02",16.280001
"63","2007-04-03",16.15
"64","2007-04-04",16.299999
"65","2007-04-05",16.389999
"66","2007-04-09",16.15
"67","2007-04-10",16.1
"68","2007-04-11",16.17
"69","2007-04-12",16.01
"70","2007-04-13",16.129999
"71","2007-04-16",16.01
"72","2007-04-17",16.1
"73","2007-04-18",16
"74","2007-04-19",16.09
"75","2007-04-20",15.96
"76","2007-04-23",15.92
"77","2007-04-24",15.99
"78","2007-04-25",15.87
"79","2007-04-26",15.91
"80","2007-04-27",15.89
"81","2007-04-30",16
"82","2007-05-01",16.16
"83","2007-05-02",16.51
"84","2007-05-03",16.07
"85","2007-05-04",16.219999
"86","2007-05-07",16.24
"87","2007-05-08",16.07
"88","2007-05-09",15.92
"89","2007-05-10",15.9
"90","2007-05-11",15.9
"91","2007-05-14",15.89
"92","2007-05-15",15.86
"93","2007-05-16",15.89
