"","date","WEYS"
"1","2007-01-03",24.66
"2","2007-01-04",24.719999
"3","2007-01-05",23.26
"4","2007-01-08",22.950001
"5","2007-01-09",23.02
"6","2007-01-10",22.780001
"7","2007-01-11",23.18
"8","2007-01-12",23.43
"9","2007-01-16",23.190001
"10","2007-01-17",23.1
"11","2007-01-18",22.969999
"12","2007-01-19",23.16
"13","2007-01-22",23.07
"14","2007-01-23",23.09
"15","2007-01-24",23.35
"16","2007-01-25",23.049999
"17","2007-01-26",23.379999
"18","2007-01-29",23.27
"19","2007-01-30",23.889999
"20","2007-01-31",24.17
"21","2007-02-01",24.4
"22","2007-02-02",24.91
"23","2007-02-05",24.57
"24","2007-02-06",24.690001
"25","2007-02-07",24.950001
"26","2007-02-08",25.07
"27","2007-02-09",24.780001
"28","2007-02-12",24.93
"29","2007-02-13",24.690001
"30","2007-02-14",24.440001
"31","2007-02-15",24.23
"32","2007-02-16",23.940001
"33","2007-02-20",24.74
"34","2007-02-21",25.83
"35","2007-02-22",26.84
"36","2007-02-23",26.459999
"37","2007-02-26",26.26
"38","2007-02-27",25.700001
"39","2007-02-28",25.6
"40","2007-03-01",25.51
"41","2007-03-02",25.17
"42","2007-03-05",25.32
"43","2007-03-06",25.85
"44","2007-03-07",25.639999
"45","2007-03-08",25.360001
"46","2007-03-09",25.85
"47","2007-03-12",25.459999
"48","2007-03-13",25.24
"49","2007-03-14",25.92
"50","2007-03-15",26.5
"51","2007-03-16",25.59
"52","2007-03-19",25.309999
"53","2007-03-20",25.719999
"54","2007-03-21",26.209999
"55","2007-03-22",26.18
"56","2007-03-23",26.469999
"57","2007-03-26",26.57
"58","2007-03-27",25.9
"59","2007-03-28",25.58
"60","2007-03-29",25.59
"61","2007-03-30",25.98
"62","2007-04-02",25.299999
"63","2007-04-03",25.870001
"64","2007-04-04",25.5
"65","2007-04-05",25.450001
"66","2007-04-09",25.459999
"67","2007-04-10",25.200001
"68","2007-04-11",25.18
"69","2007-04-12",25.870001
"70","2007-04-13",25.780001
"71","2007-04-16",26.4
"72","2007-04-17",26.33
"73","2007-04-18",26.25
"74","2007-04-19",25.52
"75","2007-04-20",25.549999
"76","2007-04-23",25.67
"77","2007-04-24",25.67
"78","2007-04-25",25.92
"79","2007-04-26",25.76
"80","2007-04-27",25.83
"81","2007-04-30",24.379999
"82","2007-05-01",24.74
"83","2007-05-02",25.969999
"84","2007-05-03",26.52
"85","2007-05-04",25.99
"86","2007-05-07",25.620001
"87","2007-05-08",25.24
"88","2007-05-09",25.75
"89","2007-05-10",24.530001
"90","2007-05-11",25.1
"91","2007-05-14",24.75
"92","2007-05-15",24.870001
"93","2007-05-16",25.110001
"94","2007-05-17",24.85
"95","2007-05-18",24.559999
"96","2007-05-21",25.65
"97","2007-05-22",25.83
"98","2007-05-23",25.24
"99","2007-05-24",24.75
"100","2007-05-25",25.690001
"101","2007-05-29",26.110001
"102","2007-05-30",26.030001
"103","2007-05-31",25.9
"104","2007-06-01",25.83
"105","2007-06-04",25.82
"106","2007-06-05",25.35
"107","2007-06-06",25.120001
"108","2007-06-07",24.129999
"109","2007-06-08",24.01
"110","2007-06-11",24.030001
"111","2007-06-12",24.09
"112","2007-06-13",24.77
"113","2007-06-14",25.049999
"114","2007-06-15",25.379999
"115","2007-06-18",25.799999
"116","2007-06-19",26.23
"117","2007-06-20",25.24
"118","2007-06-21",25.200001
"119","2007-06-22",25.129999
"120","2007-06-25",25.65
"121","2007-06-26",26.58
"122","2007-06-27",27.98
"123","2007-06-28",27.48
"124","2007-06-29",26.93
"125","2007-07-02",26.98
"126","2007-07-03",27.450001
"127","2007-07-05",27.309999
"128","2007-07-06",27.08
"129","2007-07-09",26.66
"130","2007-07-10",25.469999
"131","2007-07-11",25.83
"132","2007-07-12",26.59
"133","2007-07-13",26.559999
"134","2007-07-16",26.219999
"135","2007-07-17",25.9
"136","2007-07-18",26.360001
"137","2007-07-19",26.610001
"138","2007-07-20",25.559999
"139","2007-07-23",25.32
"140","2007-07-24",24.120001
"141","2007-07-25",24.4
"142","2007-07-26",26.07
"143","2007-07-27",25.790001
"144","2007-07-30",24.639999
"145","2007-07-31",25.51
"146","2007-08-01",26.92
"147","2007-08-02",27.5
"148","2007-08-03",26.99
"149","2007-08-06",28.07
"150","2007-08-07",29.370001
"151","2007-08-08",29.76
"152","2007-08-09",28.82
"153","2007-08-10",29.719999
"154","2007-08-13",28.540001
"155","2007-08-14",28.049999
"156","2007-08-15",29.09
"157","2007-08-16",30.870001
"158","2007-08-17",32.48
"159","2007-08-20",31.129999
"160","2007-08-21",31.07
"161","2007-08-22",30.969999
"162","2007-08-23",28.91
"163","2007-08-24",29.540001
"164","2007-08-27",28.82
"165","2007-08-28",26.42
"166","2007-08-29",28.43
"167","2007-08-30",28.780001
"168","2007-08-31",29.459999
"169","2007-09-04",29.6
"170","2007-09-05",28.5
"171","2007-09-06",29.1
"172","2007-09-07",28.540001
"173","2007-09-10",29.02
"174","2007-09-11",29.98
"175","2007-09-12",29.950001
"176","2007-09-13",29.85
"177","2007-09-14",29.940001
"178","2007-09-17",29.639999
"179","2007-09-18",30.950001
"180","2007-09-19",31.6
"181","2007-09-20",33.099998
"182","2007-09-21",33.709999
"183","2007-09-24",33.290001
"184","2007-09-25",32.400002
"185","2007-09-26",32.110001
"186","2007-09-27",31.440001
"187","2007-09-28",31.41
"188","2007-10-01",31.6
"189","2007-10-02",32.400002
"190","2007-10-03",31.66
"191","2007-10-04",31.76
"192","2007-10-05",32
"193","2007-10-08",31.52
"194","2007-10-09",31.48
"195","2007-10-10",31.5
"196","2007-10-11",32.5
"197","2007-10-12",32.68
"198","2007-10-15",33
"199","2007-10-16",32.48
"200","2007-10-17",29.9
"201","2007-10-18",29.709999
"202","2007-10-19",29.360001
"203","2007-10-22",30.85
"204","2007-10-23",31.1
"205","2007-10-24",31.790001
"206","2007-10-25",30.629999
"207","2007-10-26",31.5
"208","2007-10-29",32.75
"209","2007-10-30",33.18
"210","2007-10-31",31.959999
"211","2007-11-01",27.92
"212","2007-11-02",26.629999
"213","2007-11-05",27.25
"214","2007-11-06",27.969999
"215","2007-11-07",26.879999
"216","2007-11-08",28.190001
"217","2007-11-09",27.540001
"218","2007-11-12",28
"219","2007-11-13",27.48
