"","date","APPF"
"1","2015-06-26",14.08
"2","2015-06-29",13.7
"3","2015-06-30",14.1
"4","2015-07-01",14
"5","2015-07-02",13.75
"6","2015-07-06",13.95
"7","2015-07-07",14.57
"8","2015-07-08",14.35
"9","2015-07-09",14.11
"10","2015-07-10",14.79
"11","2015-07-13",16.559999
"12","2015-07-14",15.78
"13","2015-07-15",17.35
"14","2015-07-16",17.200001
"15","2015-07-17",16.66
"16","2015-07-20",17.02
"17","2015-07-21",14.81
"18","2015-07-22",14.21
"19","2015-07-23",14.315
"20","2015-07-24",14.71
"21","2015-07-27",14.15
"22","2015-07-28",14.7
"23","2015-07-29",14.625
"24","2015-07-30",14.8
"25","2015-07-31",14.84
"26","2015-08-03",15.36
"27","2015-08-04",15.05
"28","2015-08-05",15.35
"29","2015-08-06",15.36
"30","2015-08-07",15.64
"31","2015-08-10",16.32
"32","2015-08-11",16.66
"33","2015-08-12",15.87
"34","2015-08-13",16.4
"35","2015-08-14",16.75
"36","2015-08-17",17.43
"37","2015-08-18",17.889999
"38","2015-08-19",17.690001
"39","2015-08-20",17.18
"40","2015-08-21",16.92
"41","2015-08-24",15.58
"42","2015-08-25",15.78
"43","2015-08-26",17.01
"44","2015-08-27",17
"45","2015-08-28",16.299999
"46","2015-08-31",16.01
"47","2015-09-01",15.22
"48","2015-09-02",15.7
"49","2015-09-03",16.85
"50","2015-09-04",17.200001
"51","2015-09-08",16.84
"52","2015-09-09",17.65
"53","2015-09-10",17.77
"54","2015-09-11",18.23
"55","2015-09-14",17.09
"56","2015-09-15",17.41
"57","2015-09-16",17
"58","2015-09-17",17.610001
"59","2015-09-18",16.98
"60","2015-09-21",17.75
"61","2015-09-22",17.469999
"62","2015-09-23",17.41
"63","2015-09-24",17.790001
"64","2015-09-25",17.51
"65","2015-09-28",17.620001
"66","2015-09-29",17.1
"67","2015-09-30",16.85
"68","2015-10-01",16.969999
"69","2015-10-02",16.77
"70","2015-10-05",17.299999
"71","2015-10-06",17.540001
"72","2015-10-07",18.299999
