"","date","CCO"
"1","2007-01-03",28.209999
"2","2007-01-04",29
"3","2007-01-05",29.129999
"4","2007-01-08",28.639999
"5","2007-01-09",29.129999
"6","2007-01-10",28.959999
"7","2007-01-11",29.18
"8","2007-01-12",29.709999
"9","2007-01-16",29.68
"10","2007-01-17",29.52
"11","2007-01-18",29.16
"12","2007-01-19",29.1
"13","2007-01-22",29.01
"14","2007-01-23",29.23
"15","2007-01-24",29.07
"16","2007-01-25",28.719999
"17","2007-01-26",28.92
"18","2007-01-29",28.82
"19","2007-01-30",28.950001
"20","2007-01-31",28.92
"21","2007-02-01",29.15
"22","2007-02-02",28.809999
"23","2007-02-05",28.4
"24","2007-02-06",28.450001
"25","2007-02-07",28.5
"26","2007-02-08",28.48
"27","2007-02-09",28.48
"28","2007-02-12",27.959999
"29","2007-02-13",28.01
"30","2007-02-14",28.42
"31","2007-02-15",28.360001
"32","2007-02-16",28.07
"33","2007-02-20",28.25
"34","2007-02-21",27.85
"35","2007-02-22",27.9
"36","2007-02-23",28.48
"37","2007-02-26",27.969999
"38","2007-02-27",26.860001
"39","2007-02-28",27.709999
"40","2007-03-01",27.9
"41","2007-03-02",27.860001
"42","2007-03-05",27.280001
"43","2007-03-06",26.85
"44","2007-03-07",26.709999
"45","2007-03-08",26.5
"46","2007-03-09",26.76
"47","2007-03-12",27.02
"48","2007-03-13",26.629999
"49","2007-03-14",26.5
"50","2007-03-15",26.309999
"51","2007-03-16",26.67
"52","2007-03-19",26.68
"53","2007-03-20",26.6
"54","2007-03-21",26.379999
"55","2007-03-22",26.809999
"56","2007-03-23",27
"57","2007-03-26",26.65
"58","2007-03-27",26.49
"59","2007-03-28",26.309999
"60","2007-03-29",26.43
"61","2007-03-30",26.309999
"62","2007-04-02",26.35
"63","2007-04-03",26.530001
"64","2007-04-04",26.889999
"65","2007-04-05",27.059999
"66","2007-04-09",26.860001
"67","2007-04-10",26.870001
"68","2007-04-11",27.1
"69","2007-04-12",27.1
"70","2007-04-13",27.209999
"71","2007-04-16",27.99
"72","2007-04-17",28.32
"73","2007-04-18",28.049999
"74","2007-04-19",28.620001
"75","2007-04-20",28.540001
"76","2007-04-23",28.66
"77","2007-04-24",28.559999
"78","2007-04-25",28.76
"79","2007-04-26",29.780001
"80","2007-04-27",29
"81","2007-04-30",28.549999
"82","2007-05-01",28.52
"83","2007-05-02",28.32
"84","2007-05-03",28.360001
"85","2007-05-04",28.780001
"86","2007-05-07",29.01
"87","2007-05-08",29.530001
"88","2007-05-09",29.51
"89","2007-05-10",29
"90","2007-05-11",29.129999
"91","2007-05-14",29.4
"92","2007-05-15",29.5
"93","2007-05-16",28.790001
"94","2007-05-17",28.690001
"95","2007-05-18",29
"96","2007-05-21",29.139999
"97","2007-05-22",29.33
