"","date","HPP"
"1","2010-06-24",17.4
"2","2010-06-25",17.610001
"3","2010-06-28",17.379999
"4","2010-06-29",17.33
"5","2010-06-30",17.25
"6","2010-07-01",17
"7","2010-07-02",16.99
"8","2010-07-06",16.709999
"9","2010-07-07",16.530001
"10","2010-07-08",16.389999
"11","2010-07-09",16.5
"12","2010-07-12",16.4
"13","2010-07-13",16.76
"14","2010-07-14",16.77
"15","2010-07-15",16.700001
"16","2010-07-16",16.549999
"17","2010-07-19",16
"18","2010-07-20",16.01
"19","2010-07-21",15.86
"20","2010-07-22",16.15
"21","2010-07-23",16.15
"22","2010-07-26",16.42
"23","2010-07-27",16.26
"24","2010-07-28",16.1
"25","2010-07-29",16.299999
"26","2010-07-30",16.459999
"27","2010-08-02",16.75
"28","2010-08-03",16.700001
"29","2010-08-04",16.77
"30","2010-08-05",16.6
"31","2010-08-06",16.639999
"32","2010-08-09",16.6
"33","2010-08-10",16.639999
"34","2010-08-11",16.27
"35","2010-08-12",16.27
"36","2010-08-13",16.59
"37","2010-08-16",16.5
"38","2010-08-17",16.6
"39","2010-08-18",16.43
"40","2010-08-19",16.58
"41","2010-08-20",16.66
"42","2010-08-23",16.48
"43","2010-08-24",16.35
"44","2010-08-25",16.41
"45","2010-08-26",16.35
"46","2010-08-27",16.48
"47","2010-08-30",16.299999
"48","2010-08-31",16.459999
"49","2010-09-01",16.5
"50","2010-09-02",16.360001
"51","2010-09-03",16.6
"52","2010-09-07",16.389999
"53","2010-09-08",16.48
"54","2010-09-09",16.370001
"55","2010-09-10",16.41
"56","2010-09-13",16.57
"57","2010-09-14",16.58
"58","2010-09-15",16.6
"59","2010-09-16",16.93
"60","2010-09-17",16.559999
"61","2010-09-20",16.93
"62","2010-09-21",16.93
"63","2010-09-22",16.700001
"64","2010-09-23",16.549999
"65","2010-09-24",16.200001
"66","2010-09-27",16.389999
"67","2010-09-28",16.08
"68","2010-09-29",16.15
"69","2010-09-30",16.370001
"70","2010-10-01",16.43
"71","2010-10-04",16.370001
"72","2010-10-05",16.34
"73","2010-10-06",16.52
"74","2010-10-07",16.309999
"75","2010-10-08",16.389999
"76","2010-10-11",16.299999
"77","2010-10-12",16.17
"78","2010-10-13",16.370001
"79","2010-10-14",16.290001
"80","2010-10-15",16.280001
"81","2010-10-18",16.25
"82","2010-10-19",16.040001
"83","2010-10-20",16.129999
"84","2010-10-21",16.1
"85","2010-10-22",16.120001
"86","2010-10-25",16.1
"87","2010-10-26",16.02
"88","2010-10-27",15.92
"89","2010-10-28",15.93
"90","2010-10-29",16
"91","2010-11-01",15.97
"92","2010-11-02",15.95
"93","2010-11-03",16
"94","2010-11-04",16.17
"95","2010-11-05",15.98
"96","2010-11-08",16.299999
"97","2010-11-09",15.76
"98","2010-11-10",15.98
"99","2010-11-11",16
"100","2010-11-12",15.9
"101","2010-11-15",15.98
"102","2010-11-16",15.6
"103","2010-11-17",15.7
"104","2010-11-18",15.65
"105","2010-11-19",15.51
"106","2010-11-22",15.6
"107","2010-11-23",15.71
"108","2010-11-24",15.79
"109","2010-11-26",15.9
"110","2010-11-29",15.79
"111","2010-11-30",15.26
"112","2010-12-01",15.27
"113","2010-12-02",15.41
"114","2010-12-03",15.46
"115","2010-12-06",15.31
"116","2010-12-07",15.39
"117","2010-12-08",15.36
"118","2010-12-09",15.32
"119","2010-12-10",15.4
"120","2010-12-13",15.29
"121","2010-12-14",15.18
"122","2010-12-15",15.13
"123","2010-12-16",15
"124","2010-12-17",15.1
"125","2010-12-20",14.99
"126","2010-12-21",14.99
"127","2010-12-22",15.01
"128","2010-12-23",15.1
"129","2010-12-27",15.1
"130","2010-12-28",14.9
"131","2010-12-29",14.69
"132","2010-12-30",14.8
"133","2010-12-31",15.05
"134","2011-01-03",15.21
"135","2011-01-04",15.11
"136","2011-01-05",15.19
"137","2011-01-06",15.17
"138","2011-01-07",15.15
"139","2011-01-10",15.15
"140","2011-01-11",15.16
"141","2011-01-12",15.21
"142","2011-01-13",15.14
"143","2011-01-14",15.22
"144","2011-01-18",15.19
"145","2011-01-19",15.12
"146","2011-01-20",14.93
"147","2011-01-21",14.62
"148","2011-01-24",14.77
"149","2011-01-25",14.74
"150","2011-01-26",14.86
"151","2011-01-27",14.97
"152","2011-01-28",14.59
"153","2011-01-31",14.68
"154","2011-02-01",14.7
"155","2011-02-02",14.5
"156","2011-02-03",14.6
"157","2011-02-04",14.57
"158","2011-02-07",14.47
"159","2011-02-08",14.4
"160","2011-02-09",14.27
"161","2011-02-10",14.31
"162","2011-02-11",14.85
"163","2011-02-14",14.75
"164","2011-02-15",14.77
"165","2011-02-16",14.75
"166","2011-02-17",14.86
"167","2011-02-18",14.9
"168","2011-02-22",14.76
"169","2011-02-23",14.75
"170","2011-02-24",15
"171","2011-02-25",15.27
"172","2011-02-28",15.05
"173","2011-03-01",15.1
"174","2011-03-02",15.12
"175","2011-03-03",15.3
"176","2011-03-04",15.17
"177","2011-03-07",15.01
"178","2011-03-08",15.2
"179","2011-03-09",15.08
"180","2011-03-10",14.58
"181","2011-03-11",14.58
"182","2011-03-14",14.37
"183","2011-03-15",14.13
"184","2011-03-16",14.72
"185","2011-03-17",14.27
"186","2011-03-18",14.39
"187","2011-03-21",14.52
"188","2011-03-22",14.49
"189","2011-03-23",14.4
"190","2011-03-24",14.34
"191","2011-03-25",14.27
"192","2011-03-28",14.18
"193","2011-03-29",14.31
"194","2011-03-30",14.35
"195","2011-03-31",14.7
"196","2011-04-01",14.73
"197","2011-04-04",14.61
"198","2011-04-05",14.36
"199","2011-04-06",14.38
"200","2011-04-07",14.36
"201","2011-04-08",14.36
"202","2011-04-11",14.33
"203","2011-04-12",14.14
"204","2011-04-13",14.25
"205","2011-04-14",14.04
"206","2011-04-15",14.36
"207","2011-04-18",13.97
"208","2011-04-19",13.97
"209","2011-04-20",14.06
"210","2011-04-21",14.28
"211","2011-04-25",14.28
"212","2011-04-26",14.19
"213","2011-04-27",14.62
"214","2011-04-28",14.95
"215","2011-04-29",14.98
"216","2011-05-02",14.98
"217","2011-05-03",14.95
"218","2011-05-04",14.94
"219","2011-05-05",15.06
"220","2011-05-06",15.2
"221","2011-05-09",15.19
"222","2011-05-10",15.62
"223","2011-05-11",15.4
"224","2011-05-12",15.5
"225","2011-05-13",15.35
"226","2011-05-16",15.63
