"","date","ST"
"1","2010-03-11",18.5
"2","2010-03-12",18.139999
"3","2010-03-15",17.9
"4","2010-03-16",17.9
"5","2010-03-17",18.15
"6","2010-03-18",18.370001
"7","2010-03-19",18.280001
"8","2010-03-22",18.290001
"9","2010-03-23",18.16
"10","2010-03-24",18
"11","2010-03-25",18
"12","2010-03-26",18
"13","2010-03-29",18.120001
"14","2010-03-30",18
"15","2010-03-31",17.959999
"16","2010-04-01",18.049999
"17","2010-04-05",18.02
"18","2010-04-06",17.959999
"19","2010-04-07",18.309999
"20","2010-04-08",18.5
"21","2010-04-09",19
"22","2010-04-12",19
"23","2010-04-13",19.040001
"24","2010-04-14",19.309999
"25","2010-04-15",19.42
"26","2010-04-16",19.24
"27","2010-04-19",19.07
"28","2010-04-20",19.85
"29","2010-04-21",20.5
"30","2010-04-22",20.790001
"31","2010-04-23",20.469999
"32","2010-04-26",20.120001
"33","2010-04-27",20.24
"34","2010-04-28",20.35
"35","2010-04-29",20.6
"36","2010-04-30",20
"37","2010-05-03",19.92
"38","2010-05-04",19.719999
"39","2010-05-05",19.610001
"40","2010-05-06",19
"41","2010-05-07",18.24
"42","2010-05-10",19.139999
"43","2010-05-11",18.870001
"44","2010-05-12",19.09
"45","2010-05-13",19.49
"46","2010-05-14",19.25
"47","2010-05-17",19.18
"48","2010-05-18",19.15
"49","2010-05-19",19
"50","2010-05-20",17.799999
"51","2010-05-21",17.719999
"52","2010-05-24",17.200001
"53","2010-05-25",16.59
"54","2010-05-26",16.469999
"55","2010-05-27",16.83
"56","2010-05-28",16.629999
"57","2010-06-01",16.440001
"58","2010-06-02",16.790001
"59","2010-06-03",16.83
"60","2010-06-04",16.549999
"61","2010-06-07",16.51
"62","2010-06-08",15.55
"63","2010-06-09",16.4
"64","2010-06-10",17.209999
"65","2010-06-11",17.469999
"66","2010-06-14",17.280001
"67","2010-06-15",17.299999
"68","2010-06-16",17.52
"69","2010-06-17",17.549999
"70","2010-06-18",18.059999
"71","2010-06-21",18.34
"72","2010-06-22",18.1
"73","2010-06-23",18
"74","2010-06-24",17.49
"75","2010-06-25",17.049999
"76","2010-06-28",17.15
"77","2010-06-29",15.96
"78","2010-06-30",15.99
"79","2010-07-01",15.96
"80","2010-07-02",16
"81","2010-07-06",16.5
"82","2010-07-07",16.27
"83","2010-07-08",16.08
"84","2010-07-09",16.1
"85","2010-07-12",16.059999
"86","2010-07-13",16.76
"87","2010-07-14",16.549999
"88","2010-07-15",16.84
"89","2010-07-16",16.58
"90","2010-07-19",16.26
"91","2010-07-20",16.6
"92","2010-07-21",16.6
"93","2010-07-22",16.360001
"94","2010-07-23",16.459999
"95","2010-07-26",16.35
"96","2010-07-27",16.299999
"97","2010-07-28",16.02
"98","2010-07-29",16
"99","2010-07-30",16.200001
"100","2010-08-02",16.51
"101","2010-08-03",16.58
"102","2010-08-04",16.75
"103","2010-08-05",16.66
"104","2010-08-06",16.57
"105","2010-08-09",17.75
"106","2010-08-10",17.459999
"107","2010-08-11",16.93
"108","2010-08-12",16.549999
"109","2010-08-13",16.75
"110","2010-08-16",17.059999
"111","2010-08-17",17.42
"112","2010-08-18",17.51
"113","2010-08-19",17.4
"114","2010-08-20",17.309999
"115","2010-08-23",17.1
"116","2010-08-24",16.76
"117","2010-08-25",16.379999
"118","2010-08-26",16.309999
"119","2010-08-27",16.9
"120","2010-08-30",16.870001
"121","2010-08-31",16.870001
"122","2010-09-01",17.690001
"123","2010-09-02",17.91
"124","2010-09-03",18.42
"125","2010-09-07",18.17
"126","2010-09-08",18.200001
"127","2010-09-09",18.459999
"128","2010-09-10",18.49
"129","2010-09-13",18.51
"130","2010-09-14",18.690001
"131","2010-09-15",19.040001
"132","2010-09-16",19.35
"133","2010-09-17",19.93
"134","2010-09-20",19.209999
"135","2010-09-21",18.879999
"136","2010-09-22",19.469999
"137","2010-09-23",19.530001
"138","2010-09-24",19.790001
"139","2010-09-27",19.780001
"140","2010-09-28",19.74
"141","2010-09-29",20.01
"142","2010-09-30",19.76
"143","2010-10-01",20.09
"144","2010-10-04",19.73
"145","2010-10-05",20.299999
"146","2010-10-06",20.280001
"147","2010-10-07",19.879999
"148","2010-10-08",20.629999
"149","2010-10-11",21
"150","2010-10-12",20.99
"151","2010-10-13",20.9
"152","2010-10-14",20.9
"153","2010-10-15",21
"154","2010-10-18",21.030001
"155","2010-10-19",21.08
"156","2010-10-20",21
"157","2010-10-21",21.49
"158","2010-10-22",21.690001
"159","2010-10-25",22
"160","2010-10-26",22
"161","2010-10-27",21.51
"162","2010-10-28",23.280001
"163","2010-10-29",23.15
"164","2010-11-01",22.719999
"165","2010-11-02",22.299999
"166","2010-11-03",23.24
"167","2010-11-04",22.950001
"168","2010-11-05",23.15
"169","2010-11-08",23.200001
"170","2010-11-09",23.26
"171","2010-11-10",23.74
"172","2010-11-11",24.200001
"173","2010-11-12",25.9
"174","2010-11-15",25.709999
"175","2010-11-16",25.540001
"176","2010-11-17",25.65
"177","2010-11-18",26.290001
"178","2010-11-19",27.25
"179","2010-11-22",27.700001
"180","2010-11-23",27.65
"181","2010-11-24",28.219999
"182","2010-11-26",28.27
"183","2010-11-29",28.42
"184","2010-11-30",27.799999
"185","2010-12-01",27.67
"186","2010-12-02",27.66
"187","2010-12-03",28.09
"188","2010-12-06",29
"189","2010-12-07",29.129999
"190","2010-12-08",29.280001
"191","2010-12-09",29
"192","2010-12-10",29
"193","2010-12-13",28.93
"194","2010-12-14",29.200001
"195","2010-12-15",28.860001
"196","2010-12-16",29.719999
"197","2010-12-17",30.01
"198","2010-12-20",30.110001
"199","2010-12-21",30.25
"200","2010-12-22",30.52
"201","2010-12-23",30.5
"202","2010-12-27",30.389999
"203","2010-12-28",30.280001
"204","2010-12-29",29.889999
"205","2010-12-30",30.18
"206","2010-12-31",30.110001
"207","2011-01-03",30.280001
"208","2011-01-04",30.43
"209","2011-01-05",30.450001
"210","2011-01-06",30.57
"211","2011-01-07",30.469999
"212","2011-01-10",30.82
"213","2011-01-11",31.58
"214","2011-01-12",31.5
"215","2011-01-13",31.200001
"216","2011-01-14",30.959999
"217","2011-01-18",31.129999
"218","2011-01-19",30.09
"219","2011-01-20",30.1
"220","2011-01-21",29.92
"221","2011-01-24",29.83
"222","2011-01-25",29.790001
"223","2011-01-26",30.09
"224","2011-01-27",31.32
"225","2011-01-28",31.01
"226","2011-01-31",31.51
"227","2011-02-01",32
"228","2011-02-02",32.419998
"229","2011-02-03",31.92
"230","2011-02-04",31.690001
"231","2011-02-07",32.029999
"232","2011-02-08",31.9
"233","2011-02-09",32
"234","2011-02-10",32.220001
"235","2011-02-11",32.41
"236","2011-02-14",32.18
"237","2011-02-15",31.65
"238","2011-02-16",32.029999
"239","2011-02-17",33.25
"240","2011-02-18",33.290001
"241","2011-02-22",33.200001
"242","2011-02-23",33.049999
"243","2011-02-24",33.040001
"244","2011-02-25",33.220001
"245","2011-02-28",33.099998
"246","2011-03-01",33.369999
"247","2011-03-02",33.419998
"248","2011-03-03",33.369999
"249","2011-03-04",33.330002
"250","2011-03-07",33.27
"251","2011-03-08",33.099998
"252","2011-03-09",33.02
"253","2011-03-10",32.580002
"254","2011-03-11",32.599998
"255","2011-03-14",32.119999
"256","2011-03-15",31.940001
"257","2011-03-16",32
"258","2011-03-17",32.41
"259","2011-03-18",32.799999
"260","2011-03-21",33.09
"261","2011-03-22",32.650002
"262","2011-03-23",32.310001
"263","2011-03-24",33.41
"264","2011-03-25",33.740002
"265","2011-03-28",33.66
"266","2011-03-29",33.5
"267","2011-03-30",34.119999
"268","2011-03-31",34.73
"269","2011-04-01",35.009998
"270","2011-04-04",35.049999
"271","2011-04-05",35.23
"272","2011-04-06",34.91
"273","2011-04-07",34.470001
"274","2011-04-08",34.560001
"275","2011-04-11",34.400002
"276","2011-04-12",33.82
"277","2011-04-13",32.990002
