"","date","NTRS"
"190","2007-10-03",67.510002
"191","2007-10-04",67.68
"192","2007-10-05",69.68
"193","2007-10-08",70.760002
"194","2007-10-09",72.059998
"195","2007-10-10",72.400002
"196","2007-10-11",70.620003
"197","2007-10-12",70.400002
"198","2007-10-15",69.769997
"199","2007-10-16",71.370003
"200","2007-10-17",69.260002
"201","2007-10-18",69.849998
"202","2007-10-19",68.650002
"203","2007-10-22",69.760002
"204","2007-10-23",72.290001
"205","2007-10-24",72.599998
"206","2007-10-25",72.980003
"207","2007-10-26",74.349998
"208","2007-10-29",74.769997
"209","2007-10-30",74.199997
"210","2007-10-31",75.209999
"211","2007-11-01",71.489998
"212","2007-11-02",72.839996
"213","2007-11-05",73.639999
"214","2007-11-06",76.720001
"215","2007-11-07",74.519997
"216","2007-11-08",76.160004
"217","2007-11-09",76.110001
"218","2007-11-12",76.879997
"219","2007-11-13",80.209999
"220","2007-11-14",78.519997
"221","2007-11-15",75.830002
"222","2007-11-16",76.32
"223","2007-11-19",75.010002
"224","2007-11-20",76.160004
"225","2007-11-21",74.75
"226","2007-11-23",76.940002
"227","2007-11-26",74.360001
"228","2007-11-27",75.879997
"229","2007-11-28",79.68
"230","2007-11-29",79.830002
"231","2007-11-30",80.989998
"232","2007-12-03",80.32
"233","2007-12-04",80.43
"234","2007-12-05",79.559998
"235","2007-12-06",79.980003
"236","2007-12-07",78.370003
"237","2007-12-10",80.230003
"238","2007-12-11",76.510002
"239","2007-12-12",77.550003
"240","2007-12-13",77.489998
"241","2007-12-14",75.410004
"242","2007-12-17",74.459999
"243","2007-12-18",74.32
"244","2007-12-19",75.279999
"245","2007-12-20",76.480003
"246","2007-12-21",77.379997
"247","2007-12-24",78.32
"248","2007-12-26",78.519997
"249","2007-12-27",77.169998
"250","2007-12-28",76.720001
"251","2007-12-31",76.580002
"252","2008-01-02",74.059998
"253","2008-01-03",76.059998
"254","2008-01-04",73.160004
"255","2008-01-07",73.629997
"256","2008-01-08",71.150002
"257","2008-01-09",72.989998
"258","2008-01-10",74.599998
"259","2008-01-11",74.150002
"260","2008-01-14",74
"261","2008-01-15",69.779999
"262","2008-01-16",72.529999
"263","2008-01-17",71.5
"264","2008-01-18",69.209999
"265","2008-01-22",69.989998
"266","2008-01-23",71.220001
"267","2008-01-24",70.230003
"268","2008-01-25",69.440002
"269","2008-01-28",70.529999
"270","2008-01-29",71.769997
"271","2008-01-30",72.279999
"272","2008-01-31",73.360001
"273","2008-02-01",73.800003
"274","2008-02-04",72.540001
"275","2008-02-05",69.669998
"276","2008-02-06",69.800003
"277","2008-02-07",72.220001
"278","2008-02-08",70.529999
"279","2008-02-11",70.589996
"280","2008-02-12",72.040001
"281","2008-02-13",72.980003
"282","2008-02-14",72.75
"283","2008-02-15",72.660004
"284","2008-02-19",71.230003
"285","2008-02-20",73.029999
"286","2008-02-21",71.400002
"287","2008-02-22",70.269997
"288","2008-02-25",72.279999
"289","2008-02-26",71.599998
"290","2008-02-27",71.349998
"291","2008-02-28",69.809998
"292","2008-02-29",67.629997
"293","2008-03-03",68.470001
"294","2008-03-04",68.860001
"295","2008-03-05",69.010002
"296","2008-03-06",66.440002
"297","2008-03-07",66.910004
"298","2008-03-10",65.300003
"299","2008-03-11",70.040001
"300","2008-03-12",68.120003
"301","2008-03-13",68.800003
"302","2008-03-14",66.080002
"303","2008-03-17",64.830002
"304","2008-03-18",70.230003
"305","2008-03-19",66.360001
"306","2008-03-20",69.599998
"307","2008-03-24",68.959999
"308","2008-03-25",70.019997
"309","2008-03-26",67.68
"310","2008-03-27",66.760002
"311","2008-03-28",65.529999
"312","2008-03-31",66.470001
"313","2008-04-01",71.190002
"314","2008-04-02",70.779999
"315","2008-04-03",71.660004
"316","2008-04-04",69.900002
"317","2008-04-07",70.269997
"318","2008-04-08",68.849998
"319","2008-04-09",66.849998
"320","2008-04-10",66.769997
"321","2008-04-11",67.220001
"322","2008-04-14",65
"323","2008-04-15",68.040001
"324","2008-04-16",72.279999
"325","2008-04-17",73.150002
"326","2008-04-18",72.910004
"327","2008-04-21",74.099998
"328","2008-04-22",73.43
