"","date","BELFB"
"1","2007-01-03",35
"2","2007-01-04",35.59
"3","2007-01-05",34.029999
"4","2007-01-08",34
"5","2007-01-09",34.049999
"6","2007-01-10",34.220001
"7","2007-01-11",34.48
"8","2007-01-12",34.459999
"9","2007-01-16",34.09
"10","2007-01-17",34.380001
"11","2007-01-18",34.139999
"12","2007-01-19",34.09
"13","2007-01-22",34
"14","2007-01-23",33.669998
"15","2007-01-24",33.34
"16","2007-01-25",32.700001
"17","2007-01-26",32.299999
"18","2007-01-29",32.099998
"19","2007-01-30",32.110001
"20","2007-01-31",32.48
"21","2007-02-01",32.84
"22","2007-02-02",32.540001
"23","2007-02-05",32.400002
"24","2007-02-06",33.040001
"25","2007-02-07",34
"26","2007-02-08",34.169998
"27","2007-02-09",33.68
"28","2007-02-12",33.75
"29","2007-02-13",33
"30","2007-02-14",32.810001
"31","2007-02-15",32.560001
"32","2007-02-16",32.400002
"33","2007-02-20",33.27
"34","2007-02-21",32.200001
"35","2007-02-22",33.029999
"36","2007-02-23",32.75
"37","2007-02-26",32.5
"38","2007-02-27",31.65
"39","2007-02-28",31.790001
"40","2007-03-01",31.83
"41","2007-03-02",31.690001
"42","2007-03-05",31.219999
"43","2007-03-06",32.200001
"44","2007-03-07",32.509998
"45","2007-03-08",32.259998
"46","2007-03-09",32.799999
"47","2007-03-12",32.259998
"48","2007-03-13",31.700001
"49","2007-03-14",33.560001
"50","2007-03-15",32.740002
"51","2007-03-16",32.599998
"52","2007-03-19",32.700001
"53","2007-03-20",32.700001
"54","2007-03-21",33.27
"55","2007-03-22",33.240002
"56","2007-03-23",37.98
"57","2007-03-26",38.25
"58","2007-03-27",38.599998
"59","2007-03-28",38.610001
"60","2007-03-29",38.549999
"61","2007-03-30",38.709999
"62","2007-04-02",38.91
"63","2007-04-03",39.060001
"64","2007-04-04",38.75
"65","2007-04-05",38.799999
"66","2007-04-09",38.73
"67","2007-04-10",38.740002
"68","2007-04-11",38.73
"69","2007-04-12",39.240002
"70","2007-04-13",39.439999
"71","2007-04-16",39.68
"72","2007-04-17",39.380001
"73","2007-04-18",38.900002
"74","2007-04-19",39.02
"75","2007-04-20",39.240002
"76","2007-04-23",39.880001
"77","2007-04-24",38.419998
"78","2007-04-25",37.5
"79","2007-04-26",35.849998
"80","2007-04-27",35.66
"81","2007-04-30",35.400002
"82","2007-05-01",36.279999
"83","2007-05-02",37.889999
"84","2007-05-03",38.189999
"85","2007-05-04",37.049999
"86","2007-05-07",36.560001
"87","2007-05-08",36.200001
"88","2007-05-09",36.130001
"89","2007-05-10",35.200001
"90","2007-05-11",36.400002
"91","2007-05-14",35.759998
"92","2007-05-15",35.25
"93","2007-05-16",34.380001
"94","2007-05-17",33.75
"95","2007-05-18",33.82
"96","2007-05-21",34.330002
"97","2007-05-22",34.700001
"98","2007-05-23",33.919998
"99","2007-05-24",33.419998
"100","2007-05-25",35.349998
"101","2007-05-29",35.650002
"102","2007-05-30",35.91
"103","2007-05-31",36.32
"104","2007-06-01",36.360001
