"","date","BSIG"
"1","2014-10-09",13.95
"2","2014-10-10",13.87
"3","2014-10-13",14
"4","2014-10-14",14
"5","2014-10-15",14
"6","2014-10-16",13.91
"7","2014-10-17",13.96
"8","2014-10-20",14.29
"9","2014-10-21",14.68
"10","2014-10-22",14.7
"11","2014-10-23",14.5
"12","2014-10-24",14.9
"13","2014-10-27",14.76
"14","2014-10-28",15
"15","2014-10-29",14.78
"16","2014-10-30",14.63
"17","2014-10-31",14.97
"18","2014-11-03",14.74
"19","2014-11-04",14.7
"20","2014-11-05",15.12
"21","2014-11-06",15.4
"22","2014-11-07",15.67
"23","2014-11-10",15.45
"24","2014-11-11",15.37
"25","2014-11-12",15.68
"26","2014-11-13",15.59
"27","2014-11-14",15.57
"28","2014-11-17",15.75
"29","2014-11-18",15.66
"30","2014-11-19",15.13
"31","2014-11-20",15.35
"32","2014-11-21",15.46
"33","2014-11-24",15.58
"34","2014-11-25",15.5
"35","2014-11-26",15.69
"36","2014-11-28",15.5
"37","2014-12-01",15.52
"38","2014-12-02",15.55
"39","2014-12-03",15.58
"40","2014-12-04",15.5
"41","2014-12-05",15.79
"42","2014-12-08",15.92
"43","2014-12-09",15.94
"44","2014-12-10",15.96
"45","2014-12-11",16.02
"46","2014-12-12",15.87
"47","2014-12-15",15.98
"48","2014-12-16",15.77
"49","2014-12-17",16.09
"50","2014-12-18",16.4
"51","2014-12-19",16.68
"52","2014-12-22",16.440001
"53","2014-12-23",16.23
"54","2014-12-24",16.16
"55","2014-12-26",16.25
"56","2014-12-29",16.25
"57","2014-12-30",16.219999
"58","2014-12-31",16.24
"59","2015-01-02",16.120001
"60","2015-01-05",15.9
"61","2015-01-06",15.47
"62","2015-01-07",15.54
"63","2015-01-08",15.51
"64","2015-01-09",15.4
"65","2015-01-12",15.4
"66","2015-01-13",15.64
"67","2015-01-14",15.55
"68","2015-01-15",15.56
"69","2015-01-16",15.77
"70","2015-01-20",16.049999
"71","2015-01-21",15.77
"72","2015-01-22",16.27
"73","2015-01-23",15.66
"74","2015-01-26",15.46
"75","2015-01-27",15.29
"76","2015-01-28",15.19
"77","2015-01-29",15.45
"78","2015-01-30",15.16
"79","2015-02-02",15.98
"80","2015-02-03",16.02
"81","2015-02-04",16.120001
"82","2015-02-05",16.200001
"83","2015-02-06",16
"84","2015-02-09",15.85
"85","2015-02-10",16
"86","2015-02-11",16.07
"87","2015-02-12",16.23
"88","2015-02-13",16.52
"89","2015-02-17",17.030001
"90","2015-02-18",16.879999
"91","2015-02-19",17.209999
"92","2015-02-20",17.200001
"93","2015-02-23",17.34
"94","2015-02-24",17.219999
"95","2015-02-25",17.01
"96","2015-02-26",17.209999
"97","2015-02-27",17.959999
"98","2015-03-02",17.76
"99","2015-03-03",17.82
"100","2015-03-04",17.530001
"101","2015-03-05",17.65
"102","2015-03-06",17.559999
"103","2015-03-09",17.48
"104","2015-03-10",17.41
"105","2015-03-11",17.27
"106","2015-03-12",17.719999
"107","2015-03-13",17.1
"108","2015-03-16",17.41
"109","2015-03-17",18.01
"110","2015-03-18",18
"111","2015-03-19",18.309999
"112","2015-03-20",18.780001
"113","2015-03-23",18.74
"114","2015-03-24",18.709999
"115","2015-03-25",18.26
"116","2015-03-26",17.959999
"117","2015-03-27",17.879999
"118","2015-03-30",18.049999
