"","date","DL"
"1","2008-07-30",6.63
"2","2008-07-31",6.15
"3","2008-08-01",6.36
"4","2008-08-04",6.45
"5","2008-08-05",6.45
"6","2008-08-06",6.44
"7","2008-08-07",6.44
"8","2008-08-08",6.39
"9","2008-08-11",6.35
"10","2008-08-12",6.18
"11","2008-08-13",6.12
"12","2008-08-14",6.15
"13","2008-08-15",6.05
"14","2008-08-18",5.26
"15","2008-08-19",5
"16","2008-08-20",5
"17","2008-08-21",4.85
"18","2008-08-22",4.55
"19","2008-08-25",4.15
"20","2008-08-26",3.7
"21","2008-08-27",3.65
"22","2008-08-28",3.8
"23","2008-08-29",4.08
"24","2008-09-02",4.75
"25","2008-09-03",4.68
"26","2008-09-04",4.41
"27","2008-09-05",4.7
"28","2008-09-08",4.45
"29","2008-09-09",4.2
"30","2008-09-10",4.1
"31","2008-09-11",4.18
"32","2008-09-12",3.89
"33","2008-09-15",3.7
"34","2008-09-16",3.6
"35","2008-09-17",3.21
"36","2008-09-18",3.75
"37","2008-09-19",4.26
"38","2008-09-22",3.8
"39","2008-09-23",3.8
"40","2008-09-24",3.35
"41","2008-09-25",3.53
"42","2008-09-26",3.75
"43","2008-09-29",3.75
"44","2008-09-30",4
"45","2008-10-01",4.25
"46","2008-10-02",4.5
"47","2008-10-03",4.49
"48","2008-10-06",4.24
"49","2008-10-07",4.27
"50","2008-10-08",4.35
"51","2008-10-09",4.25
"52","2008-10-10",4
"53","2008-10-13",4
"54","2008-10-14",4.03
"55","2008-10-15",4.13
"56","2008-10-16",4
"57","2008-10-17",3.7
"58","2008-10-20",3.8
"59","2008-10-21",3.84
"60","2008-10-22",4.1
"61","2008-10-23",4.04
"62","2008-10-24",3.93
"63","2008-10-27",3.72
"64","2008-10-28",3.5
"65","2008-10-29",3.5
"66","2008-10-30",3.57
"67","2008-10-31",3.51
"68","2008-11-03",3.75
"69","2008-11-04",3.85
"70","2008-11-05",3.85
"71","2008-11-06",4.05
"72","2008-11-07",4.05
"73","2008-11-10",3.93
"74","2008-11-11",3.8
"75","2008-11-12",3.84
"76","2008-11-13",3.9
"77","2008-11-14",3.84
"78","2008-11-17",3.7
"79","2008-11-18",3.31
"80","2008-11-19",2.5
"81","2008-11-20",3.04
"82","2008-11-21",2.7
"83","2008-11-24",2.49
"84","2008-11-25",2.7
"85","2008-11-26",3.1
"86","2008-11-28",3.19
"87","2008-12-01",3.07
"88","2008-12-02",3.28
"89","2008-12-03",3
"90","2008-12-04",3.35
"91","2008-12-05",3.01
"92","2008-12-08",3.2
"93","2008-12-09",3.11
"94","2008-12-10",3.36
"95","2008-12-11",3.5
"96","2008-12-12",3.7
"97","2008-12-15",4.29
"98","2008-12-16",3.84
"99","2008-12-17",4.03
"100","2008-12-18",4.35
"101","2008-12-19",4.25
"102","2008-12-22",3.51
"103","2008-12-23",3.31
"104","2008-12-24",3.08
"105","2008-12-26",3.8
"106","2008-12-29",3.74
"107","2008-12-30",3.6
"108","2008-12-31",3.98
"109","2009-01-02",4.19
"110","2009-01-05",4.01
"111","2009-01-06",4.35
"112","2009-01-07",4.28
"113","2009-01-08",4.17
"114","2009-01-09",4.21
"115","2009-01-12",4.25
"116","2009-01-13",4.35
"117","2009-01-14",4.1
"118","2009-01-15",4.15
"119","2009-01-16",4.21
"120","2009-01-20",4.1
"121","2009-01-21",4.18
"122","2009-01-22",4.16
"123","2009-01-23",4.08
"124","2009-01-26",4.07
"125","2009-01-27",4.08
"126","2009-01-28",4.35
"127","2009-01-29",4.36
"128","2009-01-30",4.36
"129","2009-02-02",4.4
"130","2009-02-03",4.46
"131","2009-02-04",4.74
"132","2009-02-05",4.65
"133","2009-02-06",4.9
"134","2009-02-09",4.9
"135","2009-02-10",4.9
"136","2009-02-11",4.7
"137","2009-02-12",4.61
"138","2009-02-13",4.82
"139","2009-02-17",4.37
"140","2009-02-18",4.53
"141","2009-02-19",4.87
"142","2009-02-20",4.82
"143","2009-02-23",4.87
"144","2009-02-24",4.77
"145","2009-02-25",4.9
"146","2009-02-26",4.84
"147","2009-02-27",4.83
"148","2009-03-02",4.63
"149","2009-03-03",4.95
"150","2009-03-04",5.03
"151","2009-03-05",5.11
"152","2009-03-06",5.11
"153","2009-03-09",5.5
"154","2009-03-10",5.41
"155","2009-03-11",5.48
"156","2009-03-12",5.6
"157","2009-03-13",5.46
"158","2009-03-16",5.54
"159","2009-03-17",5.54
"160","2009-03-18",5.5
"161","2009-03-19",5.58
"162","2009-03-20",5.64
"163","2009-03-23",5.98
"164","2009-03-24",5.58
"165","2009-03-25",5.85
"166","2009-03-26",5.94
"167","2009-03-27",5.85
"168","2009-03-30",5.57
"169","2009-03-31",5.44
"170","2009-04-01",5.54
"171","2009-04-02",5.62
"172","2009-04-03",5.71
"173","2009-04-06",5.53
"174","2009-04-07",5.55
"175","2009-04-08",5.73
"176","2009-04-09",6.13
"177","2009-04-13",5.91
"178","2009-04-14",6
"179","2009-04-15",5.9
"180","2009-04-16",6.15
"181","2009-04-17",6.24
"182","2009-04-20",5.96
"183","2009-04-21",5.9
"184","2009-04-22",5.97
"185","2009-04-23",6.01
"186","2009-04-24",6
"187","2009-04-27",5.9
"188","2009-04-28",5.9
"189","2009-04-29",5.9
"190","2009-04-30",5.83
"191","2009-05-01",5.78
"192","2009-05-04",5.3
"193","2009-05-05",5.06
"194","2009-05-06",4.6
"195","2009-05-07",4.35
"196","2009-05-08",4.49
"197","2009-05-11",5.15
"198","2009-05-12",4.98
"199","2009-05-13",4.6
"200","2009-05-14",4.57
"201","2009-05-15",4.8
"202","2009-05-18",5.95
"203","2009-05-19",5.76
"204","2009-05-20",5.7
"205","2009-05-21",5.61
"206","2009-05-22",5.53
"207","2009-05-26",5.15
"208","2009-05-27",5.44
"209","2009-05-28",5.8
"210","2009-05-29",5.79
"211","2009-06-01",5.55
"212","2009-06-02",5.82
"213","2009-06-03",6.3
"214","2009-06-04",6.3
"215","2009-06-05",6.5
"216","2009-06-08",6.45
"217","2009-06-09",6.58
"218","2009-06-10",6.44
"219","2009-06-11",6.52
"220","2009-06-12",6.51
"221","2009-06-15",6.49
"222","2009-06-16",6.49
"223","2009-06-17",6.6
"224","2009-06-18",6.57
"225","2009-06-19",6.5
"226","2009-06-22",6.5
"227","2009-06-23",6.22
"228","2009-06-24",6.45
"229","2009-06-25",6.03
"230","2009-06-26",6.36
"231","2009-06-29",8.9
"232","2009-06-30",7
"233","2009-07-01",7.08
"234","2009-07-02",6.6
"235","2009-07-06",6.5
"236","2009-07-07",6.57
"237","2009-07-08",6.51
"238","2009-07-09",6.5
"239","2009-07-10",6.52
"240","2009-07-13",6.51
"241","2009-07-14",6.91
"242","2009-07-15",7.1
"243","2009-07-16",7.25
"244","2009-07-17",7.42
"245","2009-07-20",7.45
"246","2009-07-21",7.48
"247","2009-07-22",7.81
"248","2009-07-23",8.17
"249","2009-07-24",8.13
"250","2009-07-27",8.04
"251","2009-07-28",8.04
"252","2009-07-29",8.09
"253","2009-07-30",8.04
"254","2009-07-31",8.08
"255","2009-08-03",8.1
"256","2009-08-04",8.06
"257","2009-08-05",8.06
"258","2009-08-06",8.1
"259","2009-08-07",8.06
"260","2009-08-10",8.05
"261","2009-08-11",8.05
"262","2009-08-12",8.07
"263","2009-08-13",8.06
"264","2009-08-14",8.09
"265","2009-08-17",7.98
"266","2009-08-18",8.06
"267","2009-08-19",8.03
"268","2009-08-20",8.06
"269","2009-08-21",8
"270","2009-08-24",8.06
"271","2009-08-25",8.02
"272","2009-08-26",7.99
"273","2009-08-27",7.85
"274","2009-08-28",7.7
"275","2009-08-31",7.4
"276","2009-09-01",7.31
"277","2009-09-02",7.25
"278","2009-09-03",7.6
"279","2009-09-04",7.7
"280","2009-09-08",7.85
"281","2009-09-09",7.84
"282","2009-09-10",7.7
"283","2009-09-11",7.8
