"","date","CAMT"
"1","2007-01-03",4.31
"2","2007-01-04",4.4
"3","2007-01-05",4.35
"4","2007-01-08",4.34
"5","2007-01-09",4.3
"6","2007-01-10",4.25
"7","2007-01-11",4.22
"8","2007-01-12",4.12
"9","2007-01-16",4.25
"10","2007-01-17",4.43
"11","2007-01-18",4.55
"12","2007-01-19",4.52
"13","2007-01-22",4.44
"14","2007-01-23",4.5
"15","2007-01-24",4.53
"16","2007-01-25",4.46
"17","2007-01-26",4.42
"18","2007-01-29",4.36
"19","2007-01-30",4.36
"20","2007-01-31",4.39
"21","2007-02-01",4.51
"22","2007-02-02",4.43
"23","2007-02-05",4.38
"24","2007-02-06",4.49
"25","2007-02-07",4.41
"26","2007-02-08",4.43
"27","2007-02-09",4.47
"28","2007-02-12",4.39
"29","2007-02-13",4.42
"30","2007-02-14",4.38
"31","2007-02-15",4.39
"32","2007-02-16",4.44
"33","2007-02-20",4.42
"34","2007-02-21",4.36
"35","2007-02-22",4.41
"36","2007-02-23",4.54
"37","2007-02-26",4.58
"38","2007-02-27",4.34
"39","2007-02-28",4.33
"40","2007-03-01",4.31
"41","2007-03-02",4.18
"42","2007-03-05",4.06
"43","2007-03-06",4.2
"44","2007-03-07",4.26
"45","2007-03-08",4.2
"46","2007-03-09",4.26
"47","2007-03-12",4.15
"48","2007-03-13",4.11
"49","2007-03-14",4.21
"50","2007-03-15",4.22
"51","2007-03-16",4.33
"52","2007-03-19",4.36
"53","2007-03-20",3.99
"54","2007-03-21",3.95
"55","2007-03-22",3.98
"56","2007-03-23",3.98
"57","2007-03-26",3.95
"58","2007-03-27",3.89
"59","2007-03-28",3.81
"60","2007-03-29",3.79
"61","2007-03-30",3.82
"62","2007-04-02",3.77
"63","2007-04-03",3.74
"64","2007-04-04",3.75
"65","2007-04-05",3.79
"66","2007-04-09",3.85
"67","2007-04-10",3.85
"68","2007-04-11",3.63
"69","2007-04-12",3.71
"70","2007-04-13",3.84
"71","2007-04-16",3.77
"72","2007-04-17",3.71
"73","2007-04-18",3.82
"74","2007-04-19",3.93
"75","2007-04-20",3.91
"76","2007-04-23",3.88
"77","2007-04-24",3.91
"78","2007-04-25",3.9
"79","2007-04-26",3.92
"80","2007-04-27",3.94
"81","2007-04-30",3.97
"82","2007-05-01",3.97
"83","2007-05-02",3.96
"84","2007-05-03",3.8
"85","2007-05-04",3.8
"86","2007-05-07",3.8
"87","2007-05-08",3.77
"88","2007-05-09",3.71
"89","2007-05-10",3.64
"90","2007-05-11",3.66
"91","2007-05-14",3.63
"92","2007-05-15",3.61
"93","2007-05-16",3.57
"94","2007-05-17",3.54
"95","2007-05-18",3.5
"96","2007-05-21",3.71
"97","2007-05-22",3.78
"98","2007-05-23",3.6
"99","2007-05-24",3.36
"100","2007-05-25",3.4
"101","2007-05-29",3.38
"102","2007-05-30",3.37
"103","2007-05-31",3.36
"104","2007-06-01",3.33
"105","2007-06-04",3.29
"106","2007-06-05",3.29
"107","2007-06-06",3.18
"108","2007-06-07",3.12
"109","2007-06-08",3.15
"110","2007-06-11",3.1
"111","2007-06-12",3.07
"112","2007-06-13",3.22
"113","2007-06-14",3.26
"114","2007-06-15",3.3
"115","2007-06-18",3.21
"116","2007-06-19",3.21
"117","2007-06-20",3.22
"118","2007-06-21",3.15
"119","2007-06-22",3.19
"120","2007-06-25",3.06
"121","2007-06-26",3.06
"122","2007-06-27",3.02
"123","2007-06-28",2.96
"124","2007-06-29",2.97
"125","2007-07-02",2.98
"126","2007-07-03",3.01
"127","2007-07-05",3.07
"128","2007-07-06",3
"129","2007-07-09",2.99
"130","2007-07-10",3.03
"131","2007-07-11",3.01
"132","2007-07-12",3.22
"133","2007-07-13",3.25
"134","2007-07-16",3.33
"135","2007-07-17",3.5
"136","2007-07-18",3.47
"137","2007-07-19",3.57
"138","2007-07-20",3.53
"139","2007-07-23",3.38
"140","2007-07-24",3.75
"141","2007-07-25",3.79
"142","2007-07-26",3.56
"143","2007-07-27",3.55
"144","2007-07-30",3.38
"145","2007-07-31",3.39
"146","2007-08-01",3.27
"147","2007-08-02",3.25
"148","2007-08-03",3.01
"149","2007-08-06",2.89
"150","2007-08-07",2.88
"151","2007-08-08",2.98
"152","2007-08-09",2.99
"153","2007-08-10",2.95
"154","2007-08-13",3.08
"155","2007-08-14",3.01
"156","2007-08-15",3.1
"157","2007-08-16",2.99
"158","2007-08-17",3.07
"159","2007-08-20",3
"160","2007-08-21",3.05
"161","2007-08-22",3.11
"162","2007-08-23",3.12
