"","date","JRSH"
"1","2018-05-04",8.59
"2","2018-05-07",9.46
"3","2018-05-08",9.5
"4","2018-05-09",10
"5","2018-05-10",9.7
"6","2018-05-11",9.5
"7","2018-05-14",9.03
"8","2018-05-15",9
"9","2018-05-16",9.04
"10","2018-05-17",9.27
"11","2018-05-18",8.96
"12","2018-05-21",8.99
"13","2018-05-22",8.91
"14","2018-05-23",9
"15","2018-05-24",8.39
"16","2018-05-25",9
"17","2018-05-29",8.25
"18","2018-05-30",7.52
"19","2018-05-31",7.62
"20","2018-06-01",7.65
"21","2018-06-04",7.58
"22","2018-06-05",7.71
"23","2018-06-06",7.97
"24","2018-06-07",7.76
"25","2018-06-08",7.76
"26","2018-06-11",8.05
"27","2018-06-12",7.92
"28","2018-06-13",8.26
"29","2018-06-14",7.8
"30","2018-06-15",8.69
"31","2018-06-18",9.01
"32","2018-06-19",9.3
"33","2018-06-20",9.3
"34","2018-06-21",8.747
"35","2018-06-22",8.7
"36","2018-06-25",8.34
"37","2018-06-26",8.46
"38","2018-06-27",6.81
"39","2018-06-28",7.32
"40","2018-06-29",7.38
"41","2018-07-02",6.93
"42","2018-07-03",6.7
"43","2018-07-05",6.74
"44","2018-07-06",5.91
"45","2018-07-09",6.89
"46","2018-07-10",7.19
"47","2018-07-11",7.34
"48","2018-07-12",7.2
"49","2018-07-13",7.11
"50","2018-07-16",6.81
"51","2018-07-17",6.06
"52","2018-07-18",6.08
"53","2018-07-19",6.323
"54","2018-07-20",6.25
"55","2018-07-23",6.15
"56","2018-07-24",6.201
"57","2018-07-25",6.04
"58","2018-07-26",6.149
"59","2018-07-27",6.006
"60","2018-07-30",6.01
"61","2018-07-31",6
"62","2018-08-01",6
"63","2018-08-02",6.12
"64","2018-08-03",6.232
"65","2018-08-06",6.249
"66","2018-08-07",6.29
"67","2018-08-08",6.5
"68","2018-08-09",6.555
"69","2018-08-10",7.527
"70","2018-08-13",7.435
"71","2018-08-14",7.15
"72","2018-08-15",7.2
"73","2018-08-16",7.285
"74","2018-08-17",7.285
"75","2018-08-20",7.28
"76","2018-08-21",7.06
"77","2018-08-22",7.1
"78","2018-08-23",6.85
"79","2018-08-24",6.85
"80","2018-08-27",6.8
"81","2018-08-28",6.87
"82","2018-08-29",6.7
"83","2018-08-30",6.3
"84","2018-08-31",6.3
"85","2018-09-04",6.6
"86","2018-09-05",6.34
"87","2018-09-06",6.3
"88","2018-09-07",6.05
"89","2018-09-10",6
"90","2018-09-11",6
"91","2018-09-12",5.84
"92","2018-09-13",5.38
"93","2018-09-14",5.6
"94","2018-09-17",5.37
"95","2018-09-18",5.49
"96","2018-09-19",5.13
"97","2018-09-20",5.1
"98","2018-09-21",5.21
"99","2018-09-24",5.3
"100","2018-09-25",5.5
"101","2018-09-26",5.81
"102","2018-09-27",6.49
"103","2018-09-28",6.45
"104","2018-10-01",6.5
"105","2018-10-02",6.41
"106","2018-10-03",6.39
"107","2018-10-04",6.2
"108","2018-10-05",5.38
"109","2018-10-08",5.469
"110","2018-10-09",5.5
"111","2018-10-10",5.25
"112","2018-10-11",5.638
"113","2018-10-12",5.85
"114","2018-10-15",5.7
"115","2018-10-16",5.912
"116","2018-10-17",5.7
"117","2018-10-18",5.75
"118","2018-10-19",6.1
"119","2018-10-22",6.13
"120","2018-10-23",6.13
"121","2018-10-24",5.897
"122","2018-10-25",6.21
"123","2018-10-26",6.2
"124","2018-10-29",5.86
"125","2018-10-30",5.7
"126","2018-10-31",5.74
"127","2018-11-01",5.9
"128","2018-11-02",6.3
"129","2018-11-05",5.87
"130","2018-11-06",6.22
"131","2018-11-07",6.45
"132","2018-11-08",8.23
"133","2018-11-09",7.92
"134","2018-11-12",7.59
