"","date","FLEX"
"1","2007-01-03",11.39
"2","2007-01-04",11.53
"3","2007-01-05",11.59
"4","2007-01-08",11.73
"5","2007-01-09",11.58
"6","2007-01-10",11.63
"7","2007-01-11",11.81
"8","2007-01-12",12.08
"9","2007-01-16",12.16
"10","2007-01-17",11.95
"11","2007-01-18",11.81
"12","2007-01-19",11.83
"13","2007-01-22",11.56
"14","2007-01-23",11.56
"15","2007-01-24",11.56
"16","2007-01-25",11.34
"17","2007-01-26",11.31
"18","2007-01-29",11.25
"19","2007-01-30",11.4
"20","2007-01-31",11.63
"21","2007-02-01",11.61
"22","2007-02-02",11.49
"23","2007-02-05",11.15
"24","2007-02-06",11.39
"25","2007-02-07",11.55
"26","2007-02-08",11.6
"27","2007-02-09",11.49
"28","2007-02-12",11.4
"29","2007-02-13",11.54
"30","2007-02-14",11.69
"31","2007-02-15",12.01
"32","2007-02-16",11.96
"33","2007-02-20",11.88
"34","2007-02-21",12.02
"35","2007-02-22",12.01
"36","2007-02-23",11.92
"37","2007-02-26",11.74
"38","2007-02-27",11.28
"39","2007-02-28",10.93
"40","2007-03-01",10.98
"41","2007-03-02",10.8
"42","2007-03-05",10.8
"43","2007-03-06",11.09
"44","2007-03-07",10.97
"45","2007-03-08",11
"46","2007-03-09",11.07
"47","2007-03-12",11.25
"48","2007-03-13",11.07
"49","2007-03-14",11.1
"50","2007-03-15",11.15
"51","2007-03-16",11.01
"52","2007-03-19",11.04
"53","2007-03-20",11.02
"54","2007-03-21",11.33
"55","2007-03-22",11.08
"56","2007-03-23",11.17
"57","2007-03-26",11.19
"58","2007-03-27",11.02
"59","2007-03-28",10.75
"60","2007-03-29",10.85
"61","2007-03-30",10.94
"62","2007-04-02",10.91
"63","2007-04-03",10.95
"64","2007-04-04",11.11
"65","2007-04-05",11.02
"66","2007-04-09",11.05
"67","2007-04-10",10.92
"68","2007-04-11",10.87
"69","2007-04-12",10.97
"70","2007-04-13",11.06
"71","2007-04-16",11.23
"72","2007-04-17",11.35
"73","2007-04-18",11.14
"74","2007-04-19",11.16
"75","2007-04-20",11.12
"76","2007-04-23",11.1
"77","2007-04-24",11.1
"78","2007-04-25",11.16
"79","2007-04-26",11.26
"80","2007-04-27",11.62
"81","2007-04-30",11.15
"82","2007-05-01",11.27
"83","2007-05-02",11.49
"84","2007-05-03",11.67
"85","2007-05-04",11.65
"86","2007-05-07",11.48
"87","2007-05-08",11.66
"88","2007-05-09",11.72
"89","2007-05-10",11.41
"90","2007-05-11",11.47
"91","2007-05-14",11.33
"92","2007-05-15",11.29
"93","2007-05-16",11.38
"94","2007-05-17",11.2
"95","2007-05-18",11.21
"96","2007-05-21",11.34
"97","2007-05-22",11.35
"98","2007-05-23",11.34
"99","2007-05-24",11.27
"100","2007-05-25",11.13
"101","2007-05-29",11.1
"102","2007-05-30",11.3
"103","2007-05-31",11.55
"104","2007-06-01",11.7
"105","2007-06-04",11.54
"106","2007-06-05",10.91
"107","2007-06-06",11.05
"108","2007-06-07",10.89
"109","2007-06-08",10.86
"110","2007-06-11",11.11
"111","2007-06-12",11.05
"112","2007-06-13",11.13
"113","2007-06-14",11.13
"114","2007-06-15",11.08
"115","2007-06-18",11.18
"116","2007-06-19",11.19
"117","2007-06-20",11.06
"118","2007-06-21",11.28
"119","2007-06-22",11.1
"120","2007-06-25",10.98
"121","2007-06-26",10.8
"122","2007-06-27",11.03
"123","2007-06-28",11.16
"124","2007-06-29",10.8
"125","2007-07-02",11.05
"126","2007-07-03",11.18
"127","2007-07-05",11.04
"128","2007-07-06",11.03
"129","2007-07-09",11.09
"130","2007-07-10",10.89
"131","2007-07-11",10.99
"132","2007-07-12",11.13
"133","2007-07-13",11.08
"134","2007-07-16",11.27
"135","2007-07-17",11.39
"136","2007-07-18",11.26
"137","2007-07-19",11.45
"138","2007-07-20",11.4
"139","2007-07-23",11.48
"140","2007-07-24",11.4
"141","2007-07-25",11.48
"142","2007-07-26",11.16
"143","2007-07-27",11.17
"144","2007-07-30",11.14
"145","2007-07-31",11.17
"146","2007-08-01",11.38
"147","2007-08-02",11.44
"148","2007-08-03",11.1
"149","2007-08-06",11.03
"150","2007-08-07",11.13
"151","2007-08-08",11.54
"152","2007-08-09",11.47
"153","2007-08-10",11.71
"154","2007-08-13",11.58
"155","2007-08-14",11.32
"156","2007-08-15",11.02
"157","2007-08-16",11.07
"158","2007-08-17",11.15
"159","2007-08-20",10.99
"160","2007-08-21",10.97
"161","2007-08-22",11.18
"162","2007-08-23",10.92
"163","2007-08-24",11.14
"164","2007-08-27",10.98
"165","2007-08-28",10.8
