"","date","RYAM"
"1","2014-06-16",40.650002
"2","2014-06-17",40
"3","2014-06-18",40.200001
"4","2014-06-19",39.09
"5","2014-06-20",38.299999
"6","2014-06-23",38
"7","2014-06-24",37.5
"8","2014-06-25",36.75
"9","2014-06-26",37
"10","2014-06-27",36.93
"11","2014-06-30",38.75
"12","2014-07-01",39.07
"13","2014-07-02",40.060001
"14","2014-07-03",43.25
"15","2014-07-07",42.380001
"16","2014-07-08",40.919998
"17","2014-07-09",41.740002
"18","2014-07-10",41.509998
"19","2014-07-11",41.619999
"20","2014-07-14",42.549999
"21","2014-07-15",43.490002
"22","2014-07-16",43.630001
"23","2014-07-17",43.23
"24","2014-07-18",41.990002
"25","2014-07-21",41.759998
"26","2014-07-22",41.040001
"27","2014-07-23",40.049999
"28","2014-07-24",39.939999
"29","2014-07-25",39.119999
"30","2014-07-28",38.290001
"31","2014-07-29",37.119999
"32","2014-07-30",33.360001
"33","2014-07-31",32.459999
"34","2014-08-01",33.5
"35","2014-08-04",33.639999
"36","2014-08-05",33.349998
"37","2014-08-06",33.220001
"38","2014-08-07",32.41
"39","2014-08-08",32.439999
"40","2014-08-11",33.279999
"41","2014-08-12",33.439999
"42","2014-08-13",34.060001
"43","2014-08-14",33.450001
"44","2014-08-15",32.290001
"45","2014-08-18",32.900002
"46","2014-08-19",33.189999
"47","2014-08-20",33.09
"48","2014-08-21",32.720001
"49","2014-08-22",32.669998
"50","2014-08-25",32.919998
"51","2014-08-26",32.970001
"52","2014-08-27",32.959999
"53","2014-08-28",32.970001
"54","2014-08-29",33.209999
"55","2014-09-02",32.849998
"56","2014-09-03",33.150002
"57","2014-09-04",32.709999
"58","2014-09-05",32.799999
"59","2014-09-08",33.009998
"60","2014-09-09",33.139999
"61","2014-09-10",32.470001
"62","2014-09-11",32.450001
"63","2014-09-12",31.99
"64","2014-09-15",31.030001
"65","2014-09-16",30.59
"66","2014-09-17",29.82
"67","2014-09-18",30.15
"68","2014-09-19",30.66
"69","2014-09-22",30.6
"70","2014-09-23",29.799999
"71","2014-09-24",29.049999
"72","2014-09-25",30.5
"73","2014-09-26",30.65
"74","2014-09-29",32.259998
"75","2014-09-30",32.91
"76","2014-10-01",33.099998
"77","2014-10-02",31.74
"78","2014-10-03",30.67
"79","2014-10-06",31.73
"80","2014-10-07",31.950001
"81","2014-10-08",32.860001
"82","2014-10-09",30.049999
"83","2014-10-10",29.92
"84","2014-10-13",29.83
"85","2014-10-14",29.93
"86","2014-10-15",29.83
"87","2014-10-16",29.700001
"88","2014-10-17",29.24
"89","2014-10-20",29.110001
"90","2014-10-21",29.08
"91","2014-10-22",28.77
"92","2014-10-23",28.83
"93","2014-10-24",29.1
"94","2014-10-27",29.6
"95","2014-10-28",30.33
"96","2014-10-29",28.389999
"97","2014-10-30",27.860001
"98","2014-10-31",28.530001
"99","2014-11-03",28.540001
"100","2014-11-04",28.030001
"101","2014-11-05",27.58
"102","2014-11-06",28.1
"103","2014-11-07",27.969999
"104","2014-11-10",26.18
"105","2014-11-11",25.059999
"106","2014-11-12",25.860001
"107","2014-11-13",25.26
"108","2014-11-14",25.76
"109","2014-11-17",25.860001
"110","2014-11-18",25.860001
"111","2014-11-19",25.93
"112","2014-11-20",25.700001
"113","2014-11-21",25.440001
"114","2014-11-24",25.34
"115","2014-11-25",25.33
"116","2014-11-26",25.09
"117","2014-11-28",24.65
"118","2014-12-01",24.51
"119","2014-12-02",24.620001
"120","2014-12-03",24.34
"121","2014-12-04",23.709999
"122","2014-12-05",23.280001
"123","2014-12-08",23.77
"124","2014-12-09",24.200001
"125","2014-12-10",23.540001
"126","2014-12-11",23.120001
"127","2014-12-12",22.51
"128","2014-12-15",21.68
"129","2014-12-16",21.82
"130","2014-12-17",22.700001
"131","2014-12-18",22.5
"132","2014-12-19",22.42
"133","2014-12-22",22.030001
"134","2014-12-23",22.34
"135","2014-12-24",22.41
"136","2014-12-26",22.4
"137","2014-12-29",22.5
"138","2014-12-30",22.42
"139","2014-12-31",22.299999
"140","2015-01-02",22.540001
"141","2015-01-05",22.959999
"142","2015-01-06",23.34
"143","2015-01-07",23.309999
"144","2015-01-08",23.77
"145","2015-01-09",23.280001
"146","2015-01-12",22.219999
"147","2015-01-13",21.73
"148","2015-01-14",21.35
"149","2015-01-15",21.15
"150","2015-01-16",21.51
"151","2015-01-20",21.809999
"152","2015-01-21",21.809999
"153","2015-01-22",21.639999
"154","2015-01-23",19.35
"155","2015-01-26",19.75
"156","2015-01-27",18.9
"157","2015-01-28",17.98
"158","2015-01-29",17.129999
"159","2015-01-30",17.120001
"160","2015-02-02",17.02
"161","2015-02-03",16.85
"162","2015-02-04",16.639999
"163","2015-02-05",17.290001
"164","2015-02-06",17.4
"165","2015-02-09",17.32
"166","2015-02-10",17.299999
"167","2015-02-11",17.35
"168","2015-02-12",17.219999
"169","2015-02-13",17.58
"170","2015-02-17",16.9
"171","2015-02-18",17.18
"172","2015-02-19",17.379999
"173","2015-02-20",17.450001
"174","2015-02-23",18.07
"175","2015-02-24",18.85
"176","2015-02-25",18.57
"177","2015-02-26",18.540001
"178","2015-02-27",18.559999
