"","date","CAN"
"1","2019-11-20",9
"2","2019-11-21",8.99
"3","2019-11-22",8.98
"4","2019-11-25",8.29
"5","2019-11-26",8.19
"6","2019-11-27",8.25
"7","2019-11-29",8.25
"8","2019-12-02",8.35
"9","2019-12-03",8.18
"10","2019-12-04",8.07
"11","2019-12-05",7.85
"12","2019-12-06",7.8
"13","2019-12-09",7.25
"14","2019-12-10",6.57
"15","2019-12-11",6.17
"16","2019-12-12",5.71
"17","2019-12-13",5.24
"18","2019-12-16",4.65
"19","2019-12-17",5.19
"20","2019-12-18",4.63
"21","2019-12-19",4.65
"22","2019-12-20",4.77
"23","2019-12-23",5.29
"24","2019-12-24",5.69
"25","2019-12-26",5.58
"26","2019-12-27",5.63
"27","2019-12-30",6.53
"28","2019-12-31",6.1
"29","2020-01-02",6.02
"30","2020-01-03",6.07
"31","2020-01-06",5.88
"32","2020-01-07",5.82
"33","2020-01-08",6.12
"34","2020-01-09",6.49
"35","2020-01-10",6.49
"36","2020-01-13",6.44
"37","2020-01-14",6.14
"38","2020-01-15",5.62
"39","2020-01-16",5.78
"40","2020-01-17",6
"41","2020-01-21",5.7
"42","2020-01-22",5.24
"43","2020-01-23",5.08
"44","2020-01-24",5.07
"45","2020-01-27",4.99
"46","2020-01-28",5.05
"47","2020-01-29",5.67
"48","2020-01-30",5.86
"49","2020-01-31",6
"50","2020-02-03",5.58
"51","2020-02-04",5.11
"52","2020-02-05",4.94
"53","2020-02-06",4.88
"54","2020-02-07",4.55
"55","2020-02-10",4.57
"56","2020-02-11",4.4
"57","2020-02-12",8.04
"58","2020-02-13",6.64
"59","2020-02-14",6.78
"60","2020-02-18",5.75
"61","2020-02-19",5.71
"62","2020-02-20",5.32
"63","2020-02-21",5.86
"64","2020-02-24",5.65
"65","2020-02-25",5.5
"66","2020-02-26",5.5
"67","2020-02-27",5.36
"68","2020-02-28",5.09
"69","2020-03-02",5.04
"70","2020-03-03",4.9
"71","2020-03-04",4.66
"72","2020-03-05",4.83
"73","2020-03-06",4.26
"74","2020-03-09",3.38
"75","2020-03-10",3.43
"76","2020-03-11",3.91
"77","2020-03-12",3.51
"78","2020-03-13",3.37
"79","2020-03-16",2.88
"80","2020-03-17",2.81
"81","2020-03-18",3.01
"82","2020-03-19",3.27
"83","2020-03-20",3.11
"84","2020-03-23",3.05
"85","2020-03-24",2.95
"86","2020-03-25",2.98
"87","2020-03-26",3.06
"88","2020-03-27",3.05
"89","2020-03-30",2.9
"90","2020-03-31",3.04
"91","2020-04-01",2.87
"92","2020-04-02",2.94
"93","2020-04-03",2.88
"94","2020-04-06",3.52
"95","2020-04-07",3.5
"96","2020-04-08",3.52
"97","2020-04-09",3.2
"98","2020-04-13",4.03
"99","2020-04-14",4.6
"100","2020-04-15",4.15
"101","2020-04-16",4.44
"102","2020-04-17",4.68
"103","2020-04-20",4.17
"104","2020-04-21",4.27
"105","2020-04-22",4.28
"106","2020-04-23",4.43
"107","2020-04-24",4.23
"108","2020-04-27",4.44
"109","2020-04-28",4.65
"110","2020-04-29",4.76
"111","2020-04-30",5.18
"112","2020-05-01",4.6
"113","2020-05-04",4.63
"114","2020-05-05",4.69
"115","2020-05-06",5.04
"116","2020-05-07",5.8
"117","2020-05-08",5.89
"118","2020-05-11",5.39
"119","2020-05-12",5.73
"120","2020-05-13",5.99
"121","2020-05-14",5.97
"122","2020-05-15",4.39
"123","2020-05-18",4.45
"124","2020-05-19",4.37
"125","2020-05-20",4.2
"126","2020-05-21",3.99
"127","2020-05-22",3.82
"128","2020-05-26",3.36
"129","2020-05-27",3
"130","2020-05-28",2.91
"131","2020-05-29",2.36
"132","2020-06-01",2.12
"133","2020-06-02",2.49
"134","2020-06-03",2.41
"135","2020-06-04",2.15
"136","2020-06-05",2.12
"137","2020-06-08",2.12
"138","2020-06-09",2.45
"139","2020-06-10",2.42
"140","2020-06-11",2.12
"141","2020-06-12",2.06
"142","2020-06-15",1.98
"143","2020-06-16",2.02
"144","2020-06-17",1.93
"145","2020-06-18",1.92
"146","2020-06-19",1.9
"147","2020-06-22",2.09
"148","2020-06-23",2.12
"149","2020-06-24",1.94
"150","2020-06-25",1.937
"151","2020-06-26",1.89
"152","2020-06-29",1.85
"153","2020-06-30",1.9
"154","2020-07-01",1.88
"155","2020-07-02",1.81
"156","2020-07-06",1.96
"157","2020-07-07",1.82
"158","2020-07-08",1.96
"159","2020-07-09",1.93
"160","2020-07-10",1.86
"161","2020-07-13",1.79
"162","2020-07-14",1.84
"163","2020-07-15",1.93
"164","2020-07-16",1.86
"165","2020-07-17",1.92
"166","2020-07-20",2.26
"167","2020-07-21",2.42
"168","2020-07-22",2.27
"169","2020-07-23",2.13
"170","2020-07-24",2.4
"171","2020-07-27",2.5
"172","2020-07-28",2.59
"173","2020-07-29",2.65
"174","2020-07-30",2.7
"175","2020-07-31",2.5
"176","2020-08-03",2.74
"177","2020-08-04",2.58
"178","2020-08-05",2.64
"179","2020-08-06",2.62
"180","2020-08-07",2.38
"181","2020-08-10",2.34
"182","2020-08-11",2.14
"183","2020-08-12",2.02
"184","2020-08-13",2.14
"185","2020-08-14",2.1
"186","2020-08-17",2.1
"187","2020-08-18",2.01
"188","2020-08-19",2.03
"189","2020-08-20",2.02
"190","2020-08-21",1.97
"191","2020-08-24",1.91
"192","2020-08-25",1.97
"193","2020-08-26",1.94
"194","2020-08-27",1.88
"195","2020-08-28",1.97
"196","2020-08-31",2.01
"197","2020-09-01",2.08
"198","2020-09-02",2.04
"199","2020-09-03",1.99
"200","2020-09-04",1.92
"201","2020-09-08",2.03
"202","2020-09-09",2.06
"203","2020-09-10",2.02
"204","2020-09-11",2
"205","2020-09-14",1.97
"206","2020-09-15",1.94
"207","2020-09-16",1.89
"208","2020-09-17",1.88
"209","2020-09-18",1.86
"210","2020-09-21",1.96
"211","2020-09-22",1.9
"212","2020-09-23",1.87
"213","2020-09-24",1.87
"214","2020-09-25",2
"215","2020-09-28",1.94
"216","2020-09-29",1.93
"217","2020-09-30",1.87
"218","2020-10-01",1.9
"219","2020-10-02",1.87
"220","2020-10-05",1.89
"221","2020-10-06",1.91
"222","2020-10-07",1.9
"223","2020-10-08",1.97
"224","2020-10-09",1.96
"225","2020-10-12",1.94
"226","2020-10-13",1.99
"227","2020-10-14",1.88
"228","2020-10-15",1.88
"229","2020-10-16",1.89
"230","2020-10-19",1.9
"231","2020-10-20",1.96
"232","2020-10-21",2.24
"233","2020-10-22",2.03
"234","2020-10-23",1.93
"235","2020-10-26",1.92
"236","2020-10-27",2.01
"237","2020-10-28",1.85
"238","2020-10-29",1.95
"239","2020-10-30",2.18
"240","2020-11-02",2.11
"241","2020-11-03",2.16
"242","2020-11-04",2.13
"243","2020-11-05",2.38
"244","2020-11-06",2.42
"245","2020-11-09",2.53
"246","2020-11-10",2.39
"247","2020-11-11",2.62
"248","2020-11-12",2.64
"249","2020-11-13",2.66
"250","2020-11-16",3.29
"251","2020-11-17",3.32
"252","2020-11-18",3.21
"253","2020-11-19",3.49
"254","2020-11-20",4.28
"255","2020-11-23",5.06
"256","2020-11-24",5.42
