"","date","IQ"
"1","2018-03-29",15.55
"2","2018-04-02",15.7
"3","2018-04-03",16
"4","2018-04-04",15.67
"5","2018-04-05",16.040001
"6","2018-04-06",16.02
"7","2018-04-09",16.41
"8","2018-04-10",17.41
"9","2018-04-11",18.07
"10","2018-04-12",19.040001
"11","2018-04-13",19.34
"12","2018-04-16",19.74
"13","2018-04-17",19.629999
"14","2018-04-18",18.950001
"15","2018-04-19",18.34
"16","2018-04-20",17.809999
"17","2018-04-23",18.24
"18","2018-04-24",18.530001
"19","2018-04-25",18.01
"20","2018-04-26",18.75
"21","2018-04-27",17.99
"22","2018-04-30",18.030001
"23","2018-05-01",17.6
"24","2018-05-02",17.299999
"25","2018-05-03",16.389999
"26","2018-05-04",16.17
"27","2018-05-07",16.34
"28","2018-05-08",16.719999
"29","2018-05-09",18.620001
"30","2018-05-10",20.719999
"31","2018-05-11",20.52
"32","2018-05-14",21.83
"33","2018-05-15",21.43
"34","2018-05-16",20.43
"35","2018-05-17",20.33
"36","2018-05-18",20.08
"37","2018-05-21",20.26
"38","2018-05-22",22.52
"39","2018-05-23",23
"40","2018-05-24",22.940001
"41","2018-05-25",22.790001
"42","2018-05-29",23.08
"43","2018-05-30",25.709999
"44","2018-05-31",25.299999
"45","2018-06-01",28.459999
"46","2018-06-04",29.190001
"47","2018-06-05",29.26
"48","2018-06-06",29
"49","2018-06-07",30.85
"50","2018-06-08",32.82
"51","2018-06-11",34.509998
"52","2018-06-12",34.52
"53","2018-06-13",34.75
"54","2018-06-14",40.509998
"55","2018-06-15",40.16
"56","2018-06-18",43.93
"57","2018-06-19",42.580002
"58","2018-06-20",44.200001
"59","2018-06-21",38.830002
"60","2018-06-22",36.290001
"61","2018-06-25",32.880001
"62","2018-06-26",36.029999
"63","2018-06-27",31.219999
"64","2018-06-28",31.950001
"65","2018-06-29",32.299999
"66","2018-07-02",32.799999
"67","2018-07-03",32.98
"68","2018-07-05",31.190001
"69","2018-07-06",29.92
"70","2018-07-09",31.82
"71","2018-07-10",31.17
"72","2018-07-11",31.639999
"73","2018-07-12",35.040001
"74","2018-07-13",33.950001
"75","2018-07-16",36.93
"76","2018-07-17",37
"77","2018-07-18",35.959999
"78","2018-07-19",32.650002
"79","2018-07-20",33.27
"80","2018-07-23",32.439999
"81","2018-07-24",31.6
"82","2018-07-25",33.529999
"83","2018-07-26",33.029999
"84","2018-07-27",32.150002
"85","2018-07-30",30.74
"86","2018-07-31",32.02
"87","2018-08-01",32.09
"88","2018-08-02",30.42
"89","2018-08-03",28.5
"90","2018-08-06",29.110001
"91","2018-08-07",30.139999
"92","2018-08-08",29.1
"93","2018-08-09",29.17
"94","2018-08-10",29.4
"95","2018-08-13",28.469999
"96","2018-08-14",26.889999
"97","2018-08-15",26.129999
"98","2018-08-16",26.02
"99","2018-08-17",26.379999
"100","2018-08-20",28.09
"101","2018-08-21",29
"102","2018-08-22",28.809999
"103","2018-08-23",28.610001
"104","2018-08-24",28.65
"105","2018-08-27",31.120001
"106","2018-08-28",30.5
"107","2018-08-29",30.389999
"108","2018-08-30",29.440001
"109","2018-08-31",28.9
"110","2018-09-04",28.52
"111","2018-09-05",27.16
"112","2018-09-06",27
"113","2018-09-07",27.16
"114","2018-09-10",26.940001
"115","2018-09-11",26.690001
"116","2018-09-12",28.59
"117","2018-09-13",30.290001
"118","2018-09-14",28.559999
"119","2018-09-17",26.84
"120","2018-09-18",26.33
"121","2018-09-19",27.719999
"122","2018-09-20",27.43
"123","2018-09-21",26.25
"124","2018-09-24",25.889999
"125","2018-09-25",26.5
"126","2018-09-26",27
"127","2018-09-27",27.75
"128","2018-09-28",27.07
"129","2018-10-01",26.91
"130","2018-10-02",26.469999
"131","2018-10-03",26.889999
"132","2018-10-04",25.309999
"133","2018-10-05",25.49
"134","2018-10-08",26.440001
"135","2018-10-09",25.959999
"136","2018-10-10",24.6
"137","2018-10-11",24.870001
"138","2018-10-12",26
"139","2018-10-15",26.1
"140","2018-10-16",25.93
"141","2018-10-17",24.809999
"142","2018-10-18",24.459999
"143","2018-10-19",23.57
"144","2018-10-22",23.870001
"145","2018-10-23",23.17
"146","2018-10-24",22.4
"147","2018-10-25",22.549999
"148","2018-10-26",22.059999
"149","2018-10-29",21.370001
"150","2018-10-30",22.200001
"151","2018-10-31",19.639999
"152","2018-11-01",22.27
"153","2018-11-02",21.129999
"154","2018-11-05",21.16
"155","2018-11-06",21.48
"156","2018-11-07",21.950001
"157","2018-11-08",20.870001
"158","2018-11-09",20
"159","2018-11-12",19.57
"160","2018-11-13",20.32
"161","2018-11-14",20.4
"162","2018-11-15",21.08
"163","2018-11-16",20.799999
"164","2018-11-19",19.530001
"165","2018-11-20",19.09
"166","2018-11-21",20.360001
"167","2018-11-23",19.700001
"168","2018-11-26",20.129999
"169","2018-11-27",19.870001
"170","2018-11-28",19.92
"171","2018-11-29",19.209999
"172","2018-11-30",20.309999
"173","2018-12-03",20.73
"174","2018-12-04",19.58
"175","2018-12-06",19.84
"176","2018-12-07",18.52
"177","2018-12-10",18.01
"178","2018-12-11",18.02
"179","2018-12-12",18.41
"180","2018-12-13",18.299999
"181","2018-12-14",17.700001
"182","2018-12-17",16.57
"183","2018-12-18",16.34
"184","2018-12-19",15.61
"185","2018-12-20",15.58
"186","2018-12-21",14.94
"187","2018-12-24",15.1
"188","2018-12-26",15.63
"189","2018-12-27",15.45
"190","2018-12-28",15.37
"191","2018-12-31",14.87
"192","2019-01-02",15.22
"193","2019-01-03",14.8
"194","2019-01-04",16.24
"195","2019-01-07",17.219999
"196","2019-01-08",16.98
"197","2019-01-09",17.290001
"198","2019-01-10",18.16
"199","2019-01-11",17.82
"200","2019-01-14",16.709999
"201","2019-01-15",16.75
"202","2019-01-16",17.030001
"203","2019-01-17",17.559999
"204","2019-01-18",18.5
"205","2019-01-22",17.73
"206","2019-01-23",18.290001
"207","2019-01-24",18.969999
"208","2019-01-25",19.950001
"209","2019-01-28",19.459999
"210","2019-01-29",19.139999
"211","2019-01-30",19.379999
"212","2019-01-31",20.120001
"213","2019-02-01",20.120001
"214","2019-02-04",20.49
"215","2019-02-05",21.23
"216","2019-02-06",21.290001
"217","2019-02-07",20
"218","2019-02-08",20.629999
"219","2019-02-11",20.83
"220","2019-02-12",21.25
"221","2019-02-13",21.6
"222","2019-02-14",22
"223","2019-02-15",21.799999
"224","2019-02-19",22.34
"225","2019-02-20",22.6
"226","2019-02-21",22.76
"227","2019-02-22",27.700001
"228","2019-02-25",27.01
"229","2019-02-26",26.83
"230","2019-02-27",26.77
"231","2019-02-28",27.16
"232","2019-03-01",27.15
"233","2019-03-04",26.66
"234","2019-03-05",27.459999
"235","2019-03-06",26.969999
"236","2019-03-07",26.379999
"237","2019-03-08",25.360001
"238","2019-03-11",26.23
"239","2019-03-12",26.379999
"240","2019-03-13",26.41
"241","2019-03-14",25.67
"242","2019-03-15",27.02
"243","2019-03-18",27.42
"244","2019-03-19",27.33
"245","2019-03-20",26.41
"246","2019-03-21",26.02
"247","2019-03-22",25.02
"248","2019-03-25",24.02
"249","2019-03-26",22.870001
"250","2019-03-27",22.709999
"251","2019-03-28",22.719999
"252","2019-03-29",23.92
"253","2019-04-01",24.790001
"254","2019-04-02",24.4
"255","2019-04-03",23.98
"256","2019-04-04",23.48
"257","2019-04-05",23.48
"258","2019-04-08",23.379999
"259","2019-04-09",23.879999
"260","2019-04-10",24.129999
"261","2019-04-11",23.32
"262","2019-04-12",23.700001
"263","2019-04-15",22.440001
"264","2019-04-16",22.950001
"265","2019-04-17",22.9
"266","2019-04-18",23.195
"267","2019-04-22",23.98
"268","2019-04-23",23.799999
"269","2019-04-24",22.82
"270","2019-04-25",22.969999
"271","2019-04-26",21.9
"272","2019-04-29",21.98
"273","2019-04-30",22.110001
"274","2019-05-01",22.200001
"275","2019-05-02",22.4
"276","2019-05-03",23.01
"277","2019-05-06",22.42
"278","2019-05-07",21.969999
"279","2019-05-08",21.559999
"280","2019-05-09",21.51
"281","2019-05-10",20.959999
"282","2019-05-13",20.01
"283","2019-05-14",20.32
"284","2019-05-15",20.27
"285","2019-05-16",20.379999
"286","2019-05-17",19.040001
"287","2019-05-20",18.34
"288","2019-05-21",19.299999
"289","2019-05-22",18.700001
"290","2019-05-23",18.809999
