"","date","POLA"
"1","2016-12-07",9
"2","2016-12-08",8.6
"3","2016-12-09",8.87
"4","2016-12-12",8.22
"5","2016-12-13",7.93
"6","2016-12-14",8.72
"7","2016-12-15",9.02
"8","2016-12-16",9.15
"9","2016-12-19",9.35
"10","2016-12-20",10.03
"11","2016-12-21",10.3
"12","2016-12-22",10.11
"13","2016-12-23",10.04
"14","2016-12-27",9.73
"15","2016-12-28",8.73
"16","2016-12-29",8.94
"17","2016-12-30",8.95
"18","2017-01-03",8.6
"19","2017-01-04",8.37
"20","2017-01-05",8.36
"21","2017-01-06",8.4
"22","2017-01-09",8.33
"23","2017-01-10",8.29
"24","2017-01-11",8.19
"25","2017-01-12",7.96
"26","2017-01-13",8.18
"27","2017-01-17",7.96
"28","2017-01-18",7.71
"29","2017-01-19",8.12
"30","2017-01-20",8.18
"31","2017-01-23",8.18
"32","2017-01-24",8.17
"33","2017-01-25",8.17
"34","2017-01-26",8.35
"35","2017-01-27",8.12
"36","2017-01-30",8.22
"37","2017-01-31",8.3
"38","2017-02-01",8.13
"39","2017-02-02",7.82
"40","2017-02-03",7.89
"41","2017-02-06",7.95
"42","2017-02-07",7.95
"43","2017-02-08",7.9
"44","2017-02-09",8.25
"45","2017-02-10",8.42
"46","2017-02-13",8.95
"47","2017-02-14",8.76
"48","2017-02-15",8.92
"49","2017-02-16",9.15
"50","2017-02-17",8.91
"51","2017-02-21",8.91
"52","2017-02-22",8.82
"53","2017-02-23",9.01
"54","2017-02-24",9.07
"55","2017-02-27",9.03
"56","2017-02-28",8.72
"57","2017-03-01",8.8
"58","2017-03-02",8.16
"59","2017-03-03",8.74
"60","2017-03-06",9.23
"61","2017-03-07",9.15
"62","2017-03-08",9.09
"63","2017-03-09",8.93
"64","2017-03-10",8.9
"65","2017-03-13",9.3
"66","2017-03-14",9.05
"67","2017-03-15",8.49
"68","2017-03-16",8.11
"69","2017-03-17",7.64
"70","2017-03-20",8
"71","2017-03-21",8.16
"72","2017-03-22",8.1
"73","2017-03-23",7.97
"74","2017-03-24",8.13
"75","2017-03-27",8.22
"76","2017-03-28",8.18
"77","2017-03-29",8.08
"78","2017-03-30",8.06
"79","2017-03-31",8.3
"80","2017-04-03",8.58
"81","2017-04-04",8.89
"82","2017-04-05",8.93
"83","2017-04-06",8.93
"84","2017-04-07",9.11
"85","2017-04-10",8.77
"86","2017-04-11",8.8
"87","2017-04-12",8.29
"88","2017-04-13",8.1
"89","2017-04-17",7.86
"90","2017-04-18",7.81
"91","2017-04-19",7.35
"92","2017-04-20",7.65
"93","2017-04-21",7.54
"94","2017-04-24",7.34
"95","2017-04-25",6.4
"96","2017-04-26",5.79
"97","2017-04-27",5.6
"98","2017-04-28",5.33
"99","2017-05-01",5.85
"100","2017-05-02",5.68
"101","2017-05-03",5.84
"102","2017-05-04",5.48
"103","2017-05-05",5.31
"104","2017-05-08",5.17
"105","2017-05-09",5.13
"106","2017-05-10",4.93
"107","2017-05-11",4.95
"108","2017-05-12",4.91
"109","2017-05-15",4.82
"110","2017-05-16",4.76
"111","2017-05-17",4.76
"112","2017-05-18",4.68
"113","2017-05-19",4.77
"114","2017-05-22",4.79
"115","2017-05-23",5.17
"116","2017-05-24",5.3
"117","2017-05-25",5.2
"118","2017-05-26",5.26
"119","2017-05-30",5.15
"120","2017-05-31",5.19
"121","2017-06-01",5.17
"122","2017-06-02",5.23
"123","2017-06-05",5.21
"124","2017-06-06",5.16
"125","2017-06-07",5.18
"126","2017-06-08",5.11
"127","2017-06-09",4.86
"128","2017-06-12",4.86
"129","2017-06-13",4.84
"130","2017-06-14",4.93
"131","2017-06-15",4.82
"132","2017-06-16",4.64
"133","2017-06-19",4.68
"134","2017-06-20",4.84
"135","2017-06-21",4.95
"136","2017-06-22",4.99
"137","2017-06-23",5.01
"138","2017-06-26",4.94
"139","2017-06-27",4.92
"140","2017-06-28",5.01
"141","2017-06-29",5.23
"142","2017-06-30",5.31
"143","2017-07-03",5.3
"144","2017-07-05",5.36
"145","2017-07-06",5.31
"146","2017-07-07",5.46
"147","2017-07-10",5.55
"148","2017-07-11",5.38
"149","2017-07-12",5.4
"150","2017-07-13",5.46
"151","2017-07-14",6.16
"152","2017-07-17",6.17
"153","2017-07-18",5.91
"154","2017-07-19",5.76
"155","2017-07-20",5.93
"156","2017-07-21",6.04
"157","2017-07-24",5.84
"158","2017-07-25",5.85
"159","2017-07-26",5.65
"160","2017-07-27",5.5
"161","2017-07-28",5.16
"162","2017-07-31",5.25
"163","2017-08-01",4.82
"164","2017-08-02",4.78
"165","2017-08-03",4.8
"166","2017-08-04",4.78
"167","2017-08-07",4.94
"168","2017-08-08",4.73
"169","2017-08-09",4.36
"170","2017-08-10",4.49
"171","2017-08-11",4.33
"172","2017-08-14",4.21
"173","2017-08-15",4.27
"174","2017-08-16",4.33
"175","2017-08-17",4.26
"176","2017-08-18",4.17
"177","2017-08-21",4.26
"178","2017-08-22",4.3
"179","2017-08-23",4.3
"180","2017-08-24",4.48
"181","2017-08-25",4.89
"182","2017-08-28",4.58
"183","2017-08-29",4.45
"184","2017-08-30",4.5
"185","2017-08-31",4.65
"186","2017-09-01",4.71
"187","2017-09-05",4.76
"188","2017-09-06",4.59
"189","2017-09-07",4.49
"190","2017-09-08",4.65
"191","2017-09-11",4.7
"192","2017-09-12",4.9
"193","2017-09-13",4.94
"194","2017-09-14",4.69
"195","2017-09-15",4.52
"196","2017-09-18",4.45
"197","2017-09-19",4.53
"198","2017-09-20",4.58
"199","2017-09-21",4.6
"200","2017-09-22",4.55
"201","2017-09-25",4.61
"202","2017-09-26",4.76
"203","2017-09-27",4.71
"204","2017-09-28",4.74
"205","2017-09-29",4.79
"206","2017-10-02",4.74
"207","2017-10-03",4.86
"208","2017-10-04",5.25
"209","2017-10-05",5.28
"210","2017-10-06",5.3
"211","2017-10-09",5.42
"212","2017-10-10",5.38
"213","2017-10-11",5.31
"214","2017-10-12",6.01
"215","2017-10-13",5.85
"216","2017-10-16",5.34
"217","2017-10-17",5.27
"218","2017-10-18",5.39
"219","2017-10-19",5.32
"220","2017-10-20",5.42
"221","2017-10-23",5.25
"222","2017-10-24",5.35
"223","2017-10-25",5.3
"224","2017-10-26",5.4
"225","2017-10-27",5.45
"226","2017-10-30",5.39
"227","2017-10-31",5.27
"228","2017-11-01",5.01
"229","2017-11-02",5.09
"230","2017-11-03",5.17
"231","2017-11-06",5.22
"232","2017-11-07",4.45
"233","2017-11-08",4.52
"234","2017-11-09",4.49
"235","2017-11-10",4.79
"236","2017-11-13",4.73
"237","2017-11-14",4.86
"238","2017-11-15",5
"239","2017-11-16",5.21
"240","2017-11-17",5.05
"241","2017-11-20",5.24
"242","2017-11-21",5.28
"243","2017-11-22",5.38
"244","2017-11-24",5.39
"245","2017-11-27",5.29
"246","2017-11-28",5.08
"247","2017-11-29",5.06
"248","2017-11-30",5
"249","2017-12-01",4.98
"250","2017-12-04",4.84
"251","2017-12-05",5.04
"252","2017-12-06",5.21
"253","2017-12-07",5.36
"254","2017-12-08",4.93
"255","2017-12-11",5.02
"256","2017-12-12",4.86
"257","2017-12-13",5
"258","2017-12-14",5.04
"259","2017-12-15",5
"260","2017-12-18",5
"261","2017-12-19",5.06
"262","2017-12-20",5.18
"263","2017-12-21",4.96
"264","2017-12-22",5.11
"265","2017-12-26",4.92
"266","2017-12-27",4.98
"267","2017-12-28",5.02
"268","2017-12-29",5.01
"269","2018-01-02",5.02
"270","2018-01-03",4.96
"271","2018-01-04",5.02
"272","2018-01-05",5.03
"273","2018-01-08",5.12
"274","2018-01-09",5.11
"275","2018-01-10",5.06
