"","date","CMLS"
"1","2018-08-07",18.35
"2","2018-08-08",18.98
"3","2018-08-09",17.4
"4","2018-08-10",17.4
"5","2018-08-13",17.700001
"6","2018-08-14",17.700001
"7","2018-08-15",17.690001
"8","2018-08-16",17.700001
"9","2018-08-17",18.120001
"10","2018-08-20",18.200001
"11","2018-08-21",18.98
"12","2018-08-22",19.049999
"13","2018-08-23",19.049999
"14","2018-08-24",19.889999
"15","2018-08-27",19.15
"16","2018-08-28",19.4
"17","2018-08-29",19.43
"18","2018-08-30",19
"19","2018-08-31",20.9
"20","2018-09-04",19.440001
"21","2018-09-05",19.34
"22","2018-09-06",19.209999
"23","2018-09-07",19.74
"24","2018-09-10",18.639999
"25","2018-09-11",19.33
"26","2018-09-12",18
"27","2018-09-13",17.85
"28","2018-09-14",17.85
"29","2018-09-17",17.129999
"30","2018-09-18",16.1
"31","2018-09-19",16.610001
"32","2018-09-20",16.700001
"33","2018-09-21",16.610001
"34","2018-09-24",17.75
"35","2018-09-25",16.9
"36","2018-09-26",16.75
"37","2018-09-27",16.549999
"38","2018-09-28",17.02
"39","2018-10-01",17.01
"40","2018-10-02",16.9
"41","2018-10-03",16.950001
"42","2018-10-04",17.389999
"43","2018-10-05",16.799999
"44","2018-10-08",17
"45","2018-10-09",17
"46","2018-10-10",16.799999
"47","2018-10-11",16.51
"48","2018-10-12",16.4
"49","2018-10-15",16.5
"50","2018-10-16",16.299999
"51","2018-10-17",16.200001
"52","2018-10-18",16.290001
"53","2018-10-19",15.75
"54","2018-10-22",16.25
"55","2018-10-23",16.25
"56","2018-10-24",15.99
"57","2018-10-25",16.5
"58","2018-10-26",16.25
"59","2018-10-29",15.99
"60","2018-10-30",15.5
"61","2018-10-31",14.81
"62","2018-11-01",14.81
"63","2018-11-02",14.99
"64","2018-11-05",14.75
"65","2018-11-06",14.78
"66","2018-11-07",14.6
"67","2018-11-08",14.6
"68","2018-11-09",14.5
"69","2018-11-12",14
"70","2018-11-13",14
"71","2018-11-14",14
"72","2018-11-15",14.7
"73","2018-11-16",12.92
"74","2018-11-19",12.6
"75","2018-11-20",12.77
"76","2018-11-21",12.88
"77","2018-11-23",12.88
"78","2018-11-26",13.16
"79","2018-11-27",13.139
"80","2018-11-28",12.7
"81","2018-11-29",12.2
"82","2018-11-30",11.3
"83","2018-12-03",11.75
"84","2018-12-04",11.75
"85","2018-12-06",11.75
"86","2018-12-07",10.75
"87","2018-12-10",10.25
"88","2018-12-11",10.12
"89","2018-12-12",10.35
"90","2018-12-13",10.83
"91","2018-12-14",10.75
"92","2018-12-17",10.45
"93","2018-12-18",10.71
"94","2018-12-19",10.78
"95","2018-12-20",10.4
"96","2018-12-21",10.11
"97","2018-12-24",11.05
"98","2018-12-26",10.831
"99","2018-12-27",10.86
"100","2018-12-28",10.9
"101","2018-12-31",10.8
"102","2019-01-02",11.15
"103","2019-01-03",11
"104","2019-01-04",11.9
"105","2019-01-07",12.04
"106","2019-01-08",12.65
"107","2019-01-09",12.45
"108","2019-01-10",12.26
"109","2019-01-11",12
"110","2019-01-14",11.75
"111","2019-01-15",12
"112","2019-01-16",11.97
"113","2019-01-17",11.85
"114","2019-01-18",12.09
"115","2019-01-22",12
"116","2019-01-23",11.83
"117","2019-01-24",11.85
"118","2019-01-25",11.99
"119","2019-01-28",12.01
"120","2019-01-29",12.05
"121","2019-01-30",12.05
"122","2019-01-31",12.05
"123","2019-02-01",13.24
