"","date","JBLU"
"1","2007-01-03",15.2
"2","2007-01-04",15.38
"3","2007-01-05",14.99
"4","2007-01-08",15.14
"5","2007-01-09",15.21
"6","2007-01-10",15.87
"7","2007-01-11",16.09
"8","2007-01-12",16.57
"9","2007-01-16",16.620001
"10","2007-01-17",15.71
"11","2007-01-18",15.47
"12","2007-01-19",15.76
"13","2007-01-22",15.46
"14","2007-01-23",15.08
"15","2007-01-24",15.04
"16","2007-01-25",14.78
"17","2007-01-26",14.38
"18","2007-01-29",14.5
"19","2007-01-30",13.85
"20","2007-01-31",13.68
"21","2007-02-01",13.83
"22","2007-02-02",13.65
"23","2007-02-05",13.57
"24","2007-02-06",13.69
"25","2007-02-07",13.42
"26","2007-02-08",13.3
"27","2007-02-09",12.92
"28","2007-02-12",13.13
"29","2007-02-13",12.99
"30","2007-02-14",13.23
"31","2007-02-15",13.85
"32","2007-02-16",13.56
"33","2007-02-20",12.9
"34","2007-02-21",13.19
"35","2007-02-22",13.16
"36","2007-02-23",13.08
"37","2007-02-26",12.75
"38","2007-02-27",12.29
"39","2007-02-28",12.31
"40","2007-03-01",12.21
"41","2007-03-02",11.91
"42","2007-03-05",11.58
"43","2007-03-06",11.82
"44","2007-03-07",11.74
"45","2007-03-08",11.83
"46","2007-03-09",11.62
"47","2007-03-12",11.87
"48","2007-03-13",11.87
"49","2007-03-14",11.75
"50","2007-03-15",11.9
"51","2007-03-16",11.69
"52","2007-03-19",11.8
"53","2007-03-20",11.97
"54","2007-03-21",12.21
"55","2007-03-22",11.7
"56","2007-03-23",11.69
"57","2007-03-26",11.84
"58","2007-03-27",11.71
"59","2007-03-28",11.75
"60","2007-03-29",11.59
"61","2007-03-30",11.51
"62","2007-04-02",11.45
"63","2007-04-03",11.86
"64","2007-04-04",11.7
"65","2007-04-05",11.75
"66","2007-04-09",11.91
"67","2007-04-10",11.73
"68","2007-04-11",11.51
"69","2007-04-12",11.24
"70","2007-04-13",11.19
"71","2007-04-16",11.18
"72","2007-04-17",11.22
"73","2007-04-18",11.53
"74","2007-04-19",11.27
"75","2007-04-20",11.23
"76","2007-04-23",10.99
"77","2007-04-24",10.71
"78","2007-04-25",10.31
"79","2007-04-26",10.37
"80","2007-04-27",10
"81","2007-04-30",9.91
"82","2007-05-01",9.9
"83","2007-05-02",10.11
"84","2007-05-03",10.27
"85","2007-05-04",10.36
"86","2007-05-07",10.47
"87","2007-05-08",10.45
"88","2007-05-09",10.4
"89","2007-05-10",10.89
"90","2007-05-11",10.73
"91","2007-05-14",10.71
"92","2007-05-15",10.55
"93","2007-05-16",10.72
"94","2007-05-17",10.83
"95","2007-05-18",10.69
"96","2007-05-21",10.46
"97","2007-05-22",11.1
"98","2007-05-23",10.9
"99","2007-05-24",10.83
"100","2007-05-25",10.84
"101","2007-05-29",10.88
"102","2007-05-30",10.87
"103","2007-05-31",10.78
"104","2007-06-01",10.7
"105","2007-06-04",10.44
"106","2007-06-05",10.38
"107","2007-06-06",10.31
"108","2007-06-07",10.06
"109","2007-06-08",10.22
"110","2007-06-11",10.21
"111","2007-06-12",10.19
"112","2007-06-13",10.33
"113","2007-06-14",10.6
"114","2007-06-15",10.51
"115","2007-06-18",10.46
"116","2007-06-19",10.83
"117","2007-06-20",11.11
"118","2007-06-21",11.27
"119","2007-06-22",11.37
"120","2007-06-25",11.16
"121","2007-06-26",11.03
"122","2007-06-27",11.09
"123","2007-06-28",11.45
"124","2007-06-29",11.75
"125","2007-07-02",11.77
"126","2007-07-03",11.88
"127","2007-07-05",11.92
"128","2007-07-06",11.92
"129","2007-07-09",11.9
"130","2007-07-10",11.51
"131","2007-07-11",11.45
"132","2007-07-12",11.56
"133","2007-07-13",11.45
"134","2007-07-16",11.37
"135","2007-07-17",11.34
"136","2007-07-18",11.53
"137","2007-07-19",11.61
"138","2007-07-20",11.33
"139","2007-07-23",11.3
"140","2007-07-24",11.01
"141","2007-07-25",10.91
"142","2007-07-26",10.27
"143","2007-07-27",10.05
"144","2007-07-30",10
"145","2007-07-31",9.85
"146","2007-08-01",9.65
"147","2007-08-02",9.94
"148","2007-08-03",9.44
"149","2007-08-06",9.46
"150","2007-08-07",9.13
"151","2007-08-08",9.79
"152","2007-08-09",9.94
"153","2007-08-10",9.53
"154","2007-08-13",9.48
"155","2007-08-14",9.28
"156","2007-08-15",8.86
"157","2007-08-16",9.17
"158","2007-08-17",9.42
"159","2007-08-20",9.4
"160","2007-08-21",9.58
"161","2007-08-22",9.61
"162","2007-08-23",9.45
"163","2007-08-24",9.5
"164","2007-08-27",9.37
"165","2007-08-28",9.22
"166","2007-08-29",9.36
"167","2007-08-30",9.59
"168","2007-08-31",9.52
"169","2007-09-04",9.67
"170","2007-09-05",9.59
"171","2007-09-06",9.7
"172","2007-09-07",9.8
"173","2007-09-10",9.58
"174","2007-09-11",9.85
"175","2007-09-12",9.62
"176","2007-09-13",9.68
"177","2007-09-14",9.67
"178","2007-09-17",9.55
"179","2007-09-18",9.54
"180","2007-09-19",9.65
"181","2007-09-20",9.47
"182","2007-09-21",9.45
"183","2007-09-24",9.24
"184","2007-09-25",9.03
"185","2007-09-26",9.13
"186","2007-09-27",9.22
"187","2007-09-28",9.22
"188","2007-10-01",9.41
"189","2007-10-02",9.69
"190","2007-10-03",9.74
"191","2007-10-04",9.27
"192","2007-10-05",9.35
