"","date","HALL"
"1","2007-01-03",9.91
"2","2007-01-04",9.97
"3","2007-01-05",9.85
"4","2007-01-08",9.98
"5","2007-01-09",10.02
"6","2007-01-10",10.09
"7","2007-01-11",10.12
"8","2007-01-12",10.23
"9","2007-01-16",10.09
"10","2007-01-17",10.09
"11","2007-01-18",9.99
"12","2007-01-19",9.89
"13","2007-01-22",10.04
"14","2007-01-23",10.09
"15","2007-01-24",10.15
"16","2007-01-25",10.1
"17","2007-01-26",10.16
"18","2007-01-29",10.11
"19","2007-01-30",10.15
"20","2007-01-31",10.2
"21","2007-02-01",10.24
"22","2007-02-02",10.26
"23","2007-02-05",10.22
"24","2007-02-06",10.29
"25","2007-02-07",10.35
"26","2007-02-08",10.7
"27","2007-02-09",10.86
"28","2007-02-12",10.82
"29","2007-02-13",10.89
"30","2007-02-14",11.15
"31","2007-02-15",11
"32","2007-02-16",11.12
"33","2007-02-20",11.04
"34","2007-02-21",11
"35","2007-02-22",10.91
"36","2007-02-23",11.01
"37","2007-02-26",11.06
"38","2007-02-27",11.02
"39","2007-02-28",11.05
"40","2007-03-01",11.06
"41","2007-03-02",11.15
"42","2007-03-05",11.16
"43","2007-03-06",11.37
"44","2007-03-07",11.31
"45","2007-03-08",11.8
"46","2007-03-09",11.89
"47","2007-03-12",11.83
"48","2007-03-13",11.31
"49","2007-03-14",11.63
"50","2007-03-15",11.98
"51","2007-03-16",11.94
"52","2007-03-19",11.95
"53","2007-03-20",11.95
"54","2007-03-21",12.01
"55","2007-03-22",12.04
"56","2007-03-23",12.12
"57","2007-03-26",12.03
"58","2007-03-27",12.1
"59","2007-03-28",12.01
"60","2007-03-29",12.05
"61","2007-03-30",12.04
"62","2007-04-02",12.07
"63","2007-04-03",12.06
"64","2007-04-04",12.03
"65","2007-04-05",12.15
"66","2007-04-09",12.42
"67","2007-04-10",12.6
"68","2007-04-11",12.1
"69","2007-04-12",12.68
"70","2007-04-13",12.46
"71","2007-04-16",12.36
"72","2007-04-17",12.45
"73","2007-04-18",12.36
"74","2007-04-19",12.5
"75","2007-04-20",12.6
"76","2007-04-23",12.41
"77","2007-04-24",12.35
"78","2007-04-25",12.48
"79","2007-04-26",12.6
"80","2007-04-27",12.63
"81","2007-04-30",12.51
"82","2007-05-01",12.46
"83","2007-05-02",12.42
"84","2007-05-03",12.53
"85","2007-05-04",12.54
"86","2007-05-07",12.38
"87","2007-05-08",12.5
"88","2007-05-09",12.5
"89","2007-05-10",12.59
"90","2007-05-11",12.75
"91","2007-05-14",12.35
"92","2007-05-15",12.51
"93","2007-05-16",12.45
"94","2007-05-17",12.21
"95","2007-05-18",12.15
"96","2007-05-21",12.11
"97","2007-05-22",12.08
"98","2007-05-23",12.15
"99","2007-05-24",12.52
"100","2007-05-25",12.6
"101","2007-05-29",12.59
"102","2007-05-30",12.69
"103","2007-05-31",12.96
"104","2007-06-01",12.95
"105","2007-06-04",12.96
"106","2007-06-05",12.95
"107","2007-06-06",13.01
"108","2007-06-07",12.94
"109","2007-06-08",12.74
"110","2007-06-11",12.76
"111","2007-06-12",12.6
"112","2007-06-13",12.5
"113","2007-06-14",12.29
"114","2007-06-15",12.53
"115","2007-06-18",12.2
"116","2007-06-19",12.37
"117","2007-06-20",12.71
"118","2007-06-21",12.76
"119","2007-06-22",12.33
"120","2007-06-25",12.03
"121","2007-06-26",11.99
"122","2007-06-27",11.98
"123","2007-06-28",11.96
"124","2007-06-29",12.12
"125","2007-07-02",12.75
"126","2007-07-03",12.88
"127","2007-07-05",12.96
"128","2007-07-06",13.21
"129","2007-07-09",13.12
"130","2007-07-10",12.61
"131","2007-07-11",12.55
"132","2007-07-12",12.61
"133","2007-07-13",12.66
"134","2007-07-16",12.18
"135","2007-07-17",12.65
"136","2007-07-18",12.76
"137","2007-07-19",12.62
"138","2007-07-20",12.67
"139","2007-07-23",12.72
"140","2007-07-24",12.7
"141","2007-07-25",12.73
"142","2007-07-26",12.56
"143","2007-07-27",12.23
"144","2007-07-30",12
"145","2007-07-31",12.12
"146","2007-08-01",12.29
"147","2007-08-02",12.36
"148","2007-08-03",11.86
"149","2007-08-06",11.86
"150","2007-08-07",11
"151","2007-08-08",10.44
"152","2007-08-09",10.35
"153","2007-08-10",10.29
"154","2007-08-13",11.32
"155","2007-08-14",11.17
"156","2007-08-15",10.92
"157","2007-08-16",10.98
"158","2007-08-17",11.74
"159","2007-08-20",12.46
"160","2007-08-21",11.86
"161","2007-08-22",12
"162","2007-08-23",12.12
"163","2007-08-24",12.16
"164","2007-08-27",11.95
"165","2007-08-28",12.48
"166","2007-08-29",12.76
"167","2007-08-30",12.51
"168","2007-08-31",11.9
"169","2007-09-04",12.86
"170","2007-09-05",12.76
"171","2007-09-06",12.84
"172","2007-09-07",12.32
"173","2007-09-10",12.22
"174","2007-09-11",12.44
"175","2007-09-12",12.56
"176","2007-09-13",12.6
"177","2007-09-14",12.68
"178","2007-09-17",12.82
"179","2007-09-18",13.08
"180","2007-09-19",13.37
"181","2007-09-20",13.15
"182","2007-09-21",14.04
"183","2007-09-24",14.5
"184","2007-09-25",14.81
"185","2007-09-26",14.08
"186","2007-09-27",14.38
"187","2007-09-28",14.05
"188","2007-10-01",14.62
"189","2007-10-02",14.72
"190","2007-10-03",14.45
"191","2007-10-04",14.44
"192","2007-10-05",14.47
"193","2007-10-08",14.76
"194","2007-10-09",14.94
"195","2007-10-10",15.17
"196","2007-10-11",15.28
"197","2007-10-12",15.28
"198","2007-10-15",15.25
"199","2007-10-16",15.36
"200","2007-10-17",16.049999
"201","2007-10-18",16.469999
"202","2007-10-19",16.059999
"203","2007-10-22",16.290001
"204","2007-10-23",16.51
"205","2007-10-24",16.48
"206","2007-10-25",16.860001
"207","2007-10-26",16.98
"208","2007-10-29",17.15
"209","2007-10-30",16.59
"210","2007-10-31",16.75
"211","2007-11-01",15.81
"212","2007-11-02",16.200001
"213","2007-11-05",16.610001
"214","2007-11-06",16.52
"215","2007-11-07",16.17
"216","2007-11-08",15.38
"217","2007-11-09",14.69
"218","2007-11-12",13.72
"219","2007-11-13",15.48
"220","2007-11-14",15.74
"221","2007-11-15",16.09
"222","2007-11-16",16.24
"223","2007-11-19",16.09
"224","2007-11-20",15.87
"225","2007-11-21",15.21
"226","2007-11-23",15.26
"227","2007-11-26",14.09
"228","2007-11-27",13.9
"229","2007-11-28",14.45
"230","2007-11-29",14.56
"231","2007-11-30",14.96
"232","2007-12-03",15.69
"233","2007-12-04",15.24
"234","2007-12-05",15.74
"235","2007-12-06",15.8
"236","2007-12-07",15.89
"237","2007-12-10",16.190001
