"","date","ADSW"
"224","2017-08-25",23.559999
"225","2017-08-28",23.49
"226","2017-08-29",23.690001
"227","2017-08-30",23.629999
"228","2017-08-31",23.84
"229","2017-09-01",23.85
"230","2017-09-05",23.76
"231","2017-09-06",23.780001
"232","2017-09-07",23.690001
"233","2017-09-08",24.379999
"234","2017-09-11",24.530001
"235","2017-09-12",25.02
"236","2017-09-13",24.860001
"237","2017-09-14",24.68
"238","2017-09-15",24.379999
"239","2017-09-18",24.48
"240","2017-09-19",24.41
"241","2017-09-20",24.299999
"242","2017-09-21",24.23
"243","2017-09-22",24.440001
"244","2017-09-25",24.48
"245","2017-09-26",24.610001
"246","2017-09-27",25
"247","2017-09-28",25.120001
"248","2017-09-29",25.190001
"249","2017-10-02",25.459999
"250","2017-10-03",25.549999
"251","2017-10-04",24.610001
"252","2017-10-05",24.67
"253","2017-10-06",24.48
"254","2017-10-09",24.43
"255","2017-10-10",24.530001
"256","2017-10-11",24.870001
"257","2017-10-12",24.74
"258","2017-10-13",24.6
"259","2017-10-16",24.59
"260","2017-10-17",24.540001
"261","2017-10-18",24.51
"262","2017-10-19",24.290001
"263","2017-10-20",24.68
"264","2017-10-23",24.559999
"265","2017-10-24",24.52
"266","2017-10-25",24.639999
"267","2017-10-26",25.469999
"268","2017-10-27",24.85
"269","2017-10-30",24.85
"270","2017-10-31",24.92
"271","2017-11-01",24.530001
"272","2017-11-02",22.6
"273","2017-11-03",22.540001
"274","2017-11-06",22.540001
"275","2017-11-07",22.780001
"276","2017-11-08",22.65
"277","2017-11-09",22.620001
"278","2017-11-10",22.82
"279","2017-11-13",22.82
"280","2017-11-14",23.120001
"281","2017-11-15",23
"282","2017-11-16",23.24
"283","2017-11-17",23.01
"284","2017-11-20",22.83
"285","2017-11-21",22.809999
"286","2017-11-22",22.52
"287","2017-11-24",22.25
"288","2017-11-27",22.43
"289","2017-11-28",23.280001
"290","2017-11-29",23.68
"291","2017-11-30",23.33
"292","2017-12-01",23.040001
"293","2017-12-04",23.309999
"294","2017-12-05",22.690001
"295","2017-12-06",22.700001
"296","2017-12-07",22.66
"297","2017-12-08",22.52
"298","2017-12-11",23.030001
"299","2017-12-12",23.309999
"300","2017-12-13",23.18
"301","2017-12-14",22.76
"302","2017-12-15",23.01
"303","2017-12-18",23.370001
"304","2017-12-19",23.5
"305","2017-12-20",23.549999
"306","2017-12-21",23.690001
"307","2017-12-22",23.799999
"308","2017-12-26",23.73
"309","2017-12-27",23.719999
"310","2017-12-28",23.809999
"311","2017-12-29",23.940001
"312","2018-01-02",23.450001
"313","2018-01-03",23.629999
"314","2018-01-04",23.780001
"315","2018-01-05",23.719999
"316","2018-01-08",23.629999
"317","2018-01-09",23.59
"318","2018-01-10",23.57
"319","2018-01-11",24.08
