"","date","HMY"
"1","2007-01-03",15.27
"2","2007-01-04",14.82
"3","2007-01-05",14.27
"4","2007-01-08",14.04
"5","2007-01-09",13.46
"6","2007-01-10",13.09
"7","2007-01-11",13.22
"8","2007-01-12",13.48
"9","2007-01-16",13.2
"10","2007-01-17",13.2
"11","2007-01-18",13.17
"12","2007-01-19",13.43
"13","2007-01-22",13.28
"14","2007-01-23",13.8
"15","2007-01-24",14.04
"16","2007-01-25",13.76
"17","2007-01-26",13.7
"18","2007-01-29",13.26
"19","2007-01-30",13.41
"20","2007-01-31",13.39
"21","2007-02-01",13.64
"22","2007-02-02",13.16
"23","2007-02-05",13.05
"24","2007-02-06",13.31
"25","2007-02-07",13.17
"26","2007-02-08",13.29
"27","2007-02-09",13.16
"28","2007-02-12",13.16
"29","2007-02-13",13.29
"30","2007-02-14",13.52
"31","2007-02-15",13.71
"32","2007-02-16",13.49
"33","2007-02-20",13.18
"34","2007-02-21",13.76
"35","2007-02-22",13.99
"36","2007-02-23",14.13
"37","2007-02-26",14.3
"38","2007-02-27",13.38
"39","2007-02-28",13.84
"40","2007-03-01",13.8
"41","2007-03-02",13.39
"42","2007-03-05",13.06
"43","2007-03-06",13.44
"44","2007-03-07",13.3
"45","2007-03-08",13.48
"46","2007-03-09",13.42
"47","2007-03-12",13.49
"48","2007-03-13",13.2
"49","2007-03-14",13.27
"50","2007-03-15",13.63
"51","2007-03-16",13.72
"52","2007-03-19",14.08
"53","2007-03-20",14.21
"54","2007-03-21",14.69
"55","2007-03-22",14.54
"56","2007-03-23",14.48
"57","2007-03-26",14.37
"58","2007-03-27",13.96
"59","2007-03-28",13.95
"60","2007-03-29",13.73
"61","2007-03-30",13.9
"62","2007-04-02",14.31
"63","2007-04-03",14.99
"64","2007-04-04",15.45
"65","2007-04-05",15.52
"66","2007-04-09",15.49
"67","2007-04-10",15.78
"68","2007-04-11",15.56
"69","2007-04-12",15.78
"70","2007-04-13",16.049999
"71","2007-04-16",16.299999
"72","2007-04-17",16.440001
"73","2007-04-18",16.24
"74","2007-04-19",15.84
"75","2007-04-20",16.24
"76","2007-04-23",16.370001
"77","2007-04-24",16.34
"78","2007-04-25",16.58
"79","2007-04-26",16.120001
"80","2007-04-27",16.24
"81","2007-04-30",15.88
"82","2007-05-01",15.77
"83","2007-05-02",16.1
"84","2007-05-03",16.209999
"85","2007-05-04",16.32
"86","2007-05-07",16.51
"87","2007-05-08",16.18
"88","2007-05-09",16.110001
"89","2007-05-10",15.45
"90","2007-05-11",15.73
"91","2007-05-14",15.61
"92","2007-05-15",15.45
"93","2007-05-16",15.2
"94","2007-05-17",14.85
"95","2007-05-18",15.03
"96","2007-05-21",15.24
"97","2007-05-22",15.15
"98","2007-05-23",15.54
"99","2007-05-24",14.87
"100","2007-05-25",15.03
"101","2007-05-29",14.87
"102","2007-05-30",14.76
"103","2007-05-31",14.93
"104","2007-06-01",15.17
"105","2007-06-04",14.83
"106","2007-06-05",14.76
"107","2007-06-06",14.2
"108","2007-06-07",13.69
"109","2007-06-08",13.75
"110","2007-06-11",13.74
"111","2007-06-12",13.2
"112","2007-06-13",13.47
"113","2007-06-14",13.62
"114","2007-06-15",13.9
"115","2007-06-18",14.26
"116","2007-06-19",14.44
"117","2007-06-20",14.5
"118","2007-06-21",14.64
"119","2007-06-22",14.58
"120","2007-06-25",14.54
"121","2007-06-26",14.24
"122","2007-06-27",14.34
"123","2007-06-28",14.32
"124","2007-06-29",14.27
"125","2007-07-02",14.57
"126","2007-07-03",14.36
"127","2007-07-05",14.37
"128","2007-07-06",14.71
"129","2007-07-09",14.68
"130","2007-07-10",14.55
"131","2007-07-11",14.53
"132","2007-07-12",14.93
"133","2007-07-13",14.99
"134","2007-07-16",14.88
"135","2007-07-17",14.85
"136","2007-07-18",14.91
"137","2007-07-19",15.05
"138","2007-07-20",15.02
"139","2007-07-23",15.19
"140","2007-07-24",14.83
"141","2007-07-25",14.47
"142","2007-07-26",13.92
"143","2007-07-27",13.36
"144","2007-07-30",14.04
"145","2007-07-31",13.84
"146","2007-08-01",13.63
"147","2007-08-02",13.97
"148","2007-08-03",13.47
"149","2007-08-06",11.02
"150","2007-08-07",9.45
"151","2007-08-08",10.06
"152","2007-08-09",9.65
"153","2007-08-10",9.87
"154","2007-08-13",9.95
"155","2007-08-14",9.43
"156","2007-08-15",9.44
"157","2007-08-16",8.82
"158","2007-08-17",8.98
"159","2007-08-20",8.97
"160","2007-08-21",8.77
"161","2007-08-22",8.94
"162","2007-08-23",8.48
"163","2007-08-24",9.01
"164","2007-08-27",8.96
"165","2007-08-28",8.96
"166","2007-08-29",9.14
"167","2007-08-30",9.04
"168","2007-08-31",8.95
"169","2007-09-04",9.5
"170","2007-09-05",9.33
"171","2007-09-06",9.86
