"","date","KEQU"
"1","2007-01-03",8.65
"2","2007-01-04",8.66
"3","2007-01-05",8.65
"4","2007-01-08",9.3
"5","2007-01-09",9.2
"6","2007-01-10",9.15
"7","2007-01-11",9.19
"8","2007-01-12",9.19
"9","2007-01-16",9.62
"10","2007-01-17",9.55
"11","2007-01-18",9.51
"12","2007-01-19",9.6
"13","2007-01-22",9.6
"14","2007-01-23",9.63
"15","2007-01-24",9.63
"16","2007-01-25",9.52
"17","2007-01-26",9.62
"18","2007-01-29",9.76
"19","2007-01-30",9.77
"20","2007-01-31",9.78
"21","2007-02-01",9.98
"22","2007-02-02",10
"23","2007-02-05",10.11
"24","2007-02-06",10.01
"25","2007-02-07",9.82
"26","2007-02-08",9.82
"27","2007-02-09",10.12
"28","2007-02-12",10.11
"29","2007-02-13",10.11
"30","2007-02-14",9.65
"31","2007-02-15",9.91
"32","2007-02-16",10.03
"33","2007-02-20",10.37
"34","2007-02-21",10.67
"35","2007-02-22",10.55
"36","2007-02-23",10.53
"37","2007-02-26",10.64
"38","2007-02-27",10.64
"39","2007-02-28",10.26
"40","2007-03-01",10.84
"41","2007-03-02",10.85
"42","2007-03-05",10.69
"43","2007-03-06",10.77
"44","2007-03-07",11
"45","2007-03-08",10.91
"46","2007-03-09",10.9
"47","2007-03-12",10.87
"48","2007-03-13",10.41
"49","2007-03-14",10.6
"50","2007-03-15",10.64
"51","2007-03-16",10.56
"52","2007-03-19",10.57
"53","2007-03-20",10.9
"54","2007-03-21",10.94
"55","2007-03-22",10.87
"56","2007-03-23",10.84
"57","2007-03-26",10.84
"58","2007-03-27",10.87
"59","2007-03-28",10.89
"60","2007-03-29",10.76
"61","2007-03-30",10.65
"62","2007-04-02",10.75
"63","2007-04-03",10.72
"64","2007-04-04",10.78
"65","2007-04-05",10.86
"66","2007-04-09",10.9
"67","2007-04-10",10.85
"68","2007-04-11",10.89
"69","2007-04-12",10.87
"70","2007-04-13",10.75
"71","2007-04-16",10.7
"72","2007-04-17",10.79
"73","2007-04-18",10.8
"74","2007-04-19",10.7
"75","2007-04-20",10.69
"76","2007-04-23",10.74
"77","2007-04-24",10.8
"78","2007-04-25",10.88
"79","2007-04-26",10.69
"80","2007-04-27",10.54
"81","2007-04-30",10.97
