"","date","KOP"
"1","2007-01-03",26.67
"2","2007-01-04",26.52
"3","2007-01-05",25.99
"4","2007-01-08",26.48
"5","2007-01-09",24.93
"6","2007-01-10",25.379999
"7","2007-01-11",25.25
"8","2007-01-12",25.209999
"9","2007-01-16",25.48
"10","2007-01-17",24.75
"11","2007-01-18",24.82
"12","2007-01-19",25.68
"13","2007-01-22",26.07
"14","2007-01-23",26.08
"15","2007-01-24",26.700001
"16","2007-01-25",26.379999
"17","2007-01-26",26.540001
"18","2007-01-29",25.700001
"19","2007-01-30",25.48
"20","2007-01-31",25.41
"21","2007-02-01",25.35
"22","2007-02-02",24.93
"23","2007-02-05",24.940001
"24","2007-02-06",26
"25","2007-02-07",26.09
"26","2007-02-08",26.23
"27","2007-02-09",25.360001
"28","2007-02-12",26.440001
"29","2007-02-13",26.5
"30","2007-02-14",26.469999
"31","2007-02-15",26.57
"32","2007-02-16",26.5
"33","2007-02-20",26.6
"34","2007-02-21",26.99
"35","2007-02-22",27.040001
"36","2007-02-23",27
"37","2007-02-26",26.09
"38","2007-02-27",24.450001
"39","2007-02-28",24.530001
"40","2007-03-01",24.98
"41","2007-03-02",24
"42","2007-03-05",23.66
"43","2007-03-06",23.889999
"44","2007-03-07",24.01
"45","2007-03-08",23.84
"46","2007-03-09",24.02
"47","2007-03-12",24.280001
"48","2007-03-13",24.110001
"49","2007-03-14",25.280001
"50","2007-03-15",24.98
"51","2007-03-16",24.98
"52","2007-03-19",25.690001
"53","2007-03-20",25.98
"54","2007-03-21",26.25
"55","2007-03-22",25.49
"56","2007-03-23",25.459999
"57","2007-03-26",25.25
"58","2007-03-27",25.040001
"59","2007-03-28",24.91
"60","2007-03-29",25.309999
"61","2007-03-30",25.66
"62","2007-04-02",25.85
"63","2007-04-03",26.719999
"64","2007-04-04",26.700001
"65","2007-04-05",26.870001
"66","2007-04-09",26.43
"67","2007-04-10",26.5
"68","2007-04-11",25.809999
"69","2007-04-12",26.4
"70","2007-04-13",26.5
"71","2007-04-16",26.5
"72","2007-04-17",26.299999
"73","2007-04-18",26.299999
"74","2007-04-19",25.969999
"75","2007-04-20",26.469999
"76","2007-04-23",26.629999
"77","2007-04-24",26.67
"78","2007-04-25",28.23
"79","2007-04-26",28.620001
"80","2007-04-27",29.389999
"81","2007-04-30",28.940001
"82","2007-05-01",28.41
"83","2007-05-02",28.17
"84","2007-05-03",29.93
"85","2007-05-04",30
"86","2007-05-07",29.700001
"87","2007-05-08",29.969999
"88","2007-05-09",29.9
"89","2007-05-10",29.030001
"90","2007-05-11",29.309999
"91","2007-05-14",28.85
