"","date","FIXX"
"1","2018-03-28",18.66
"2","2018-03-29",18.700001
"3","2018-04-02",17.719999
"4","2018-04-03",16.49
"5","2018-04-04",17.66
"6","2018-04-05",18.690001
"7","2018-04-06",18.040001
"8","2018-04-09",17.68
"9","2018-04-10",16.93
"10","2018-04-11",18.860001
"11","2018-04-12",20.030001
"12","2018-04-13",20
"13","2018-04-16",20.370001
"14","2018-04-17",20.969999
"15","2018-04-18",21.4
"16","2018-04-19",21
"17","2018-04-20",20.4
"18","2018-04-23",19.9
"19","2018-04-24",20.08
"20","2018-04-25",20.01
"21","2018-04-26",20.639999
"22","2018-04-27",20.85
"23","2018-04-30",19.99
"24","2018-05-01",20.08
"25","2018-05-02",20.5
"26","2018-05-03",21.219999
"27","2018-05-04",21.549999
"28","2018-05-07",21.1
"29","2018-05-08",21.25
"30","2018-05-09",20.99
"31","2018-05-10",20.58
"32","2018-05-11",20.18
"33","2018-05-14",19.43
"34","2018-05-15",19.389999
"35","2018-05-16",19.559999
"36","2018-05-17",19.35
"37","2018-05-18",19.860001
"38","2018-05-21",19.73
"39","2018-05-22",20.030001
"40","2018-05-23",19.77
"41","2018-05-24",19.809999
"42","2018-05-25",19.870001
"43","2018-05-29",19.620001
"44","2018-05-30",20.1
"45","2018-05-31",20.129999
"46","2018-06-01",20.200001
"47","2018-06-04",20.450001
"48","2018-06-05",19.99
"49","2018-06-06",20.9
"50","2018-06-07",20.98
"51","2018-06-08",20.66
"52","2018-06-11",20.299999
"53","2018-06-12",19.82
"54","2018-06-13",19.68
"55","2018-06-14",19.84
"56","2018-06-15",19.57
"57","2018-06-18",18.66
"58","2018-06-19",19.059999
"59","2018-06-20",20.120001
"60","2018-06-21",19.809999
"61","2018-06-22",20.75
"62","2018-06-25",19.85
"63","2018-06-26",19.799999
"64","2018-06-27",19.9
"65","2018-06-28",19.870001
"66","2018-06-29",20.4
"67","2018-07-02",20.24
"68","2018-07-03",20.24
"69","2018-07-05",20.6
"70","2018-07-06",21.4
"71","2018-07-09",22.379999
"72","2018-07-10",22.49
"73","2018-07-11",20.790001
"74","2018-07-12",21.74
"75","2018-07-13",21.76
"76","2018-07-16",21.610001
"77","2018-07-17",21.440001
"78","2018-07-18",20.860001
"79","2018-07-19",21.41
"80","2018-07-20",21.49
"81","2018-07-23",21.139999
"82","2018-07-24",19.98
"83","2018-07-25",19.5
"84","2018-07-26",19.33
"85","2018-07-27",18.93
"86","2018-07-30",17.629999
"87","2018-07-31",17.610001
"88","2018-08-01",17.57
"89","2018-08-02",17.73
"90","2018-08-03",16.75
"91","2018-08-06",16.85
"92","2018-08-07",16.6
"93","2018-08-08",16.42
"94","2018-08-09",16.370001
