"","date","CNET"
"1","2009-08-14",8.75
"2","2009-08-17",8.75
"3","2009-08-18",8.75
"4","2009-08-19",8.75
"5","2009-08-20",9
"6","2009-08-21",9.125
"7","2009-08-24",8.725
"8","2009-08-25",8
"9","2009-08-26",8.725
"10","2009-08-27",8.25
"11","2009-08-28",8.725
"12","2009-08-31",8.25
"13","2009-09-01",8.5
"14","2009-09-02",8.25
"15","2009-09-03",8.125
"16","2009-09-04",8.125
"17","2009-09-08",8.125
"18","2009-09-09",8
"19","2009-09-10",8.125
"20","2009-09-11",8.25
"21","2009-09-14",7.525
"22","2009-09-15",7.625
"23","2009-09-16",8.1
"24","2009-09-17",8.625
"25","2009-09-18",8.75
"26","2009-09-21",8.75
"27","2009-09-22",10.5
"28","2009-09-23",10.375
"29","2009-09-24",10.5
"30","2009-09-25",10.75
"31","2009-09-28",10.75
"32","2009-09-29",10.8
"33","2009-09-30",10.875
"34","2009-10-01",10.5
"35","2009-10-02",10.375
"36","2009-10-05",11.25
"37","2009-10-06",11.875
"38","2009-10-07",12
"39","2009-10-08",12
"40","2009-10-09",11.875
"41","2009-10-12",11.25
"42","2009-10-13",11.125
"43","2009-10-14",11.125
"44","2009-10-15",11.125
"45","2009-10-16",11.125
"46","2009-10-19",11.25
"47","2009-10-20",10.4
"48","2009-10-21",11.5
"49","2009-10-22",11.5
"50","2009-10-23",11.5
"51","2009-10-26",11.5
"52","2009-10-27",11.75
"53","2009-10-28",10
"54","2009-10-29",11.25
"55","2009-10-30",11.25
"56","2009-11-02",10.75
"57","2009-11-03",9.375
"58","2009-11-04",9.5
"59","2009-11-05",11.25
"60","2009-11-06",11.5
"61","2009-11-09",11.25
"62","2009-11-10",11.25
"63","2009-11-11",11.25
"64","2009-11-12",11.25
"65","2009-11-13",11.975
"66","2009-11-16",12.5
"67","2009-11-17",12.5
"68","2009-11-18",12.5
"69","2009-11-19",12.5
"70","2009-11-20",12.125
"71","2009-11-23",11.975
"72","2009-11-24",11.25
"73","2009-11-25",11.25
"74","2009-11-27",11.25
"75","2009-11-30",12.5
"76","2009-12-01",11.25
"77","2009-12-02",11.875
"78","2009-12-03",11.875
"79","2009-12-04",12.25
"80","2009-12-07",11.75
"81","2009-12-08",12.5
"82","2009-12-09",12.5
"83","2009-12-10",13.75
"84","2009-12-11",13.75
"85","2009-12-14",13.625
"86","2009-12-15",13.6
"87","2009-12-16",13.6
"88","2009-12-17",12.5
"89","2009-12-18",13.75
"90","2009-12-21",13.75
"91","2009-12-22",13.5
"92","2009-12-23",13.5
"93","2009-12-24",13.5
"94","2009-12-28",13.5
"95","2009-12-29",13.5
"96","2009-12-30",13.5
"97","2009-12-31",13.5
"98","2010-01-04",17.5
"99","2010-01-05",14.75
"100","2010-01-06",15
"101","2010-01-07",14.375
"102","2010-01-08",15.625
"103","2010-01-11",8.75
"104","2010-01-12",10.625
"105","2010-01-13",11.75
"106","2010-01-14",12.5
"107","2010-01-15",11.875
"108","2010-01-19",13.375
"109","2010-01-20",13.125
"110","2010-01-21",13
"111","2010-01-22",12.25
"112","2010-01-25",12
"113","2010-01-26",10.625
"114","2010-01-27",10.125
"115","2010-01-28",10
"116","2010-01-29",9.25
"117","2010-02-01",10
"118","2010-02-02",10
"119","2010-02-03",10.375
"120","2010-02-04",10
"121","2010-02-05",10
"122","2010-02-08",10
"123","2010-02-09",10
"124","2010-02-10",10
"125","2010-02-11",9.375
"126","2010-02-12",10
"127","2010-02-16",9.375
"128","2010-02-17",8.875
"129","2010-02-18",10.25
"130","2010-02-19",10.625
"131","2010-02-22",9
"132","2010-02-23",10
"133","2010-02-24",9.625
"134","2010-02-25",10.375
"135","2010-02-26",9.25
"136","2010-03-01",10.25
"137","2010-03-02",9.975
"138","2010-03-03",10.75
"139","2010-03-04",10.75
"140","2010-03-05",10
"141","2010-03-08",10.5
"142","2010-03-09",10.5
"143","2010-03-10",10.125
"144","2010-03-11",10.625
"145","2010-03-12",10.275
"146","2010-03-15",10.725
"147","2010-03-16",10.625
"148","2010-03-17",10.675
"149","2010-03-18",10.475
"150","2010-03-19",10.3
"151","2010-03-22",9.85
"152","2010-03-23",10.1
"153","2010-03-24",11.125
"154","2010-03-25",11.45
"155","2010-03-26",11.4
"156","2010-03-29",11.625
"157","2010-03-30",12.1
"158","2010-03-31",11.25
"159","2010-04-01",10.975
"160","2010-04-05",10.75
"161","2010-04-06",10.625
"162","2010-04-07",10.7
"163","2010-04-08",10.875
"164","2010-04-09",11.225
"165","2010-04-12",10.875
"166","2010-04-13",10.75
"167","2010-04-14",11.125
"168","2010-04-15",10.85
"169","2010-04-16",10.65
"170","2010-04-19",11
"171","2010-04-20",10.85
"172","2010-04-21",10.625
"173","2010-04-22",10.625
"174","2010-04-23",10.75
"175","2010-04-26",10.7
"176","2010-04-27",10.625
"177","2010-04-28",10.65
"178","2010-04-29",10.625
"179","2010-04-30",10.725
"180","2010-05-03",10.875
"181","2010-05-04",10.525
"182","2010-05-05",10.5
"183","2010-05-06",10.675
"184","2010-05-07",10.3
"185","2010-05-10",10.625
"186","2010-05-11",10.875
"187","2010-05-12",10.875
"188","2010-05-13",10.925
"189","2010-05-14",10.75
"190","2010-05-17",10.275
"191","2010-05-18",9.75
"192","2010-05-19",8.575
"193","2010-05-20",8.35
"194","2010-05-21",8.45
"195","2010-05-24",8.15
"196","2010-05-25",7.75
"197","2010-05-26",8.1
"198","2010-05-27",8.825
"199","2010-05-28",10.275
"200","2010-06-01",10.075
"201","2010-06-02",9.95
"202","2010-06-03",9.975
"203","2010-06-04",9.5
"204","2010-06-07",8.45
"205","2010-06-08",8.75
"206","2010-06-09",8.775
"207","2010-06-10",9.275
"208","2010-06-11",9.525
"209","2010-06-14",9.7
"210","2010-06-15",9.5
"211","2010-06-16",9.525
"212","2010-06-17",9.175
"213","2010-06-18",9.275
"214","2010-06-21",9.225
"215","2010-06-22",8.925
"216","2010-06-23",9
"217","2010-06-24",8.975
"218","2010-06-25",9.1
"219","2010-06-28",9.375
"220","2010-06-29",8.875
"221","2010-06-30",8.925
"222","2010-07-01",9.25
"223","2010-07-02",9.775
"224","2010-07-06",8.875
"225","2010-07-07",8.375
"226","2010-07-08",8.875
"227","2010-07-09",8.775
"228","2010-07-12",9.5
"229","2010-07-13",10.125
"230","2010-07-14",10.125
"231","2010-07-15",10
"232","2010-07-16",10.475
"233","2010-07-19",10.275
"234","2010-07-20",11.25
"235","2010-07-21",11.7
"236","2010-07-22",11.85
"237","2010-07-23",12.025
"238","2010-07-26",11.025
"239","2010-07-27",10.625
"240","2010-07-28",10
"241","2010-07-29",9.9
"242","2010-07-30",10.25
"243","2010-08-02",9.45
"244","2010-08-03",9.475
"245","2010-08-04",10.125
"246","2010-08-05",10.125
"247","2010-08-06",10
"248","2010-08-09",10.15
"249","2010-08-10",10.075
"250","2010-08-11",9.925
"251","2010-08-12",9.45
"252","2010-08-13",9.575
"253","2010-08-16",9.5
"254","2010-08-17",10.95
"255","2010-08-18",10.975
"256","2010-08-19",10.6
"257","2010-08-20",11.2
"258","2010-08-23",11.125
"259","2010-08-24",10.95
"260","2010-08-25",11.225
"261","2010-08-26",10.75
"262","2010-08-27",11
"263","2010-08-30",10.7
"264","2010-08-31",10.35
"265","2010-09-01",10.075
"266","2010-09-02",10.075
"267","2010-09-03",10.525
"268","2010-09-07",10.625
"269","2010-09-08",10.65
"270","2010-09-09",11.15
"271","2010-09-10",11
"272","2010-09-13",10.675
"273","2010-09-14",10.875
"274","2010-09-15",11.125
"275","2010-09-16",10.625
"276","2010-09-17",10.5
"277","2010-09-20",11.125
"278","2010-09-21",11.125
"279","2010-09-22",11
"280","2010-09-23",10.8
"281","2010-09-24",10.325
"282","2010-09-27",10.025
"283","2010-09-28",10.275
"284","2010-09-29",9.95
"285","2010-09-30",10.35
"286","2010-10-01",10.375
"287","2010-10-04",10.325
"288","2010-10-05",10.375
"289","2010-10-06",10.15
"290","2010-10-07",10.3
"291","2010-10-08",10.725
"292","2010-10-11",10.45
"293","2010-10-12",10.4
"294","2010-10-13",10.15
"295","2010-10-14",10.1
"296","2010-10-15",10
"297","2010-10-18",10
"298","2010-10-19",10
"299","2010-10-20",10
"300","2010-10-21",9.875
"301","2010-10-22",9.975
"302","2010-10-25",10.5
"303","2010-10-26",10.375
"304","2010-10-27",10.475
"305","2010-10-28",10.225
"306","2010-10-29",10.225
"307","2010-11-01",10.375
"308","2010-11-02",10.75
"309","2010-11-03",10.1
"310","2010-11-04",10.225
"311","2010-11-05",10.375
"312","2010-11-08",10.675
"313","2010-11-09",10.725
"314","2010-11-10",10.775
"315","2010-11-11",10.8
"316","2010-11-12",10.825
"317","2010-11-15",10.75
"318","2010-11-16",10.575
"319","2010-11-17",10.475
"320","2010-11-18",10.5
"321","2010-11-19",10.225
"322","2010-11-22",9.775
"323","2010-11-23",10.125
"324","2010-11-24",9.9
"325","2010-11-26",10.025
"326","2010-11-29",9.7
"327","2010-11-30",9.875
"328","2010-12-01",9.75
"329","2010-12-02",9.85
"330","2010-12-03",9.875
"331","2010-12-06",9.75
"332","2010-12-07",9.45
"333","2010-12-08",9.675
"334","2010-12-09",9.725
"335","2010-12-10",9.675
"336","2010-12-13",9.375
"337","2010-12-14",9.525
"338","2010-12-15",9.425
"339","2010-12-16",9.125
"340","2010-12-17",9
"341","2010-12-20",8.75
"342","2010-12-21",8.9
"343","2010-12-22",10.8
"344","2010-12-23",10.5
"345","2010-12-27",10.375
"346","2010-12-28",10.425
"347","2010-12-29",10.25
"348","2010-12-30",11.1
"349","2010-12-31",11.325
"350","2011-01-03",11.625
"351","2011-01-04",11.4
"352","2011-01-05",11.4
"353","2011-01-06",11.3
"354","2011-01-07",11.1
"355","2011-01-10",11
"356","2011-01-11",11.025
"357","2011-01-12",11.25
"358","2011-01-13",11.575
"359","2011-01-14",11.275
"360","2011-01-18",11.125
"361","2011-01-19",10.375
"362","2011-01-20",10.075
"363","2011-01-21",9.575
"364","2011-01-24",10.4
"365","2011-01-25",10.25
"366","2011-01-26",10.4
"367","2011-01-27",10.125
"368","2011-01-28",10.25
"369","2011-01-31",9.85
"370","2011-02-01",9.775
"371","2011-02-02",10.225
"372","2011-02-03",9.7
"373","2011-02-04",9.875
"374","2011-02-07",9.7
"375","2011-02-08",9.975
"376","2011-02-09",9.725
"377","2011-02-10",9.8
"378","2011-02-11",9.425
"379","2011-02-14",9.525
"380","2011-02-15",9.6
"381","2011-02-16",9.95
"382","2011-02-17",10.325
"383","2011-02-18",10.075
"384","2011-02-22",10.45
"385","2011-02-23",10.55
"386","2011-02-24",10.3
"387","2011-02-25",10.025
"388","2011-02-28",10.6
"389","2011-03-01",10.2
"390","2011-03-02",10.25
"391","2011-03-03",10.025
"392","2011-03-04",10.025
"393","2011-03-07",9.85
"394","2011-03-08",9.65
"395","2011-03-09",9.8
"396","2011-03-10",10.025
"397","2011-03-11",9.875
"398","2011-03-14",9.7
"399","2011-03-15",8.6
"400","2011-03-16",8.5
"401","2011-03-17",9
"402","2011-03-18",9.45
"403","2011-03-21",9.325
"404","2011-03-22",8.325
"405","2011-03-23",8.125
"406","2011-03-24",8.7
"407","2011-03-25",8.5
"408","2011-03-28",9.075
"409","2011-03-29",9.25
"410","2011-03-30",9
"411","2011-03-31",9.1
"412","2011-04-01",9.275
"413","2011-04-04",9.5
"414","2011-04-05",9.275
"415","2011-04-06",8.9
"416","2011-04-07",8.8
"417","2011-04-08",8.775
"418","2011-04-11",8.25
"419","2011-04-12",8.25
"420","2011-04-13",7.875
"421","2011-04-14",7.725
"422","2011-04-15",8.15
"423","2011-04-18",7.55
"424","2011-04-19",8.1
"425","2011-04-20",8.725
"426","2011-04-21",8.725
"427","2011-04-25",8.5
"428","2011-04-26",8.475
"429","2011-04-27",8.2
"430","2011-04-28",8.275
"431","2011-04-29",8
"432","2011-05-02",8
"433","2011-05-03",8.125
"434","2011-05-04",7.475
"435","2011-05-05",7.525
"436","2011-05-06",7.55
"437","2011-05-09",7.625
"438","2011-05-10",7.425
"439","2011-05-11",7.1
"440","2011-05-12",7.3
"441","2011-05-13",6.625
"442","2011-05-16",6.975
"443","2011-05-17",6.85
"444","2011-05-18",6.75
"445","2011-05-19",6.45
"446","2011-05-20",5.45
"447","2011-05-23",5.475
"448","2011-05-24",5
"449","2011-05-25",4.975
"450","2011-05-26",4.9
"451","2011-05-27",4.875
"452","2011-05-31",4.85
"453","2011-06-01",4.75
"454","2011-06-02",4.925
"455","2011-06-03",4.725
"456","2011-06-06",4.45
"457","2011-06-07",4.425
"458","2011-06-08",4.3
"459","2011-06-09",4.225
"460","2011-06-10",4.35
"461","2011-06-13",4.2
"462","2011-06-14",4.725
"463","2011-06-15",4.4
"464","2011-06-16",4.2
"465","2011-06-17",4.325
"466","2011-06-20",4.475
"467","2011-06-21",4.375
"468","2011-06-22",4.325
"469","2011-06-23",3.95
"470","2011-06-24",4.1
"471","2011-06-27",3.95
"472","2011-06-28",3.925
"473","2011-06-29",3.35
"474","2011-06-30",3.65
"475","2011-07-01",3.675
"476","2011-07-05",3.95
"477","2011-07-06",3.975
"478","2011-07-07",6.5
"479","2011-07-08",5.875
"480","2011-07-11",5.925
"481","2011-07-12",5.45
"482","2011-07-13",5.15
"483","2011-07-14",5.25
"484","2011-07-15",5.025
"485","2011-07-18",4.675
"486","2011-07-19",4.55
"487","2011-07-20",4.85
"488","2011-07-21",5.15
"489","2011-07-22",5.025
"490","2011-07-25",5.3
"491","2011-07-26",4.9
"492","2011-07-27",4.675
"493","2011-07-28",4.5
"494","2011-07-29",4.825
"495","2011-08-01",4.775
"496","2011-08-02",4.425
"497","2011-08-03",4.275
"498","2011-08-04",4.125
"499","2011-08-05",3.925
"500","2011-08-08",3.625
"501","2011-08-09",3.75
"502","2011-08-10",4.5
"503","2011-08-11",4.2
"504","2011-08-12",4.2
"505","2011-08-15",4.4
"506","2011-08-16",3.575
"507","2011-08-17",3.45
"508","2011-08-18",3.2
"509","2011-08-19",2.975
"510","2011-08-22",2.975
"511","2011-08-23",3.05
"512","2011-08-24",3.025
"513","2011-08-25",2.975
"514","2011-08-26",2.95
"515","2011-08-29",3
"516","2011-08-30",3
"517","2011-08-31",2.875
"518","2011-09-01",3.125
"519","2011-09-02",4
"520","2011-09-06",3.8
"521","2011-09-07",3.875
"522","2011-09-08",3.825
"523","2011-09-09",3.85
"524","2011-09-12",3.75
"525","2011-09-13",3.875
"526","2011-09-14",3.5
"527","2011-09-15",3.35
"528","2011-09-16",3.65
"529","2011-09-19",3.65
"530","2011-09-20",3.3
"531","2011-09-21",3.2
"532","2011-09-22",3.15
"533","2011-09-23",2.9
"534","2011-09-26",2.825
"535","2011-09-27",2.9
"536","2011-09-28",3.15
"537","2011-09-29",2.85
"538","2011-09-30",2.775
"539","2011-10-03",2.6
"540","2011-10-04",2.775
"541","2011-10-05",2.675
"542","2011-10-06",2.775
"543","2011-10-07",2.775
"544","2011-10-10",2.775
"545","2011-10-11",2.775
"546","2011-10-12",2.8
"547","2011-10-13",2.725
"548","2011-10-14",2.975
"549","2011-10-17",2.95
"550","2011-10-18",2.95
"551","2011-10-19",2.925
"552","2011-10-20",2.65
"553","2011-10-21",2.7
"554","2011-10-24",2.625
"555","2011-10-25",2.625
"556","2011-10-26",2.6
"557","2011-10-27",2.625
"558","2011-10-28",2.9
"559","2011-10-31",3.2
"560","2011-11-01",3.175
"561","2011-11-02",3.3
"562","2011-11-03",3.05
"563","2011-11-04",2.625
"564","2011-11-07",2.75
"565","2011-11-08",2.875
"566","2011-11-09",2.875
"567","2011-11-10",2.625
"568","2011-11-11",2.75
"569","2011-11-14",2.65
"570","2011-11-15",2.8
"571","2011-11-16",3
"572","2011-11-17",3.025
"573","2011-11-18",3.05
"574","2011-11-21",2.875
"575","2011-11-22",2.8
"576","2011-11-23",2.75
"577","2011-11-25",2.75
"578","2011-11-28",2.725
"579","2011-11-29",2.75
"580","2011-11-30",2.85
"581","2011-12-01",2.75
"582","2011-12-02",2.75
"583","2011-12-05",2.975
"584","2011-12-06",2.95
"585","2011-12-07",2.875
"586","2011-12-08",2.95
"587","2011-12-09",2.975
"588","2011-12-12",2.8
"589","2011-12-13",2.95
"590","2011-12-14",2.975
"591","2011-12-15",2.825
"592","2011-12-16",2.9
"593","2011-12-19",2.75
"594","2011-12-20",2.8
"595","2011-12-21",2.85
"596","2011-12-22",2.875
"597","2011-12-23",2.875
"598","2011-12-27",2.8
"599","2011-12-28",2.775
"600","2011-12-29",2.7
"601","2011-12-30",2.75
"602","2012-01-03",2.625
"603","2012-01-04",2.65
"604","2012-01-05",2.7
"605","2012-01-06",2.7
"606","2012-01-09",2.675
"607","2012-01-10",2.725
"608","2012-01-11",2.75
"609","2012-01-12",2.925
"610","2012-01-13",2.775
"611","2012-01-17",2.775
"612","2012-01-18",2.775
"613","2012-01-19",2.925
"614","2012-01-20",2.925
"615","2012-01-23",2.775
"616","2012-01-24",2.75
"617","2012-01-25",2.675
"618","2012-01-26",2.675
"619","2012-01-27",2.775
"620","2012-01-30",2.8
"621","2012-01-31",2.75
"622","2012-02-01",2.65
"623","2012-02-02",2.625
"624","2012-02-03",2.625
"625","2012-02-06",2.65
"626","2012-02-07",2.725
"627","2012-02-08",2.65
"628","2012-02-09",2.675
"629","2012-02-10",2.675
"630","2012-02-13",2.65
"631","2012-02-14",2.475
"632","2012-02-15",2.6
"633","2012-02-16",2.725
"634","2012-02-17",2.75
"635","2012-02-21",2.625
"636","2012-02-22",2.625
"637","2012-02-23",2.525
"638","2012-02-24",2.6
"639","2012-02-27",2.625
"640","2012-02-28",2.65
