"","date","REAL"
"1","2019-06-28",28.9
"2","2019-07-01",26.549999
"3","2019-07-02",25.98
"4","2019-07-03",25.5
"5","2019-07-05",26.51
"6","2019-07-08",25.92
"7","2019-07-09",25.360001
"8","2019-07-10",26.4
"9","2019-07-11",25.57
"10","2019-07-12",25.790001
"11","2019-07-15",24.91
"12","2019-07-16",24.52
"13","2019-07-17",23.860001
"14","2019-07-18",25.059999
"15","2019-07-19",24.139999
"16","2019-07-22",24.790001
"17","2019-07-23",24.610001
"18","2019-07-24",24.51
"19","2019-07-25",24.610001
"20","2019-07-26",25.85
"21","2019-07-29",25.120001
"22","2019-07-30",24.610001
"23","2019-07-31",24.549999
"24","2019-08-01",25
"25","2019-08-02",24.049999
"26","2019-08-05",23.84
"27","2019-08-06",23.629999
"28","2019-08-07",23
"29","2019-08-08",23.129999
"30","2019-08-09",17.74
"31","2019-08-12",17.879999
"32","2019-08-13",17
"33","2019-08-14",14.28
"34","2019-08-15",15.48
"35","2019-08-16",17.24
"36","2019-08-19",17.25
"37","2019-08-20",17.16
"38","2019-08-21",17.23
"39","2019-08-22",16.690001
"40","2019-08-23",15.35
"41","2019-08-26",14.23
"42","2019-08-27",12.8
"43","2019-08-28",13.61
"44","2019-08-29",13.98
"45","2019-08-30",13.07
"46","2019-09-03",13.81
"47","2019-09-04",14.26
"48","2019-09-05",15
"49","2019-09-06",15.37
"50","2019-09-09",15.33
"51","2019-09-10",16.18
"52","2019-09-11",16.35
"53","2019-09-12",16.92
"54","2019-09-13",17.01
"55","2019-09-16",16.75
"56","2019-09-17",17.370001
"57","2019-09-18",16.290001
"58","2019-09-19",16.809999
"59","2019-09-20",16.93
"60","2019-09-23",17.65
"61","2019-09-24",17.08
"62","2019-09-25",18.33
"63","2019-09-26",18.690001
"64","2019-09-27",19.35
"65","2019-09-30",22.360001
"66","2019-10-01",20.82
"67","2019-10-02",18.85
"68","2019-10-03",18.91
"69","2019-10-04",20.139999
"70","2019-10-07",20.879999
"71","2019-10-08",21.1
"72","2019-10-09",21.23
"73","2019-10-10",22.530001
"74","2019-10-11",22.129999
"75","2019-10-14",21.43
"76","2019-10-15",21.110001
"77","2019-10-16",21.75
"78","2019-10-17",22.66
"79","2019-10-18",22.049999
"80","2019-10-21",21.639999
"81","2019-10-22",20.93
"82","2019-10-23",19.030001
"83","2019-10-24",19.75
"84","2019-10-25",22.129999
"85","2019-10-28",23.25
"86","2019-10-29",23.5
"87","2019-10-30",23.75
"88","2019-10-31",23.110001
"89","2019-11-01",22.93
"90","2019-11-04",21.73
"91","2019-11-05",19.370001
"92","2019-11-06",17.93
"93","2019-11-07",17.57
"94","2019-11-08",17.66
"95","2019-11-11",18.200001
"96","2019-11-12",18.33
"97","2019-11-13",18.469999
"98","2019-11-14",17.91
"99","2019-11-15",17.709999
"100","2019-11-18",17.24
"101","2019-11-19",17.549999
"102","2019-11-20",16.93
"103","2019-11-21",16.15
"104","2019-11-22",16.360001
"105","2019-11-25",16.84
"106","2019-11-26",16.639999
"107","2019-11-27",17.469999
"108","2019-11-29",17.200001
"109","2019-12-02",16
"110","2019-12-03",16.299999
"111","2019-12-04",17.34
"112","2019-12-05",16.82
"113","2019-12-06",17.65
"114","2019-12-09",17.469999
"115","2019-12-10",16.969999
"116","2019-12-11",17.08
"117","2019-12-12",18.57
"118","2019-12-13",18.6
"119","2019-12-16",18.299999
"120","2019-12-17",17.43
"121","2019-12-18",17.700001
"122","2019-12-19",18.219999
"123","2019-12-20",18.58
"124","2019-12-23",18.15
"125","2019-12-24",17.809999
"126","2019-12-26",18.08
"127","2019-12-27",18.32
"128","2019-12-30",18.049999
"129","2019-12-31",18.85
"130","2020-01-02",17.870001
"131","2020-01-03",18.440001
"132","2020-01-06",17.860001
"133","2020-01-07",18.105
"134","2020-01-08",17.360001
"135","2020-01-09",18.17
"136","2020-01-10",17.790001
"137","2020-01-13",18.16
"138","2020-01-14",18.110001
"139","2020-01-15",17.74
"140","2020-01-16",18.139999
"141","2020-01-17",17.440001
"142","2020-01-21",17.799999
"143","2020-01-22",16.58
"144","2020-01-23",16
"145","2020-01-24",15.5
"146","2020-01-27",15.26
"147","2020-01-28",15.4
"148","2020-01-29",15.09
"149","2020-01-30",14.79
"150","2020-01-31",14.47
"151","2020-02-03",14.03
"152","2020-02-04",14.51
"153","2020-02-05",14.42
"154","2020-02-06",14.5
"155","2020-02-07",14.295
"156","2020-02-10",14.5
"157","2020-02-11",14.955
"158","2020-02-12",15.66
"159","2020-02-13",15.43
"160","2020-02-14",15.18
"161","2020-02-18",15.24
"162","2020-02-19",15.53
"163","2020-02-20",15.6
"164","2020-02-21",15.9
"165","2020-02-24",14.95
"166","2020-02-25",14.97
"167","2020-02-26",14.95
"168","2020-02-27",13.86
"169","2020-02-28",13.99
"170","2020-03-02",14.21
"171","2020-03-03",13.59
"172","2020-03-04",13.43
"173","2020-03-05",13
"174","2020-03-06",13.01
"175","2020-03-09",12.14
"176","2020-03-10",12.55
"177","2020-03-11",11.39
"178","2020-03-12",8.81
"179","2020-03-13",8.7
"180","2020-03-16",6.47
"181","2020-03-17",7.58
"182","2020-03-18",8.02
"183","2020-03-19",8.08
"184","2020-03-20",7.56
"185","2020-03-23",5.46
"186","2020-03-24",5.75
"187","2020-03-25",6.95
"188","2020-03-26",7.66
