"","date","ESCA"
"1","2007-01-03",10.6
"2","2007-01-04",10.52
"3","2007-01-05",10.45
"4","2007-01-08",10.49
"5","2007-01-09",10.55
"6","2007-01-10",10.33
"7","2007-01-11",10.02
"8","2007-01-12",10.1
"9","2007-01-16",10.03
"10","2007-01-17",10.1
"11","2007-01-18",10.01
"12","2007-01-19",9.98
"13","2007-01-22",9.9
"14","2007-01-23",9.68
"15","2007-01-24",9.43
"16","2007-01-25",9.41
"17","2007-01-26",9.36
"18","2007-01-29",9.4
"19","2007-01-30",9.38
"20","2007-01-31",9.43
"21","2007-02-01",9.25
"22","2007-02-02",9.28
"23","2007-02-05",9.2
"24","2007-02-06",9.2
"25","2007-02-07",9.2
"26","2007-02-08",9.2
"27","2007-02-09",9.2
"28","2007-02-12",9.13
"29","2007-02-13",9.13
"30","2007-02-14",9.44
"31","2007-02-15",9.54
"32","2007-02-16",9.54
"33","2007-02-20",9.53
"34","2007-02-21",10
"35","2007-02-22",10
"36","2007-02-23",10
"37","2007-02-26",9.7
"38","2007-02-27",9.75
"39","2007-02-28",9.49
"40","2007-03-01",9.55
"41","2007-03-02",9.53
"42","2007-03-05",9.41
"43","2007-03-06",9.41
"44","2007-03-07",9.5
"45","2007-03-08",9.39
"46","2007-03-09",9.54
"47","2007-03-12",9.4
"48","2007-03-13",9.49
"49","2007-03-14",9.48
"50","2007-03-15",9.49
"51","2007-03-16",9.75
"52","2007-03-19",9.89
"53","2007-03-20",9.67
"54","2007-03-21",9.5
"55","2007-03-22",9.53
"56","2007-03-23",9.45
"57","2007-03-26",9.5
"58","2007-03-27",9.5
"59","2007-03-28",9.45
"60","2007-03-29",9.49
"61","2007-03-30",9.44
"62","2007-04-02",9.5
"63","2007-04-03",9.5
"64","2007-04-04",9.5
"65","2007-04-05",9.47
"66","2007-04-09",9.4
"67","2007-04-10",9
"68","2007-04-11",9.34
"69","2007-04-12",9.34
"70","2007-04-13",9.5
"71","2007-04-16",9.46
"72","2007-04-17",9.5
"73","2007-04-18",9.48
"74","2007-04-19",9.45
"75","2007-04-20",9.5
"76","2007-04-23",9.39
"77","2007-04-24",9.43
"78","2007-04-25",9.4
"79","2007-04-26",9.47
"80","2007-04-27",9.5
"81","2007-04-30",9.35
"82","2007-05-01",9.35
"83","2007-05-02",9.35
"84","2007-05-03",9.44
"85","2007-05-04",9.48
