"","date","LOVE"
"1","2018-06-27",23.99
"2","2018-06-28",21.33
"3","2018-06-29",20.75
"4","2018-07-02",20.440001
"5","2018-07-03",20.59
"6","2018-07-05",21.940001
"7","2018-07-06",21.08
"8","2018-07-09",21.5
"9","2018-07-10",21.25
"10","2018-07-11",21.75
"11","2018-07-12",21.120001
"12","2018-07-13",21.190001
"13","2018-07-16",21.32
"14","2018-07-17",20.92
"15","2018-07-18",20.764999
"16","2018-07-19",20.85
"17","2018-07-20",20.84
"18","2018-07-23",21
"19","2018-07-24",20.75
"20","2018-07-25",20.5
"21","2018-07-26",20
"22","2018-07-27",20.48
"23","2018-07-30",20
"24","2018-07-31",20
"25","2018-08-01",20.200001
"26","2018-08-02",20.049999
"27","2018-08-03",20
"28","2018-08-06",20.059999
"29","2018-08-07",20.34
"30","2018-08-08",20.75
"31","2018-08-09",20
"32","2018-08-10",20.75
"33","2018-08-13",20.110001
"34","2018-08-14",20
"35","2018-08-15",20.25
"36","2018-08-16",20.52
"37","2018-08-17",20.15
"38","2018-08-20",20.120001
"39","2018-08-21",20.23
"40","2018-08-22",20.389999
"41","2018-08-23",20.48
"42","2018-08-24",20.42
"43","2018-08-27",20.42
"44","2018-08-28",20.26
"45","2018-08-29",20.25
"46","2018-08-30",19.790001
"47","2018-08-31",20.639999
"48","2018-09-04",20.549999
"49","2018-09-05",21
"50","2018-09-06",20.940001
"51","2018-09-07",21.15
"52","2018-09-10",20.799999
"53","2018-09-11",20.85
"54","2018-09-12",21.02
"55","2018-09-13",20
"56","2018-09-14",20.110001
"57","2018-09-17",19.92
"58","2018-09-18",20
"59","2018-09-19",20.549999
"60","2018-09-20",21.99
"61","2018-09-21",24.35
"62","2018-09-24",24.469999
"63","2018-09-25",26.6
"64","2018-09-26",27.4
"65","2018-09-27",26.5
"66","2018-09-28",24.98
"67","2018-10-01",24.24
"68","2018-10-02",24.24
"69","2018-10-03",24.459999
"70","2018-10-04",23.6
"71","2018-10-05",24.040001
"72","2018-10-08",22.870001
"73","2018-10-09",23.25
"74","2018-10-10",22.370001
"75","2018-10-11",21.209999
"76","2018-10-12",21.629999
"77","2018-10-15",20.99
"78","2018-10-16",20.76
"79","2018-10-17",21.870001
"80","2018-10-18",21.610001
"81","2018-10-19",21.42
"82","2018-10-22",21.1
"83","2018-10-23",20.799999
"84","2018-10-24",17.23
"85","2018-10-25",17.860001
"86","2018-10-26",19
"87","2018-10-29",19
"88","2018-10-30",19.110001
"89","2018-10-31",19.040001
"90","2018-11-01",19.049999
"91","2018-11-02",19.6
"92","2018-11-05",19.370001
"93","2018-11-06",19.049999
"94","2018-11-07",19.219999
"95","2018-11-08",19.32
"96","2018-11-09",19.25
"97","2018-11-12",19.25
"98","2018-11-13",20.450001
"99","2018-11-14",20
"100","2018-11-15",19.969999
"101","2018-11-16",20.190001
"102","2018-11-19",19.99
"103","2018-11-20",19.379999
"104","2018-11-21",19.309999
"105","2018-11-23",19.190001
"106","2018-11-26",18.16
"107","2018-11-27",17.950001
"108","2018-11-28",17.83
"109","2018-11-29",17.120001
"110","2018-11-30",17.530001
"111","2018-12-03",18.93
"112","2018-12-04",18.51
"113","2018-12-06",19.450001
"114","2018-12-07",20.040001
"115","2018-12-10",20.639999
"116","2018-12-11",20.889999
"117","2018-12-12",20.870001
"118","2018-12-13",21.200001
"119","2018-12-14",21.49
"120","2018-12-17",21.91
"121","2018-12-18",23.799999
"122","2018-12-19",23.860001
"123","2018-12-20",22.99
"124","2018-12-21",21.629999
"125","2018-12-24",22.709999
"126","2018-12-26",23.059999
"127","2018-12-27",23.59
"128","2018-12-28",23.84
"129","2018-12-31",22.940001
"130","2019-01-02",23
"131","2019-01-03",22.57
