"","date","ANTE"
"1","2007-11-07",104.5
"2","2007-11-08",95
"3","2007-11-09",97
"4","2007-11-12",92.800003
"5","2007-11-13",90
"6","2007-11-14",95.5
"7","2007-11-15",92.5
"8","2007-11-16",89.949997
"9","2007-11-19",90.849998
"10","2007-11-20",86.25
"11","2007-11-21",81.25
"12","2007-11-23",82.800003
"13","2007-11-26",84.5
"14","2007-11-27",83.25
"15","2007-11-28",86.150002
"16","2007-11-29",85
"17","2007-11-30",88.199997
"18","2007-12-03",89.550003
"19","2007-12-04",87.75
"20","2007-12-05",89.949997
"21","2007-12-06",92.650002
"22","2007-12-07",98.800003
"23","2007-12-10",103
"24","2007-12-11",101.800003
"25","2007-12-12",98.949997
"26","2007-12-13",96.5
"27","2007-12-14",96.800003
"28","2007-12-17",93.099998
"29","2007-12-18",95.5
"30","2007-12-19",102.25
"31","2007-12-20",102.349998
"32","2007-12-21",108.150002
"33","2007-12-24",110.75
"34","2007-12-26",109.599998
"35","2007-12-27",109.050003
"36","2007-12-28",117.099998
"37","2007-12-31",111.900002
"38","2008-01-02",108.800003
"39","2008-01-03",114.400002
"40","2008-01-04",118
"41","2008-01-07",115
"42","2008-01-08",115
"43","2008-01-09",116.300003
"44","2008-01-10",119.25
"45","2008-01-11",120.900002
"46","2008-01-14",125.199997
"47","2008-01-15",127.5
"48","2008-01-16",122
"49","2008-01-17",120.449997
"50","2008-01-18",120.050003
"51","2008-01-22",110.800003
"52","2008-01-23",103.300003
"53","2008-01-24",114.849998
"54","2008-01-25",116.449997
"55","2008-01-28",116.050003
"56","2008-01-29",111.75
"57","2008-01-30",110
"58","2008-01-31",114.449997
"59","2008-02-01",112.150002
"60","2008-02-04",111.349998
"61","2008-02-05",105.25
"62","2008-02-06",101.150002
"63","2008-02-07",94.25
"64","2008-02-08",96.050003
"65","2008-02-11",94.699997
"66","2008-02-12",92.5
"67","2008-02-13",92.5
"68","2008-02-14",92.900002
"69","2008-02-15",93.199997
"70","2008-02-19",95.449997
"71","2008-02-20",95
"72","2008-02-21",94.800003
"73","2008-02-22",91.900002
"74","2008-02-25",88.5
"75","2008-02-26",91.75
"76","2008-02-27",90.5
"77","2008-02-28",91.050003
"78","2008-02-29",89.699997
"79","2008-03-03",91.550003
"80","2008-03-04",93.75
"81","2008-03-05",100.599998
"82","2008-03-06",99.949997
"83","2008-03-07",91.800003
"84","2008-03-10",87.599998
"85","2008-03-11",87.5
"86","2008-03-12",89.900002
"87","2008-03-13",85.949997
"88","2008-03-14",83.400002
"89","2008-03-17",78.050003
"90","2008-03-18",79.650002
"91","2008-03-19",78.550003
"92","2008-03-20",79.5
"93","2008-03-24",82.349998
"94","2008-03-25",84.5
"95","2008-03-26",84.150002
"96","2008-03-27",84.300003
"97","2008-03-28",83.5
"98","2008-03-31",79.5
"99","2008-04-01",82.699997
"100","2008-04-02",86.449997
"101","2008-04-03",89.699997
"102","2008-04-04",90.099998
"103","2008-04-07",89.5
"104","2008-04-08",84.449997
"105","2008-04-09",79.5
"106","2008-04-10",81.300003
"107","2008-04-11",78.150002
"108","2008-04-14",74.150002
"109","2008-04-15",78.449997
"110","2008-04-16",84.949997
"111","2008-04-17",84.5
"112","2008-04-18",86.699997
"113","2008-04-21",89
"114","2008-04-22",90
"115","2008-04-23",89.5
"116","2008-04-24",90.050003
"117","2008-04-25",93.300003
"118","2008-04-28",97.800003
"119","2008-04-29",99.800003
"120","2008-04-30",99.300003
"121","2008-05-01",100.75
"122","2008-05-02",108.550003
"123","2008-05-05",104.800003
"124","2008-05-06",102.300003
"125","2008-05-07",101.25
"126","2008-05-08",94.5
"127","2008-05-09",89.949997
"128","2008-05-12",85.650002
"129","2008-05-13",85.349998
"130","2008-05-14",89.150002
"131","2008-05-15",96
