"","date","CCBG"
"1","2007-01-03",34.450001
"2","2007-01-04",34.73
"3","2007-01-05",33.889999
"4","2007-01-08",33.459999
"5","2007-01-09",33.34
"6","2007-01-10",33.549999
"7","2007-01-11",34.43
"8","2007-01-12",34.5
"9","2007-01-16",33.610001
"10","2007-01-17",33
"11","2007-01-18",32.630001
"12","2007-01-19",32.830002
"13","2007-01-22",32.299999
"14","2007-01-23",32.82
"15","2007-01-24",34.349998
"16","2007-01-25",33.509998
"17","2007-01-26",34.439999
"18","2007-01-29",34.450001
"19","2007-01-30",34.450001
"20","2007-01-31",34.380001
"21","2007-02-01",34.290001
"22","2007-02-02",34.23
"23","2007-02-05",34.169998
"24","2007-02-06",34.119999
"25","2007-02-07",34.759998
"26","2007-02-08",34.790001
"27","2007-02-09",33.939999
"28","2007-02-12",34.16
"29","2007-02-13",34.470001
"30","2007-02-14",34.23
"31","2007-02-15",33.700001
"32","2007-02-16",33.689999
"33","2007-02-20",34.029999
"34","2007-02-21",33.580002
"35","2007-02-22",33.740002
"36","2007-02-23",34.389999
"37","2007-02-26",34.450001
"38","2007-02-27",33.540001
"39","2007-02-28",33.470001
"40","2007-03-01",33.009998
"41","2007-03-02",31.85
"42","2007-03-05",31.25
"43","2007-03-06",32.900002
"44","2007-03-07",31.76
"45","2007-03-08",31.51
"46","2007-03-09",32.099998
"47","2007-03-12",31.959999
"48","2007-03-13",30.43
"49","2007-03-14",30.040001
"50","2007-03-15",31.09
"51","2007-03-16",30.969999
"52","2007-03-19",31.33
"53","2007-03-20",32.490002
"54","2007-03-21",33.43
"55","2007-03-22",33.110001
"56","2007-03-23",32.779999
"57","2007-03-26",33.360001
"58","2007-03-27",33.279999
"59","2007-03-28",32.810001
"60","2007-03-29",33.189999
"61","2007-03-30",33.299999
"62","2007-04-02",33.349998
"63","2007-04-03",33.400002
"64","2007-04-04",32.34
"65","2007-04-05",32.110001
"66","2007-04-09",31.629999
"67","2007-04-10",31.73
"68","2007-04-11",31.17
"69","2007-04-12",31.540001
"70","2007-04-13",31.27
"71","2007-04-16",32.959999
"72","2007-04-17",32.919998
"73","2007-04-18",32.959999
"74","2007-04-19",32.310001
"75","2007-04-20",32.830002
"76","2007-04-23",31.24
"77","2007-04-24",30.450001
"78","2007-04-25",30.34
"79","2007-04-26",30.059999
"80","2007-04-27",31.1
"81","2007-04-30",29.809999
"82","2007-05-01",30.25
"83","2007-05-02",31.620001
