"","date","AL"
"232","2012-03-20",25.059999
"233","2012-03-21",25.1
"234","2012-03-22",24.4
"235","2012-03-23",24.370001
"236","2012-03-26",24.57
"237","2012-03-27",24.92
"238","2012-03-28",24.24
"239","2012-03-29",23.940001
"240","2012-03-30",24.07
"241","2012-04-02",24.09
"242","2012-04-03",23.99
"243","2012-04-04",23.719999
"244","2012-04-05",23.52
"245","2012-04-09",23.110001
"246","2012-04-10",22.709999
"247","2012-04-11",23.200001
"248","2012-04-12",23.48
"249","2012-04-13",23.290001
"250","2012-04-16",24.110001
"251","2012-04-17",24.6
"252","2012-04-18",24.24
"253","2012-04-19",24.6
"254","2012-04-20",24.9
"255","2012-04-23",24.66
"256","2012-04-24",24.790001
"257","2012-04-25",24.76
"258","2012-04-26",24.360001
"259","2012-04-27",23.77
"260","2012-04-30",23.52
"261","2012-05-01",23.4
"262","2012-05-02",23.059999
"263","2012-05-03",22.73
"264","2012-05-04",23.200001
"265","2012-05-07",23.549999
"266","2012-05-08",23.68
"267","2012-05-09",23.870001
"268","2012-05-10",23.690001
"269","2012-05-11",23.9
"270","2012-05-14",23.610001
"271","2012-05-15",22.41
"272","2012-05-16",22.43
"273","2012-05-17",21.48
"274","2012-05-18",20.610001
"275","2012-05-21",20.84
"276","2012-05-22",20.92
"277","2012-05-23",20.959999
"278","2012-05-24",20.84
"279","2012-05-25",20.780001
"280","2012-05-29",21.309999
"281","2012-05-30",21.120001
"282","2012-05-31",20.93
"283","2012-06-01",20.41
"284","2012-06-04",20.190001
"285","2012-06-05",20.51
"286","2012-06-06",20.73
"287","2012-06-07",20.41
"288","2012-06-08",20.4
"289","2012-06-11",20.200001
"290","2012-06-12",20.25
"291","2012-06-13",20.25
"292","2012-06-14",20.15
"293","2012-06-15",19.9
"294","2012-06-18",19.940001
"295","2012-06-19",20.4
"296","2012-06-20",19.83
"297","2012-06-21",19.639999
"298","2012-06-22",19.379999
"299","2012-06-25",19.02
"300","2012-06-26",19.1
"301","2012-06-27",19.4
"302","2012-06-28",19.280001
"303","2012-06-29",19.389999
"304","2012-07-02",19.41
"305","2012-07-03",19.629999
"306","2012-07-05",19.5
"307","2012-07-06",19.219999
"308","2012-07-09",19.15
"309","2012-07-10",19.02
"310","2012-07-11",19.09
"311","2012-07-12",19.01
"312","2012-07-13",19.07
"313","2012-07-16",18.99
"314","2012-07-17",18.76
"315","2012-07-18",18.620001
"316","2012-07-19",18.860001
"317","2012-07-20",19.389999
"318","2012-07-23",18.98
"319","2012-07-24",19.030001
"320","2012-07-25",19.23
"321","2012-07-26",19.200001
"322","2012-07-27",19.49
"323","2012-07-30",19.389999
"324","2012-07-31",19.68
"325","2012-08-01",19.49
"326","2012-08-02",19.48
"327","2012-08-03",20.5
"328","2012-08-06",20.66
"329","2012-08-07",21.209999
"330","2012-08-08",21.129999
"331","2012-08-09",21
"332","2012-08-10",21.01
"333","2012-08-13",20.59
"334","2012-08-14",20.65
"335","2012-08-15",20.639999
"336","2012-08-16",20.65
"337","2012-08-17",21.290001
"338","2012-08-20",21.57
"339","2012-08-21",21.219999
"340","2012-08-22",21.290001
"341","2012-08-23",20.799999
"342","2012-08-24",21.030001
"343","2012-08-27",20.84
"344","2012-08-28",20.73
"345","2012-08-29",20.83
"346","2012-08-30",20.709999
"347","2012-08-31",20.620001
"348","2012-09-04",21.6
"349","2012-09-05",21.540001
"350","2012-09-06",22.4
"351","2012-09-07",22.459999
"352","2012-09-10",22.690001
"353","2012-09-11",22.24
"354","2012-09-12",22.389999
"355","2012-09-13",22.4
"356","2012-09-14",22.290001
"357","2012-09-17",21.860001
"358","2012-09-18",21.25
"359","2012-09-19",21.15
"360","2012-09-20",20.879999
"361","2012-09-21",21.200001
