"","date","PCG"
"1","2007-01-03",47.27
"2","2007-01-04",46.619999
"3","2007-01-05",45.490002
"4","2007-01-08",45.93
"5","2007-01-09",46.150002
"6","2007-01-10",46.77
"7","2007-01-11",46.900002
"8","2007-01-12",46.18
"9","2007-01-16",46.169998
"10","2007-01-17",46.259998
"11","2007-01-18",46.169998
"12","2007-01-19",46.040001
"13","2007-01-22",45.799999
"14","2007-01-23",46.169998
"15","2007-01-24",46.68
"16","2007-01-25",45.849998
"17","2007-01-26",46.029999
"18","2007-01-29",46.27
"19","2007-01-30",46.310001
"20","2007-01-31",46.68
"21","2007-02-01",46.98
"22","2007-02-02",47.040001
"23","2007-02-05",47.689999
"24","2007-02-06",47.619999
"25","2007-02-07",47.68
"26","2007-02-08",48.169998
"27","2007-02-09",47.700001
"28","2007-02-12",47.84
"29","2007-02-13",48.41
"30","2007-02-14",48.299999
"31","2007-02-15",48.43
"32","2007-02-16",48.23
"33","2007-02-20",48
"34","2007-02-21",47.91
"35","2007-02-22",47.849998
"36","2007-02-23",47.77
"37","2007-02-26",47.970001
"38","2007-02-27",46.419998
"39","2007-02-28",46.43
"40","2007-03-01",46.650002
"41","2007-03-02",45.66
"42","2007-03-05",45.25
"43","2007-03-06",45.709999
"44","2007-03-07",46.48
"45","2007-03-08",46.360001
"46","2007-03-09",46.150002
"47","2007-03-12",46.389999
"48","2007-03-13",45.689999
"49","2007-03-14",45.790001
"50","2007-03-15",46.5
"51","2007-03-16",46.009998
"52","2007-03-19",46.299999
"53","2007-03-20",47.32
"54","2007-03-21",48.099998
"55","2007-03-22",48.330002
"56","2007-03-23",48.84
"57","2007-03-26",49.209999
"58","2007-03-27",48.919998
"59","2007-03-28",48.599998
"60","2007-03-29",48.57
"61","2007-03-30",48.27
"62","2007-04-02",49.439999
"63","2007-04-03",49.700001
"64","2007-04-04",49.349998
"65","2007-04-05",49.349998
"66","2007-04-09",49.380001
"67","2007-04-10",50.049999
"68","2007-04-11",49.939999
"69","2007-04-12",49.790001
"70","2007-04-13",49.889999
"71","2007-04-16",49.82
"72","2007-04-17",50.5
"73","2007-04-18",50.139999
"74","2007-04-19",50.360001
"75","2007-04-20",50.830002
"76","2007-04-23",51.599998
"77","2007-04-24",51.549999
"78","2007-04-25",52.110001
"79","2007-04-26",51.549999
"80","2007-04-27",51.130001
"81","2007-04-30",50.599998
"82","2007-05-01",51.290001
"83","2007-05-02",51.610001
"84","2007-05-03",51.279999
"85","2007-05-04",51.259998
"86","2007-05-07",51.599998
"87","2007-05-08",51.490002
"88","2007-05-09",51.360001
"89","2007-05-10",50.459999
"90","2007-05-11",50.900002
"91","2007-05-14",51.02
"92","2007-05-15",51.209999
"93","2007-05-16",51.540001
"94","2007-05-17",51.66
"95","2007-05-18",51.450001
"96","2007-05-21",51.419998
"97","2007-05-22",51.23
"98","2007-05-23",50.41
"99","2007-05-24",49.330002
"100","2007-05-25",49.09
"101","2007-05-29",49.009998
"102","2007-05-30",49.32
"103","2007-05-31",49.259998
"104","2007-06-01",48.970001
"105","2007-06-04",48.93
"106","2007-06-05",48.189999
"107","2007-06-06",47.139999
"108","2007-06-07",45.529999
"109","2007-06-08",45.57
"110","2007-06-11",45.630001
"111","2007-06-12",45.279999
"112","2007-06-13",46.939999
"113","2007-06-14",46.720001
"114","2007-06-15",47.119999
"115","2007-06-18",46.639999
"116","2007-06-19",46.740002
"117","2007-06-20",45.209999
"118","2007-06-21",45.669998
"119","2007-06-22",44.950001
"120","2007-06-25",45.27
"121","2007-06-26",45.150002
"122","2007-06-27",45.43
"123","2007-06-28",45.200001
"124","2007-06-29",45.299999
"125","2007-07-02",46.139999
"126","2007-07-03",45.75
"127","2007-07-05",45.189999
"128","2007-07-06",44.619999
"129","2007-07-09",44.959999
"130","2007-07-10",44.75
"131","2007-07-11",44.799999
"132","2007-07-12",45.419998
