"","date","SEAS"
"1","2013-04-19",33.52
"2","2013-04-22",32.919998
"3","2013-04-23",32.849998
"4","2013-04-24",32.470001
"5","2013-04-25",33.200001
"6","2013-04-26",32.32
"7","2013-04-29",33.16
"8","2013-04-30",33.599998
"9","2013-05-01",33.049999
"10","2013-05-02",33.689999
"11","2013-05-03",33.130001
"12","2013-05-06",33
"13","2013-05-07",33.720001
"14","2013-05-08",34.02
"15","2013-05-09",34.349998
"16","2013-05-10",35.16
"17","2013-05-13",36.860001
"18","2013-05-14",36.919998
"19","2013-05-15",37.349998
"20","2013-05-16",37.349998
"21","2013-05-17",38.880001
"22","2013-05-20",38.849998
"23","2013-05-21",38.110001
"24","2013-05-22",37.73
"25","2013-05-23",37.459999
"26","2013-05-24",37.990002
"27","2013-05-28",37.709999
"28","2013-05-29",36.150002
"29","2013-05-30",35.599998
"30","2013-05-31",35.389999
"31","2013-06-03",35.639999
"32","2013-06-04",36.599998
"33","2013-06-05",36.389999
"34","2013-06-06",37.450001
"35","2013-06-07",37.560001
"36","2013-06-10",37.73
"37","2013-06-11",37.02
"38","2013-06-12",36.630001
"39","2013-06-13",37.130001
"40","2013-06-14",37.950001
"41","2013-06-17",37.900002
"42","2013-06-18",37.990002
"43","2013-06-19",38.279999
"44","2013-06-20",38
"45","2013-06-21",37.73
"46","2013-06-24",37.43
"47","2013-06-25",36.299999
"48","2013-06-26",35.549999
"49","2013-06-27",35.099998
"50","2013-06-28",35.099998
"51","2013-07-01",36.41
"52","2013-07-02",35.700001
"53","2013-07-03",35.169998
"54","2013-07-05",35.450001
"55","2013-07-08",36.490002
"56","2013-07-09",38.470001
"57","2013-07-10",38.529999
"58","2013-07-11",38.919998
"59","2013-07-12",38.32
"60","2013-07-15",38.880001
"61","2013-07-16",38.709999
"62","2013-07-17",38.299999
"63","2013-07-18",38.18
"64","2013-07-19",38.299999
"65","2013-07-22",38.049999
"66","2013-07-23",38.330002
"67","2013-07-24",37.810001
"68","2013-07-25",37.470001
"69","2013-07-26",37.630001
"70","2013-07-29",37.540001
"71","2013-07-30",36.810001
"72","2013-07-31",36.669998
"73","2013-08-01",37.009998
"74","2013-08-02",36.610001
"75","2013-08-05",37
"76","2013-08-06",36.880001
"77","2013-08-07",36.509998
"78","2013-08-08",35.740002
"79","2013-08-09",35.950001
"80","2013-08-12",36.459999
"81","2013-08-13",36.310001
"82","2013-08-14",34.939999
"83","2013-08-15",33.490002
"84","2013-08-16",33.880001
"85","2013-08-19",33.509998
"86","2013-08-20",33.470001
"87","2013-08-21",33.380001
"88","2013-08-22",33.540001
"89","2013-08-23",33.290001
"90","2013-08-26",33.07
"91","2013-08-27",31.76
"92","2013-08-28",29.700001
"93","2013-08-29",29.59
"94","2013-08-30",29.93
"95","2013-09-03",29.799999
"96","2013-09-04",29.34
"97","2013-09-05",30.049999
"98","2013-09-06",30
"99","2013-09-09",29.26
"100","2013-09-10",29.780001
"101","2013-09-11",28.65
"102","2013-09-12",30.84
"103","2013-09-13",31.43
"104","2013-09-16",30.959999
"105","2013-09-17",31.209999
"106","2013-09-18",31.299999
"107","2013-09-19",31.559999
"108","2013-09-20",31.73
"109","2013-09-23",31.73
"110","2013-09-24",31.65
"111","2013-09-25",30.780001
"112","2013-09-26",30.530001
"113","2013-09-27",30.209999
"114","2013-09-30",29.629999
"115","2013-10-01",30.299999
"116","2013-10-02",30.08
