"","date","KYMR"
"1","2020-08-21",33.259998
"2","2020-08-24",28.440001
"3","2020-08-25",31.25
"4","2020-08-26",30.280001
"5","2020-08-27",33.27
"6","2020-08-28",33.279999
"7","2020-08-31",31.9
"8","2020-09-01",31.16
"9","2020-09-02",31.15
"10","2020-09-03",30.290001
"11","2020-09-04",29.549999
"12","2020-09-08",27.280001
"13","2020-09-09",26.1
"14","2020-09-10",29.23
"15","2020-09-11",31.190001
"16","2020-09-14",32.779999
"17","2020-09-15",30.51
"18","2020-09-16",29.92
"19","2020-09-17",29.02
"20","2020-09-18",30.639999
"21","2020-09-21",29.219999
"22","2020-09-22",29.65
"23","2020-09-23",29.98
"24","2020-09-24",29.91
"25","2020-09-25",30.84
"26","2020-09-28",30.790001
"27","2020-09-29",31.540001
"28","2020-09-30",32.310001
"29","2020-10-01",29.08
"30","2020-10-02",29.309999
"31","2020-10-05",28.07
"32","2020-10-06",28.92
"33","2020-10-07",31.75
"34","2020-10-08",33.5
"35","2020-10-09",36.889999
"36","2020-10-12",37.25
"37","2020-10-13",38.5
"38","2020-10-14",36.759998
"39","2020-10-15",38.799999
"40","2020-10-16",38.380001
"41","2020-10-19",39.240002
"42","2020-10-20",38.07
"43","2020-10-21",34.57
"44","2020-10-22",35.009998
"45","2020-10-23",37.5
"46","2020-10-26",36.5
"47","2020-10-27",37.75
"48","2020-10-28",36.07
"49","2020-10-29",36.450001
"50","2020-10-30",35.990002
"51","2020-11-02",36.18
"52","2020-11-03",36.84
"53","2020-11-04",40.439999
"54","2020-11-05",43.709999
"55","2020-11-06",43.950001
"56","2020-11-09",44.799999
"57","2020-11-10",46.34
"58","2020-11-11",46.959999
"59","2020-11-12",45.060001
"60","2020-11-13",46.130001
"61","2020-11-16",46.599998
"62","2020-11-17",51.360001
"63","2020-11-18",51.200001
"64","2020-11-19",50.119999
"65","2020-11-20",49.860001
"66","2020-11-23",47.84
"67","2020-11-24",45.810001
"68","2020-11-25",47.200001
"69","2020-11-27",48.029999
