"","date","VRNS"
"1","2014-02-28",44
"2","2014-03-03",43.189999
"3","2014-03-04",45
"4","2014-03-05",49.25
"5","2014-03-06",53.09
"6","2014-03-07",53.48
"7","2014-03-10",47.490002
"8","2014-03-11",44.540001
"9","2014-03-12",44
"10","2014-03-13",43.099998
"11","2014-03-14",42
"12","2014-03-17",44.560001
"13","2014-03-18",45.009998
"14","2014-03-19",46.34
"15","2014-03-20",43.709999
"16","2014-03-21",39.860001
"17","2014-03-24",36.509998
"18","2014-03-25",43.779999
"19","2014-03-26",38.380001
"20","2014-03-27",36.599998
"21","2014-03-28",35.080002
"22","2014-03-31",35.759998
"23","2014-04-01",36.970001
"24","2014-04-02",35.290001
"25","2014-04-03",33.389999
"26","2014-04-04",31.92
"27","2014-04-07",29.969999
"28","2014-04-08",26.67
"29","2014-04-09",29.02
"30","2014-04-10",26.91
"31","2014-04-11",25.639999
"32","2014-04-14",26.92
"33","2014-04-15",26.5
"34","2014-04-16",27.129999
"35","2014-04-17",28.24
"36","2014-04-21",27.360001
"37","2014-04-22",30.48
"38","2014-04-23",28.92
"39","2014-04-24",28.1
"40","2014-04-25",25.860001
"41","2014-04-28",23.299999
"42","2014-04-29",24.93
"43","2014-04-30",25.27
"44","2014-05-01",27.790001
"45","2014-05-02",27.389999
"46","2014-05-05",28.139999
"47","2014-05-06",24.51
"48","2014-05-07",23.51
"49","2014-05-08",22.370001
"50","2014-05-09",21.91
"51","2014-05-12",22.01
"52","2014-05-13",21.360001
"53","2014-05-14",20.889999
"54","2014-05-15",20.780001
"55","2014-05-16",21.32
"56","2014-05-19",24.455
"57","2014-05-20",23.18
"58","2014-05-21",23.99
"59","2014-05-22",25.030001
"60","2014-05-23",25.08
"61","2014-05-27",24.459999
"62","2014-05-28",23.58
"63","2014-05-29",24.77
"64","2014-05-30",24.49
"65","2014-06-02",23.549999
"66","2014-06-03",22.02
"67","2014-06-04",21.35
"68","2014-06-05",21.52
"69","2014-06-06",22.780001
"70","2014-06-09",22.940001
"71","2014-06-10",22.639999
"72","2014-06-11",22.82
"73","2014-06-12",22.51
"74","2014-06-13",22.959999
"75","2014-06-16",24.17
"76","2014-06-17",23.870001
"77","2014-06-18",23.51
"78","2014-06-19",24.309999
"79","2014-06-20",25.76
"80","2014-06-23",25.469999
"81","2014-06-24",25.559999
"82","2014-06-25",26
"83","2014-06-26",27.43
"84","2014-06-27",28.540001
"85","2014-06-30",29.01
"86","2014-07-01",30.290001
"87","2014-07-02",30.58
"88","2014-07-03",30.879999
"89","2014-07-07",29.26
"90","2014-07-08",26.66
"91","2014-07-09",25.52
"92","2014-07-10",24.75
"93","2014-07-11",24.67
"94","2014-07-14",23.940001
"95","2014-07-15",22.83
"96","2014-07-16",22.23
"97","2014-07-17",21.440001
"98","2014-07-18",22.709999
"99","2014-07-21",22.610001
"100","2014-07-22",21.940001
"101","2014-07-23",21.280001
"102","2014-07-24",20.68
"103","2014-07-25",21.639999
"104","2014-07-28",21.26
"105","2014-07-29",21.17
"106","2014-07-30",22.629999
"107","2014-07-31",21.08
"108","2014-08-01",21.139999
"109","2014-08-04",22.65
"110","2014-08-05",22.799999
"111","2014-08-06",21.65
"112","2014-08-07",21
"113","2014-08-08",21.18
"114","2014-08-11",21.65
"115","2014-08-12",20.74
"116","2014-08-13",20.440001
"117","2014-08-14",19.48
"118","2014-08-15",19.440001
"119","2014-08-18",19.4
"120","2014-08-19",20.23
"121","2014-08-20",20.75
"122","2014-08-21",20.030001
"123","2014-08-22",20.27
"124","2014-08-25",20.395
"125","2014-08-26",20.530001
"126","2014-08-27",22.129999
"127","2014-08-28",22.25
"128","2014-08-29",23.799999
"129","2014-09-02",24.110001
"130","2014-09-03",23.85
"131","2014-09-04",23.26
"132","2014-09-05",23.139999
"133","2014-09-08",23.5
"134","2014-09-09",23.424999
"135","2014-09-10",24.139999
"136","2014-09-11",23.32
"137","2014-09-12",23.75
"138","2014-09-15",23.4
"139","2014-09-16",22.735001
"140","2014-09-17",22.889999
"141","2014-09-18",22.540001
"142","2014-09-19",21.85
"143","2014-09-22",21.629999
"144","2014-09-23",21.34
"145","2014-09-24",22.969999
"146","2014-09-25",22.309999
"147","2014-09-26",22.190001
"148","2014-09-29",21.75
"149","2014-09-30",21.1
"150","2014-10-01",21
"151","2014-10-02",22.49
"152","2014-10-03",21.370001
