"","date","TCPC"
"1","2012-04-04",14.55
"2","2012-04-05",14.7
"3","2012-04-09",14.5
"4","2012-04-10",14.5
"5","2012-04-11",14.51
"6","2012-04-12",14.53
"7","2012-04-13",14.64
"8","2012-04-16",14.55
"9","2012-04-17",14.5
"10","2012-04-18",14.49
"11","2012-04-19",14.38
"12","2012-04-20",14.45
"13","2012-04-23",14.49
"14","2012-04-24",14.45
"15","2012-04-25",14.49
"16","2012-04-26",14.31
"17","2012-04-27",14.5
"18","2012-04-30",14.43
"19","2012-05-01",14.32
"20","2012-05-02",14.71
"21","2012-05-03",14.75
"22","2012-05-04",14.75
"23","2012-05-07",14.55
"24","2012-05-08",14.46
"25","2012-05-09",14.46
"26","2012-05-10",14.45
"27","2012-05-11",14.58
"28","2012-05-14",14.56
"29","2012-05-15",14.38
"30","2012-05-16",14.5
"31","2012-05-17",14.3
"32","2012-05-18",14
"33","2012-05-21",13.8
"34","2012-05-22",14.45
"35","2012-05-23",14.19
"36","2012-05-24",13.97
"37","2012-05-25",14.14
"38","2012-05-29",14.3
"39","2012-05-30",14.3
"40","2012-05-31",14.5
"41","2012-06-01",13.8
"42","2012-06-04",13.87
"43","2012-06-05",14.2
"44","2012-06-06",14.33
"45","2012-06-07",14.34
"46","2012-06-08",14.5
"47","2012-06-11",14.37
"48","2012-06-12",14.21
"49","2012-06-13",14.18
"50","2012-06-14",14.27
"51","2012-06-15",14.29
"52","2012-06-18",14.37
"53","2012-06-19",14.31
"54","2012-06-20",14.31
"55","2012-06-21",14.26
"56","2012-06-22",14.36
"57","2012-06-25",14.12
"58","2012-06-26",14.3
"59","2012-06-27",14.39
"60","2012-06-28",14.49
"61","2012-06-29",14.46
"62","2012-07-02",14.75
"63","2012-07-03",14.78
"64","2012-07-05",14.49
"65","2012-07-06",14.46
"66","2012-07-09",14.45
"67","2012-07-10",14.43
"68","2012-07-11",14.46
"69","2012-07-12",14.54
"70","2012-07-13",14.49
"71","2012-07-16",14.29
"72","2012-07-17",14.45
"73","2012-07-18",14.47
"74","2012-07-19",14.23
"75","2012-07-20",14.24
"76","2012-07-23",14.28
"77","2012-07-24",14.25
"78","2012-07-25",14.35
"79","2012-07-26",14.46
"80","2012-07-27",14.5
"81","2012-07-30",14.5
"82","2012-07-31",14.52
"83","2012-08-01",14.31
"84","2012-08-02",14.34
"85","2012-08-03",14.5
"86","2012-08-06",14.49
"87","2012-08-07",14.46
"88","2012-08-08",14.6
"89","2012-08-09",14.65
"90","2012-08-10",14.64
"91","2012-08-13",14.76
"92","2012-08-14",14.66
"93","2012-08-15",14.81
"94","2012-08-16",14.82
"95","2012-08-17",14.9
"96","2012-08-20",14.88
"97","2012-08-21",14.71
"98","2012-08-22",14.7
"99","2012-08-23",14.69
"100","2012-08-24",14.9
"101","2012-08-27",14.87
"102","2012-08-28",14.94
"103","2012-08-29",15.02
"104","2012-08-30",15.1
"105","2012-08-31",15.41
"106","2012-09-04",15.5
"107","2012-09-05",15.48
"108","2012-09-06",15.45
"109","2012-09-07",15.41
"110","2012-09-10",15.37
"111","2012-09-11",15.63
"112","2012-09-12",15.31
"113","2012-09-13",15.28
"114","2012-09-14",15.42
"115","2012-09-17",15.48
"116","2012-09-18",15.47
"117","2012-09-19",15.55
"118","2012-09-20",15.32
"119","2012-09-21",15.42
"120","2012-09-24",15.42
"121","2012-09-25",15.45
"122","2012-09-26",15.7
"123","2012-09-27",15.9
"124","2012-09-28",15.96
"125","2012-10-01",15.8
"126","2012-10-02",15.61
"127","2012-10-03",15.64
"128","2012-10-04",15.75
"129","2012-10-05",15.77
"130","2012-10-08",15.56
"131","2012-10-09",15.41
"132","2012-10-10",15.6
"133","2012-10-11",15.57
"134","2012-10-12",15.67
"135","2012-10-15",15.36
"136","2012-10-16",15.48
"137","2012-10-17",15.37
"138","2012-10-18",15.4
"139","2012-10-19",15.32
"140","2012-10-22",15.35
"141","2012-10-23",15.4
"142","2012-10-24",15.26
"143","2012-10-25",15.42
"144","2012-10-26",15.31
"145","2012-10-31",15.33
"146","2012-11-01",15.37
"147","2012-11-02",15.3
"148","2012-11-05",15.4
"149","2012-11-06",15.45
"150","2012-11-07",15.16
"151","2012-11-08",15.25
"152","2012-11-09",15.23
"153","2012-11-12",15.12
"154","2012-11-13",15.17
"155","2012-11-14",14.88
"156","2012-11-15",15.09
"157","2012-11-16",15.03
"158","2012-11-19",15.1
"159","2012-11-20",15
"160","2012-11-21",15
"161","2012-11-23",15
"162","2012-11-26",15.03
"163","2012-11-27",15.21
"164","2012-11-28",14.98
"165","2012-11-29",15
"166","2012-11-30",15.01
"167","2012-12-03",15
"168","2012-12-04",15
"169","2012-12-05",15
"170","2012-12-06",14.99
"171","2012-12-07",14.85
"172","2012-12-10",14.8
"173","2012-12-11",14.8
"174","2012-12-12",14.74
"175","2012-12-13",14.74
"176","2012-12-14",14.89
"177","2012-12-17",14.84
"178","2012-12-18",14.75
"179","2012-12-19",14.9
"180","2012-12-20",14.89
"181","2012-12-21",14.8
"182","2012-12-24",14.82
"183","2012-12-26",14.67
"184","2012-12-27",14.76
"185","2012-12-28",14.66
"186","2012-12-31",14.74
"187","2013-01-02",14.79
