"","date","WNEB"
"1","2007-01-03",10.486442
"2","2007-01-04",10.7
"3","2007-01-05",10.58
"4","2007-01-08",10.69
"5","2007-01-09",10.71
"6","2007-01-10",10.72
"7","2007-01-11",10.75
"8","2007-01-12",10.72
"9","2007-01-16",10.92
"10","2007-01-17",10.87
"11","2007-01-18",10.88
"12","2007-01-19",10.92
"13","2007-01-22",10.87
"14","2007-01-23",10.76
"15","2007-01-24",10.91
"16","2007-01-25",10.95
"17","2007-01-26",11.02
"18","2007-01-29",11
"19","2007-01-30",10.95
"20","2007-01-31",10.95
"21","2007-02-01",10.99
"22","2007-02-02",10.9
"23","2007-02-05",10.86
"24","2007-02-06",10.97
"25","2007-02-07",10.99
"26","2007-02-08",10.95
"27","2007-02-09",10.86
"28","2007-02-12",10.9
"29","2007-02-13",10.97
"30","2007-02-14",10.99
"31","2007-02-15",10.81
"32","2007-02-16",10.88
"33","2007-02-20",10.9
"34","2007-02-21",10.89
"35","2007-02-22",10.9
"36","2007-02-23",10.85
"37","2007-02-26",10.72
"38","2007-02-27",10.37
"39","2007-02-28",10.57
"40","2007-03-01",10.58
"41","2007-03-02",10.48
"42","2007-03-05",10.26
"43","2007-03-06",10.46
"44","2007-03-07",10.37
"45","2007-03-08",10.27
"46","2007-03-09",10.4
"47","2007-03-12",10.4
"48","2007-03-13",10.26
"49","2007-03-14",10.16
"50","2007-03-15",10.4
"51","2007-03-16",10.34
"52","2007-03-19",10.36
"53","2007-03-20",10.35
"54","2007-03-21",10.47
"55","2007-03-22",10.54
"56","2007-03-23",10.62
"57","2007-03-26",10.66
"58","2007-03-27",10.7
"59","2007-03-28",10.63
"60","2007-03-29",10.7
"61","2007-03-30",10.72
"62","2007-04-02",10.66
"63","2007-04-03",10.83
"64","2007-04-04",10.76
"65","2007-04-05",10.7
"66","2007-04-09",10.69
"67","2007-04-10",10.7
"68","2007-04-11",10.6
"69","2007-04-12",10.67
"70","2007-04-13",10.69
"71","2007-04-16",10.7
"72","2007-04-17",10.69
"73","2007-04-18",10.64
"74","2007-04-19",10.59
"75","2007-04-20",10.66
"76","2007-04-23",10.52
"77","2007-04-24",10.25
"78","2007-04-25",10.2
"79","2007-04-26",10.11
"80","2007-04-27",10.24
"81","2007-04-30",10.1
"82","2007-05-01",10.15
"83","2007-05-02",10.34
"84","2007-05-03",10.25
"85","2007-05-04",10.39
"86","2007-05-07",10.42
"87","2007-05-08",10.42
"88","2007-05-09",10.47
"89","2007-05-10",10.2
"90","2007-05-11",10.29
"91","2007-05-14",10.26
"92","2007-05-15",10.11
"93","2007-05-16",10.14
"94","2007-05-17",10.03
"95","2007-05-18",10.11
"96","2007-05-21",10.25
"97","2007-05-22",10.11
"98","2007-05-23",10.16
"99","2007-05-24",10.13
"100","2007-05-25",10.2
"101","2007-05-29",10.22
"102","2007-05-30",10.21
"103","2007-05-31",10.36
"104","2007-06-01",10.28
"105","2007-06-04",10.21
"106","2007-06-05",10.04
"107","2007-06-06",10.13
"108","2007-06-07",10.05
"109","2007-06-08",10.17
"110","2007-06-11",10.11
"111","2007-06-12",10.03
"112","2007-06-13",10.1
"113","2007-06-14",10.15
"114","2007-06-15",10.1
"115","2007-06-18",10.16
"116","2007-06-19",10.11
"117","2007-06-20",10.05
"118","2007-06-21",10.02
"119","2007-06-22",10
"120","2007-06-25",9.99
"121","2007-06-26",10.02
"122","2007-06-27",9.99
"123","2007-06-28",10
"124","2007-06-29",9.97
"125","2007-07-02",9.92
"126","2007-07-03",10
"127","2007-07-05",9.94
"128","2007-07-06",9.94
"129","2007-07-09",9.88
"130","2007-07-10",9.59
"131","2007-07-11",9.57
"132","2007-07-12",9.71
"133","2007-07-13",9.72
"134","2007-07-16",9.66
"135","2007-07-17",9.65
"136","2007-07-18",9.65
"137","2007-07-19",9.55
"138","2007-07-20",9.38
"139","2007-07-23",9.3
"140","2007-07-24",9.06
"141","2007-07-25",9.14
"142","2007-07-26",9.09
"143","2007-07-27",9.04
"144","2007-07-30",8.77
"145","2007-07-31",9.1
"146","2007-08-01",9.13
"147","2007-08-02",9.09
"148","2007-08-03",8.73
"149","2007-08-06",9.13
"150","2007-08-07",9.2
"151","2007-08-08",9.41
"152","2007-08-09",9.27
"153","2007-08-10",8.95
"154","2007-08-13",8.97
"155","2007-08-14",8.86
"156","2007-08-15",8.9
"157","2007-08-16",9.14
"158","2007-08-17",9.46
"159","2007-08-20",9.82
"160","2007-08-21",9.91
"161","2007-08-22",10.07
"162","2007-08-23",9.95
"163","2007-08-24",10.06
"164","2007-08-27",10.02
"165","2007-08-28",10.04
"166","2007-08-29",10.25
"167","2007-08-30",10.11
"168","2007-08-31",10.11
