"","date","MCD"
"1","2007-01-03",43.869999
"2","2007-01-04",43.540001
"3","2007-01-05",43.540001
"4","2007-01-08",43.709999
"5","2007-01-09",43.790001
"6","2007-01-10",44.259998
"7","2007-01-11",44.509998
"8","2007-01-12",44.220001
"9","2007-01-16",44.57
"10","2007-01-17",44.860001
"11","2007-01-18",44.59
"12","2007-01-19",44.810001
"13","2007-01-22",44.349998
"14","2007-01-23",44.849998
"15","2007-01-24",44.16
"16","2007-01-25",43
"17","2007-01-26",42.93
"18","2007-01-29",43.23
"19","2007-01-30",43.77
"20","2007-01-31",44.349998
"21","2007-02-01",44.48
"22","2007-02-02",44.540001
"23","2007-02-05",44.529999
"24","2007-02-06",44.77
"25","2007-02-07",44.720001
"26","2007-02-08",44.349998
"27","2007-02-09",44.560001
"28","2007-02-12",44.73
"29","2007-02-13",44.900002
"30","2007-02-14",45.02
"31","2007-02-15",44.98
"32","2007-02-16",45.32
"33","2007-02-20",45.799999
"34","2007-02-21",45.970001
"35","2007-02-22",46.049999
"36","2007-02-23",46.009998
"37","2007-02-26",45.799999
"38","2007-02-27",44.459999
"39","2007-02-28",43.689999
"40","2007-03-01",44.099998
"41","2007-03-02",43.669998
"42","2007-03-05",42.91
"43","2007-03-06",43.099998
"44","2007-03-07",43.099998
"45","2007-03-08",43.639999
"46","2007-03-09",44.150002
"47","2007-03-12",44.669998
"48","2007-03-13",43.48
"49","2007-03-14",43.650002
"50","2007-03-15",43.470001
"51","2007-03-16",43.48
"52","2007-03-19",43.869999
"53","2007-03-20",44.310001
"54","2007-03-21",44.610001
"55","2007-03-22",44.490002
"56","2007-03-23",45.049999
"57","2007-03-26",45.119999
"58","2007-03-27",45.040001
"59","2007-03-28",44.830002
"60","2007-03-29",44.869999
"61","2007-03-30",45.049999
"62","2007-04-02",44.82
"63","2007-04-03",45.259998
"64","2007-04-04",45.23
"65","2007-04-05",45.779999
"66","2007-04-09",46.490002
"67","2007-04-10",46.310001
"68","2007-04-11",46.439999
"69","2007-04-12",46.630001
"70","2007-04-13",47.639999
"71","2007-04-16",48.099998
"72","2007-04-17",49.009998
"73","2007-04-18",48.880001
"74","2007-04-19",48.779999
"75","2007-04-20",48.360001
