"","date","EVTC"
"1","2013-04-12",20.440001
"2","2013-04-15",20.030001
"3","2013-04-16",20.540001
"4","2013-04-17",19.790001
"5","2013-04-18",19.540001
"6","2013-04-19",20.84
"7","2013-04-22",20.040001
"8","2013-04-23",19.959999
"9","2013-04-24",19.969999
"10","2013-04-25",19.870001
"11","2013-04-26",19.6
"12","2013-04-29",19.940001
"13","2013-04-30",20.049999
"14","2013-05-01",20.139999
"15","2013-05-02",20.110001
"16","2013-05-03",20.549999
"17","2013-05-06",20.25
"18","2013-05-07",20.24
"19","2013-05-08",20.25
"20","2013-05-09",20.16
"21","2013-05-10",20.01
"22","2013-05-13",19.790001
"23","2013-05-14",19.870001
"24","2013-05-15",19.84
"25","2013-05-16",19.67
"26","2013-05-17",19.799999
"27","2013-05-20",19.93
"28","2013-05-21",20.209999
"29","2013-05-22",20.030001
"30","2013-05-23",20
"31","2013-05-24",19.99
"32","2013-05-28",19.9
"33","2013-05-29",19.719999
"34","2013-05-30",19.75
"35","2013-05-31",20.02
"36","2013-06-03",20.110001
"37","2013-06-04",20.299999
"38","2013-06-05",20.110001
"39","2013-06-06",20.08
"40","2013-06-07",20.17
"41","2013-06-10",20.219999
"42","2013-06-11",20.58
"43","2013-06-12",20.610001
"44","2013-06-13",21.290001
"45","2013-06-14",21.879999
"46","2013-06-17",21.940001
"47","2013-06-18",22.23
"48","2013-06-19",22.4
"49","2013-06-20",22.33
"50","2013-06-21",21.559999
"51","2013-06-24",21.01
"52","2013-06-25",21.5
"53","2013-06-26",21.83
"54","2013-06-27",21.91
"55","2013-06-28",21.969999
"56","2013-07-01",22.24
"57","2013-07-02",22.01
"58","2013-07-03",22.059999
"59","2013-07-05",22.59
"60","2013-07-08",22.610001
"61","2013-07-09",23.389999
"62","2013-07-10",23.700001
"63","2013-07-11",23.799999
"64","2013-07-12",23.83
"65","2013-07-15",23.74
"66","2013-07-16",23.799999
"67","2013-07-17",23.74
"68","2013-07-18",23.99
