"","date","KOD"
"1","2018-10-04",10.16
"2","2018-10-05",10.43
"3","2018-10-08",10.02
"4","2018-10-09",9.9
"5","2018-10-10",9.7
"6","2018-10-11",9.9
"7","2018-10-12",10.05
"8","2018-10-15",9.98
"9","2018-10-16",9.97
"10","2018-10-17",9.89
"11","2018-10-18",9.74
"12","2018-10-19",9.7
"13","2018-10-22",9.88
"14","2018-10-23",9.61
"15","2018-10-24",9.27
"16","2018-10-25",9.56
"17","2018-10-26",9.98
"18","2018-10-29",9.75
"19","2018-10-30",9.88
"20","2018-10-31",9.91
"21","2018-11-01",9.99
"22","2018-11-02",9.79
"23","2018-11-05",9.39
"24","2018-11-06",9.13
"25","2018-11-07",8.82
"26","2018-11-08",8.85
"27","2018-11-09",8.64
"28","2018-11-12",8
"29","2018-11-13",8.15
"30","2018-11-14",8.64
"31","2018-11-15",8.7
"32","2018-11-16",9.56
"33","2018-11-19",8.79
"34","2018-11-20",7.77
"35","2018-11-21",9.77
"36","2018-11-23",9.5
"37","2018-11-26",9.28
"38","2018-11-27",9.38
"39","2018-11-28",9.22
"40","2018-11-29",9.01
"41","2018-11-30",9.25
"42","2018-12-03",7.95
"43","2018-12-04",7.6
"44","2018-12-06",9.3
"45","2018-12-07",10
"46","2018-12-10",8.45
"47","2018-12-11",8.66
"48","2018-12-12",8.23
"49","2018-12-13",7.71
"50","2018-12-14",7.01
"51","2018-12-17",6.66
"52","2018-12-18",6.82
"53","2018-12-19",6.68
"54","2018-12-20",6.52
"55","2018-12-21",6.11
"56","2018-12-24",7.34
"57","2018-12-26",8.22
"58","2018-12-27",7.25
"59","2018-12-28",6.62
"60","2018-12-31",7.1
"61","2019-01-02",7.34
"62","2019-01-03",7.93
"63","2019-01-04",7.55
"64","2019-01-07",8.16
"65","2019-01-08",8.93
"66","2019-01-09",9.44
"67","2019-01-10",9.08
"68","2019-01-11",9
"69","2019-01-14",8.6
"70","2019-01-15",8.39
"71","2019-01-16",8.61
"72","2019-01-17",8.39
"73","2019-01-18",8.5
"74","2019-01-22",8.19
"75","2019-01-23",7.92
"76","2019-01-24",7.86
"77","2019-01-25",8
"78","2019-01-28",8.13
"79","2019-01-29",7.99
"80","2019-01-30",7.99
"81","2019-01-31",7.68
"82","2019-02-01",7.86
"83","2019-02-04",7.5
"84","2019-02-05",7.5
"85","2019-02-06",7.5
"86","2019-02-07",7.15
"87","2019-02-08",7
"88","2019-02-11",6.75
"89","2019-02-12",7
"90","2019-02-13",6.9
"91","2019-02-14",6.76
"92","2019-02-15",6.85
"93","2019-02-19",6.83
"94","2019-02-20",7
"95","2019-02-21",6.76
"96","2019-02-22",7
"97","2019-02-25",6.89
"98","2019-02-26",6.98
"99","2019-02-27",6.99
"100","2019-02-28",7
"101","2019-03-01",7.07
"102","2019-03-04",6.99
"103","2019-03-05",6.96
"104","2019-03-06",6.99
"105","2019-03-07",6.47
"106","2019-03-08",6.51
"107","2019-03-11",6.78
"108","2019-03-12",6.66
"109","2019-03-13",6.95
"110","2019-03-14",7
"111","2019-03-15",6.97
"112","2019-03-18",6.99
"113","2019-03-19",7.02
"114","2019-03-20",6.99
"115","2019-03-21",6.83
"116","2019-03-22",6.6
"117","2019-03-25",6.43
"118","2019-03-26",7
"119","2019-03-27",6.67
"120","2019-03-28",6.62
"121","2019-03-29",6.53
"122","2019-04-01",6.45
"123","2019-04-02",6.2
"124","2019-04-03",6.31
"125","2019-04-04",6.85
"126","2019-04-05",6.5
"127","2019-04-08",6.92
"128","2019-04-09",7.06
"129","2019-04-10",6.99
"130","2019-04-11",7.16
"131","2019-04-12",7.06
"132","2019-04-15",6.98
"133","2019-04-16",7.02
"134","2019-04-17",6.98
"135","2019-04-18",7.35
"136","2019-04-22",7.16
"137","2019-04-23",7.2
"138","2019-04-24",7.42
"139","2019-04-25",7.35
"140","2019-04-26",7.41
"141","2019-04-29",7.3
"142","2019-04-30",7.42
"143","2019-05-01",7.45
"144","2019-05-02",7.43
"145","2019-05-03",7.55
"146","2019-05-06",7.49
"147","2019-05-07",7.25
"148","2019-05-08",7.44
"149","2019-05-09",7.47
"150","2019-05-10",7.49
"151","2019-05-13",7.47
"152","2019-05-14",7.5
"153","2019-05-15",7.72
"154","2019-05-16",8.66
"155","2019-05-17",9.01
"156","2019-05-20",8.86
"157","2019-05-21",9.1
"158","2019-05-22",10.24
"159","2019-05-23",10
"160","2019-05-24",9.53
"161","2019-05-28",9.6
"162","2019-05-29",9.94
"163","2019-05-30",9.57
"164","2019-05-31",9.88
"165","2019-06-03",10.13
"166","2019-06-04",10.35
"167","2019-06-05",10.22
"168","2019-06-06",10.29
"169","2019-06-07",10.29
"170","2019-06-10",11.6
"171","2019-06-11",11.17
"172","2019-06-12",11.8
"173","2019-06-13",11.95
"174","2019-06-14",11.97
"175","2019-06-17",12
"176","2019-06-18",11.7
"177","2019-06-19",11.95
"178","2019-06-20",11.99
"179","2019-06-21",12
"180","2019-06-24",11.49
"181","2019-06-25",11.4
"182","2019-06-26",11.46
"183","2019-06-27",11.21
"184","2019-06-28",11.7
"185","2019-07-01",12.58
"186","2019-07-02",12.7
"187","2019-07-03",13.56
"188","2019-07-05",13.22
"189","2019-07-08",12.89
"190","2019-07-09",13.23
"191","2019-07-10",13.18
"192","2019-07-11",13.22
"193","2019-07-12",14
"194","2019-07-15",14.05
"195","2019-07-16",14.23
"196","2019-07-17",13.9
"197","2019-07-18",14.17
"198","2019-07-19",14.55
"199","2019-07-22",14.97
"200","2019-07-23",14.2
"201","2019-07-24",14.43
"202","2019-07-25",12.05
"203","2019-07-26",12.7
"204","2019-07-29",12.8
"205","2019-07-30",12.79
"206","2019-07-31",12.31
"207","2019-08-01",12.85
"208","2019-08-02",12.42
"209","2019-08-05",11.46
"210","2019-08-06",11.89
"211","2019-08-07",11.7
"212","2019-08-08",11.72
"213","2019-08-09",11.57
"214","2019-08-12",11.24
"215","2019-08-13",11.48
"216","2019-08-14",10.34
"217","2019-08-15",10.24
"218","2019-08-16",11.03
"219","2019-08-19",11.56
"220","2019-08-20",11.6
"221","2019-08-21",12.07
"222","2019-08-22",11.8
"223","2019-08-23",11.28
"224","2019-08-26",11.24
"225","2019-08-27",10.65
"226","2019-08-28",10.94
"227","2019-08-29",11.24
"228","2019-08-30",11
"229","2019-09-03",10.89
"230","2019-09-04",10.99
"231","2019-09-05",11.9
"232","2019-09-06",11.6
"233","2019-09-09",12
"234","2019-09-10",13.56
"235","2019-09-11",13.9
"236","2019-09-12",14.05
"237","2019-09-13",14.99
"238","2019-09-16",17.57
"239","2019-09-17",17.32
"240","2019-09-18",16.799999
"241","2019-09-19",16.66
"242","2019-09-20",16.639999
"243","2019-09-23",16.42
"244","2019-09-24",15.85
"245","2019-09-25",14.95
"246","2019-09-26",14.21
"247","2019-09-27",14.08
"248","2019-09-30",14.38
"249","2019-10-01",14.96
"250","2019-10-02",14.85
"251","2019-10-03",14.56
"252","2019-10-04",13.9
"253","2019-10-07",14.57
"254","2019-10-08",14.67
"255","2019-10-09",15.51
"256","2019-10-10",16.91
"257","2019-10-11",18.200001
"258","2019-10-14",17.639999
"259","2019-10-15",18.85
"260","2019-10-16",20.08
"261","2019-10-17",20.129999
"262","2019-10-18",19.76
"263","2019-10-21",20.110001
"264","2019-10-22",20.74
"265","2019-10-23",20.299999
"266","2019-10-24",20.129999
"267","2019-10-25",21.42
"268","2019-10-28",21.799999
"269","2019-10-29",21.690001
"270","2019-10-30",20.49
"271","2019-10-31",20.709999
"272","2019-11-01",22
"273","2019-11-04",21.709999
"274","2019-11-05",21.219999
"275","2019-11-06",21.74
"276","2019-11-07",22
"277","2019-11-08",21.9
"278","2019-11-11",23.280001
"279","2019-11-12",21.860001
"280","2019-11-13",23.379999
"281","2019-11-14",25.02
"282","2019-11-15",29.18
"283","2019-11-18",28.9
"284","2019-11-19",30.360001
"285","2019-11-20",32.25
"286","2019-11-21",28.93
"287","2019-11-22",25.629999
"288","2019-11-25",26.389999
"289","2019-11-26",27.549999
"290","2019-11-27",27.27
