"","date","REKR"
"1","2017-08-29",3
"2","2017-08-30",3
"3","2017-08-31",2.5
"4","2017-09-01",1.98
"5","2017-09-05",0.51
"6","2017-09-06",2
"7","2017-09-07",1.95
"8","2017-09-08",1.95
"9","2017-09-11",1
"10","2017-09-12",1.84
"11","2017-09-13",1.26
"12","2017-09-14",1.85
"13","2017-09-15",1.85
"14","2017-09-18",1.8
"15","2017-09-19",1.8
"16","2017-09-20",1.8
"17","2017-09-21",1.8
"18","2017-09-22",1.8
"19","2017-09-25",1.82
"20","2017-09-26",2
"21","2017-09-27",1.8
"22","2017-09-28",1.8
"23","2017-09-29",1.905
"24","2017-10-02",1.51
"25","2017-10-03",2.73
"26","2017-10-04",2.3
"27","2017-10-05",2.08
"28","2017-10-06",2.2
"29","2017-10-09",3.2
"30","2017-10-10",2.83
"31","2017-10-11",2.5
"32","2017-10-12",2.95
"33","2017-10-13",3.9
"34","2017-10-16",4.25
"35","2017-10-17",5.01
"36","2017-10-18",5
"37","2017-10-19",5.5
"38","2017-10-20",5.5
"39","2017-10-23",5
"40","2017-10-24",5
"41","2017-10-25",4.89
"42","2017-10-26",4.89
"43","2017-10-27",4.81
"44","2017-10-30",5
"45","2017-10-31",4
"46","2017-11-01",5
"47","2017-11-02",4.85
"48","2017-11-03",5
"49","2017-11-06",4.5
"50","2017-11-07",3.99
"51","2017-11-08",3.4
"52","2017-11-09",3.806
"53","2017-11-10",3.65
"54","2017-11-13",3.64
"55","2017-11-14",3.65
"56","2017-11-15",3.6
"57","2017-11-16",3.6
"58","2017-11-17",3.6
"59","2017-11-20",3.5
"60","2017-11-21",3.5
"61","2017-11-22",3.5
"62","2017-11-24",3.5
"63","2017-11-27",3.49
"64","2017-11-28",3.5
"65","2017-11-29",3.4
"66","2017-11-30",3.3
"67","2017-12-01",3.5
"68","2017-12-04",4.55
"69","2017-12-05",4.5
"70","2017-12-06",4.8
"71","2017-12-07",4.74
"72","2017-12-08",4.2
"73","2017-12-11",4.8
"74","2017-12-12",4.7
"75","2017-12-13",4.7
"76","2017-12-14",4.7
"77","2017-12-15",3.81
"78","2017-12-18",4.76
"79","2017-12-19",4.5
"80","2017-12-20",4.6
"81","2017-12-21",4.49
"82","2017-12-22",4.64
"83","2017-12-26",4.59
"84","2017-12-27",4.74
"85","2017-12-28",4.75
"86","2017-12-29",4.9
"87","2018-01-02",4.75
"88","2018-01-03",4.75
"89","2018-01-04",4.6
"90","2018-01-05",4.65
"91","2018-01-08",4.5
"92","2018-01-09",4.65
"93","2018-01-10",4.523
"94","2018-01-11",4.6
"95","2018-01-12",4.4
"96","2018-01-16",4.34
"97","2018-01-17",4.34
"98","2018-01-18",4.27
"99","2018-01-19",4.45
