"","date","DEA"
"1","2015-02-06",15.5
"2","2015-02-09",15.8
"3","2015-02-10",15.9
"4","2015-02-11",15.92
"5","2015-02-12",15.95
"6","2015-02-13",15.79
"7","2015-02-17",15.86
"8","2015-02-18",15.9
"9","2015-02-19",15.88
"10","2015-02-20",15.99
"11","2015-02-23",16.33
"12","2015-02-24",16.49
"13","2015-02-25",16.469999
"14","2015-02-26",16.42
"15","2015-02-27",16.1
"16","2015-03-02",16.469999
"17","2015-03-03",16.5
"18","2015-03-04",16.49
"19","2015-03-05",16.219999
"20","2015-03-06",15.54
"21","2015-03-09",15.64
"22","2015-03-10",15.61
"23","2015-03-11",15.62
"24","2015-03-12",15.81
"25","2015-03-13",15.46
"26","2015-03-16",15.5
"27","2015-03-17",15.56
"28","2015-03-18",15.67
"29","2015-03-19",15.81
"30","2015-03-20",15.98
"31","2015-03-23",16.139999
"32","2015-03-24",16.17
"33","2015-03-25",16.09
"34","2015-03-26",16.17
"35","2015-03-27",16.18
"36","2015-03-30",16.16
"37","2015-03-31",16.049999
"38","2015-04-01",16.200001
"39","2015-04-02",16.23
"40","2015-04-06",16.370001
"41","2015-04-07",16.17
"42","2015-04-08",16.18
"43","2015-04-09",16.059999
"44","2015-04-10",16.219999
"45","2015-04-13",16.280001
"46","2015-04-14",16.4
"47","2015-04-15",16.43
"48","2015-04-16",16.209999
"49","2015-04-17",15.99
"50","2015-04-20",16.09
"51","2015-04-21",16.16
"52","2015-04-22",16.049999
"53","2015-04-23",16.15
"54","2015-04-24",16.190001
"55","2015-04-27",16.219999
"56","2015-04-28",16.16
"57","2015-04-29",16.129999
"58","2015-04-30",15.75
"59","2015-05-01",15.77
"60","2015-05-04",15.98
"61","2015-05-05",15.86
"62","2015-05-06",15.88
"63","2015-05-07",15.97
"64","2015-05-08",16.190001
"65","2015-05-11",16.049999
"66","2015-05-12",15.92
"67","2015-05-13",15.43
"68","2015-05-14",15.54
"69","2015-05-15",15.65
"70","2015-05-18",15.85
