"","date","SG"
"1","2018-11-06",14.5
"2","2018-11-07",16.75
"3","2018-11-08",16
"4","2018-11-09",16.200001
"5","2018-11-12",16.5
"6","2018-11-13",16.299999
"7","2018-11-14",16
"8","2018-11-15",13.31
"9","2018-11-16",15.1
"10","2018-11-19",16
"11","2018-11-20",14.69
"12","2018-11-21",15.26
"13","2018-11-23",15.99
"14","2018-11-26",16.299999
"15","2018-11-27",16.65
"16","2018-11-28",16.75
"17","2018-11-29",16.75
"18","2018-11-30",16.75
"19","2018-12-03",16.75
"20","2018-12-04",16.75
"21","2018-12-06",16.75
"22","2018-12-07",16.75
"23","2018-12-10",17.950001
"24","2018-12-11",16.200001
"25","2018-12-12",14.36
"26","2018-12-13",15.49
"27","2018-12-14",15.2
"28","2018-12-17",14.55
"29","2018-12-18",14.55
"30","2018-12-19",14.6
"31","2018-12-20",12.17
"32","2018-12-21",13.92
"33","2018-12-24",14.5
"34","2018-12-26",13.1
"35","2018-12-27",13.24
"36","2018-12-28",13.68
"37","2018-12-31",13.3
"38","2019-01-02",13.3
"39","2019-01-03",13.06
"40","2019-01-04",13.06
"41","2019-01-07",13.7
"42","2019-01-08",14
"43","2019-01-09",13.48
"44","2019-01-10",13.93
"45","2019-01-11",13.93
"46","2019-01-14",14.5
"47","2019-01-15",14.5
"48","2019-01-16",14.5
"49","2019-01-17",14.5
"50","2019-01-18",14.5
"51","2019-01-22",14.5
"52","2019-01-23",14.5
"53","2019-01-24",14.5
"54","2019-01-25",14.5
"55","2019-01-28",14.49
"56","2019-01-29",14.49
"57","2019-01-30",14.3
"58","2019-01-31",14.5
"59","2019-02-01",14.5
"60","2019-02-04",14.5
"61","2019-02-05",14.5
"62","2019-02-06",14.5
"63","2019-02-07",14.5
"64","2019-02-08",14.5
"65","2019-02-11",14.5
"66","2019-02-12",14.5
"67","2019-02-13",14.5
"68","2019-02-14",14.5
"69","2019-02-15",14
"70","2019-02-19",14
"71","2019-02-20",14
"72","2019-02-21",14
"73","2019-02-22",13
"74","2019-02-25",13.03
"75","2019-02-26",13.03
"76","2019-02-27",13.49
"77","2019-02-28",13.49
"78","2019-03-01",13.45
"79","2019-03-04",13.12
"80","2019-03-05",12.75
"81","2019-03-06",12.75
"82","2019-03-07",12.51
"83","2019-03-08",12.51
"84","2019-03-11",12.51
"85","2019-03-12",12.75
"86","2019-03-13",12.75
"87","2019-03-14",12.75
"88","2019-03-15",12.75
"89","2019-03-18",13.2
"90","2019-03-19",13.2
"91","2019-03-20",13.2
"92","2019-03-21",13.2
"93","2019-03-22",12.74
"94","2019-03-25",13.7
"95","2019-03-26",13.25
"96","2019-03-27",12.51
"97","2019-03-28",12.55
"98","2019-03-29",13.25
"99","2019-04-01",13.25
"100","2019-04-02",13.25
"101","2019-04-03",12.75
"102","2019-04-04",12.7
"103","2019-04-05",12.7
"104","2019-04-08",12.86
"105","2019-04-09",12.86
"106","2019-04-10",11.76
"107","2019-04-11",12.35
"108","2019-04-12",13.07
"109","2019-04-15",13.25
"110","2019-04-16",13.8
"111","2019-04-17",13
"112","2019-04-18",13
"113","2019-04-22",13
"114","2019-04-23",13.36
"115","2019-04-24",14.33
"116","2019-04-25",13.9
"117","2019-04-26",13.81
"118","2019-04-29",13.8
"119","2019-04-30",13.3
"120","2019-05-01",13
"121","2019-05-02",14
"122","2019-05-03",14
"123","2019-05-06",14.2
"124","2019-05-07",14.49
"125","2019-05-08",14.99
"126","2019-05-09",13.7
"127","2019-05-10",14.5
"128","2019-05-13",13
"129","2019-05-14",13.5
"130","2019-05-15",13.49
"131","2019-05-16",13.75
"132","2019-05-17",13.75
"133","2019-05-20",13.01
"134","2019-05-21",13.06
"135","2019-05-22",13
"136","2019-05-23",13
"137","2019-05-24",13.62
"138","2019-05-28",13.7
"139","2019-05-29",13.48
"140","2019-05-30",13.48
"141","2019-05-31",13.7
"142","2019-06-03",13.62
"143","2019-06-04",13.75
"144","2019-06-05",13
"145","2019-06-06",13.02
"146","2019-06-07",13.07
"147","2019-06-10",12.51
"148","2019-06-11",12.17
"149","2019-06-12",12.7
"150","2019-06-13",13.2
"151","2019-06-14",12.72
"152","2019-06-17",12.72
"153","2019-06-18",12.7
"154","2019-06-19",12.32
"155","2019-06-20",12.35
"156","2019-06-21",12.3
"157","2019-06-24",12.2
"158","2019-06-25",12.19
"159","2019-06-26",12.2
"160","2019-06-27",11.8
"161","2019-06-28",11.4
"162","2019-07-01",11.45
"163","2019-07-02",12.19
"164","2019-07-03",11.94
"165","2019-07-05",12.04
"166","2019-07-08",11.73
"167","2019-07-09",12
"168","2019-07-10",11.94
"169","2019-07-11",11.94
"170","2019-07-12",11.8
"171","2019-07-15",11.6
"172","2019-07-16",11.5
"173","2019-07-17",11.51
"174","2019-07-18",11.41
"175","2019-07-19",11.41
"176","2019-07-22",11.5
"177","2019-07-23",11.5
"178","2019-07-24",11.5
"179","2019-07-25",11.5
"180","2019-07-26",11.5
"181","2019-07-29",11.5
"182","2019-07-30",11.5
"183","2019-07-31",11.5
"184","2019-08-01",11.5
"185","2019-08-02",11.5
"186","2019-08-05",11.1
"187","2019-08-06",11.1
"188","2019-08-07",10.86
"189","2019-08-08",10.85
"190","2019-08-09",10.8
"191","2019-08-12",10.8
"192","2019-08-13",10.8
"193","2019-08-14",10.48
"194","2019-08-15",10
"195","2019-08-16",10
"196","2019-08-19",10
"197","2019-08-20",9.78
"198","2019-08-21",8.25
"199","2019-08-22",9.8
"200","2019-08-23",9
"201","2019-08-26",9
"202","2019-08-27",8.95
"203","2019-08-28",8.92
"204","2019-08-29",8.99
"205","2019-08-30",9
"206","2019-09-03",8.95
"207","2019-09-04",8.75
"208","2019-09-05",9.18
"209","2019-09-06",8.75
"210","2019-09-09",8.85
"211","2019-09-10",8.95
"212","2019-09-11",8.99
"213","2019-09-12",8.91
"214","2019-09-13",8.85
"215","2019-09-16",9
"216","2019-09-17",8.95
"217","2019-09-18",8.75
"218","2019-09-19",8.9
"219","2019-09-20",8.69
"220","2019-09-23",8.48
"221","2019-09-24",8.5
"222","2019-09-25",8.27
"223","2019-09-26",8
"224","2019-09-27",8
"225","2019-09-30",8.12
"226","2019-10-01",7.8
"227","2019-10-02",7.5
"228","2019-10-03",7.46
"229","2019-10-04",7.55
"230","2019-10-07",7.5
"231","2019-10-08",7.6
"232","2019-10-09",7.75
"233","2019-10-10",7.7
"234","2019-10-11",7.7
"235","2019-10-14",7.84
"236","2019-10-15",7.55
"237","2019-10-16",7.43
"238","2019-10-17",7.59
"239","2019-10-18",7.36
"240","2019-10-21",7.27
"241","2019-10-22",7.32
"242","2019-10-23",7.3
"243","2019-10-24",7.18
"244","2019-10-25",7.08
"245","2019-10-28",7.22
"246","2019-10-29",7
"247","2019-10-30",6.75
"248","2019-10-31",7.25
"249","2019-11-01",6.98
"250","2019-11-04",7.12
"251","2019-11-05",7.29
"252","2019-11-06",7.21
"253","2019-11-07",7.15
"254","2019-11-08",7.3
"255","2019-11-11",7.25
"256","2019-11-12",7.39
"257","2019-11-13",7.8
"258","2019-11-14",7.7
"259","2019-11-15",7.8
"260","2019-11-18",7.76
"261","2019-11-19",8
"262","2019-11-20",8
"263","2019-11-21",8.01
"264","2019-11-22",8.15
"265","2019-11-25",8.15
"266","2019-11-26",8.27
"267","2019-11-27",8.5
"268","2019-11-29",8.72
"269","2019-12-02",8.5
"270","2019-12-03",8.72
"271","2019-12-04",8.5
"272","2019-12-05",8.46
"273","2019-12-06",8.49
"274","2019-12-09",8.49
"275","2019-12-10",8.51
"276","2019-12-11",8.55
"277","2019-12-12",8.64
"278","2019-12-13",8.65
"279","2019-12-16",8.8
"280","2019-12-17",8.6
"281","2019-12-18",8.7
"282","2019-12-19",8.5
"283","2019-12-20",8.5
"284","2019-12-23",8.5
"285","2019-12-24",8.53
"286","2019-12-26",8.5
"287","2019-12-27",8.69
"288","2019-12-30",8.69
"289","2019-12-31",8.74
"290","2020-01-02",8.72
"291","2020-01-03",8.75
"292","2020-01-06",9.26
"293","2020-01-07",9.07
"294","2020-01-08",8.9
"295","2020-01-09",8.8
"296","2020-01-10",8.58
"297","2020-01-13",8.69
"298","2020-01-14",8.9
"299","2020-01-15",9.05
"300","2020-01-16",8.89
"301","2020-01-17",8.88
"302","2020-01-21",8.86
"303","2020-01-22",8.89
"304","2020-01-23",8.84
"305","2020-01-24",8.84
"306","2020-01-27",8.74
"307","2020-01-28",8.82
"308","2020-01-29",8.77
"309","2020-01-30",8.92
"310","2020-01-31",8.92
"311","2020-02-03",8.92
"312","2020-02-04",8.92
"313","2020-02-05",8.92
"314","2020-02-06",8.92
"315","2020-02-07",8.73
"316","2020-02-10",8.55
"317","2020-02-11",8.73
"318","2020-02-12",8.73
"319","2020-02-13",8.73
"320","2020-02-14",8.73
"321","2020-02-18",8.95
"322","2020-02-19",8.88
"323","2020-02-20",8.88
"324","2020-02-21",8.88
"325","2020-02-24",8.64
"326","2020-02-25",8.75
"327","2020-02-26",8.65
"328","2020-02-27",8.51
"329","2020-02-28",8.25
"330","2020-03-02",8.2
"331","2020-03-03",8.71
"332","2020-03-04",7.25
"333","2020-03-05",7.35
"334","2020-03-06",7.35
"335","2020-03-09",7.01
"336","2020-03-10",7.01
"337","2020-03-11",7
"338","2020-03-12",6.42
"339","2020-03-13",6.65
"340","2020-03-16",6.2
"341","2020-03-17",5.56
"342","2020-03-18",5.6
"343","2020-03-19",5.06
"344","2020-03-20",5.63
"345","2020-03-23",6.05
"346","2020-03-24",6.5
"347","2020-03-25",6.6
"348","2020-03-26",6.65
"349","2020-03-27",8
"350","2020-03-30",8
