"","date","ICL"
"1","2007-01-03",6.45
"2","2007-01-04",6.45
"3","2007-01-05",6.45
"4","2007-01-08",5.8
"5","2007-01-09",5.85
"6","2007-01-10",5.85
"7","2007-01-11",5.85
"8","2007-01-12",5.85
"9","2007-01-16",5.85
"10","2007-01-17",5.85
"11","2007-01-18",5.85
"12","2007-01-19",5.85
"13","2007-01-22",5.85
"14","2007-01-23",5.85
"15","2007-01-24",5.85
"16","2007-01-25",5.85
"17","2007-01-26",5.85
"18","2007-01-29",5.85
"19","2007-01-30",6.3
"20","2007-01-31",6.3
"21","2007-02-01",6.35
"22","2007-02-02",6.35
"23","2007-02-05",6.35
"24","2007-02-06",6.35
"25","2007-02-07",6.35
"26","2007-02-08",6.35
"27","2007-02-09",6.35
"28","2007-02-12",6.35
"29","2007-02-13",6.35
"30","2007-02-14",6.35
"31","2007-02-15",6.35
"32","2007-02-16",6.35
"33","2007-02-20",6.35
"34","2007-02-21",6.323
"35","2007-02-22",6.323
"36","2007-02-23",6.323
"37","2007-02-26",6.323
"38","2007-02-27",6.323
"39","2007-02-28",6.323
"40","2007-03-01",6.05
"41","2007-03-02",6.05
"42","2007-03-05",6.05
"43","2007-03-06",6.05
"44","2007-03-07",6.05
"45","2007-03-08",6.05
"46","2007-03-09",6.05
"47","2007-03-12",6.2
"48","2007-03-13",6.45
"49","2007-03-14",6.45
"50","2007-03-15",6.45
"51","2007-03-16",6.45
"52","2007-03-19",6.45
"53","2007-03-20",6.45
"54","2007-03-21",6.65
"55","2007-03-22",6.65
"56","2007-03-23",6.65
"57","2007-03-26",6.65
"58","2007-03-27",6.65
"59","2007-03-28",6.65
"60","2007-03-29",6.65
"61","2007-03-30",6.65
"62","2007-04-02",6.65
"63","2007-04-03",7.05
"64","2007-04-04",7.05
"65","2007-04-05",7.3
"66","2007-04-09",7.35
"67","2007-04-10",7.35
"68","2007-04-11",7.35
"69","2007-04-12",7.35
"70","2007-04-13",7.5
"71","2007-04-16",8
"72","2007-04-17",8
"73","2007-04-18",8
"74","2007-04-19",7.8
"75","2007-04-20",7.8
"76","2007-04-23",7.85
"77","2007-04-24",7.85
"78","2007-04-25",7.9
"79","2007-04-26",8
"80","2007-04-27",8.05
"81","2007-04-30",7.85
"82","2007-05-01",7.85
"83","2007-05-02",7.7
"84","2007-05-03",7.7
"85","2007-05-04",7.85
"86","2007-05-07",7.85
"87","2007-05-08",7.85
"88","2007-05-09",8.05
"89","2007-05-10",8.45
"90","2007-05-11",8.45
"91","2007-05-14",8.65
"92","2007-05-15",8.65
"93","2007-05-16",8.65
"94","2007-05-17",8.7
"95","2007-05-18",8.7
"96","2007-05-21",8.7
"97","2007-05-22",8.7
"98","2007-05-23",8.25
"99","2007-05-24",8.25
"100","2007-05-25",8.25
"101","2007-05-29",8.65
"102","2007-05-30",8.65
"103","2007-05-31",8.7
"104","2007-06-01",8.7
"105","2007-06-04",8.6
"106","2007-06-05",8.5
"107","2007-06-06",8.2
"108","2007-06-07",8.3
"109","2007-06-08",8.3
"110","2007-06-11",8.5
"111","2007-06-12",8.5
"112","2007-06-13",8.5
"113","2007-06-14",8.5
"114","2007-06-15",8.5
"115","2007-06-18",8.5
"116","2007-06-19",8.5
"117","2007-06-20",8.25
"118","2007-06-21",8.25
"119","2007-06-22",8.25
"120","2007-06-25",8
"121","2007-06-26",8
"122","2007-06-27",8
"123","2007-06-28",8
"124","2007-06-29",8.2
"125","2007-07-02",8.15
"126","2007-07-03",8.15
"127","2007-07-05",8.2
"128","2007-07-06",8.5
"129","2007-07-09",8.5
"130","2007-07-10",8.5
"131","2007-07-11",8.5
"132","2007-07-12",8.5
"133","2007-07-13",8.5
"134","2007-07-16",8.5
"135","2007-07-17",8.5
"136","2007-07-18",8.5
"137","2007-07-19",8.5
"138","2007-07-20",8.5
"139","2007-07-23",8.5
"140","2007-07-24",8.8
"141","2007-07-25",8.4
"142","2007-07-26",8.3
"143","2007-07-27",8.3
"144","2007-07-30",8.15
"145","2007-07-31",8.15
"146","2007-08-01",8.2
"147","2007-08-02",8.2
"148","2007-08-03",8.2
"149","2007-08-06",8
"150","2007-08-07",8
"151","2007-08-08",8
"152","2007-08-09",8
"153","2007-08-10",8
"154","2007-08-13",8
"155","2007-08-14",8.3
"156","2007-08-15",8.3
"157","2007-08-16",8.3
"158","2007-08-17",8.3
"159","2007-08-20",8.3
"160","2007-08-21",8.3
"161","2007-08-22",8.3
"162","2007-08-23",8.3
"163","2007-08-24",8.3
"164","2007-08-27",8.3
"165","2007-08-28",8.3
"166","2007-08-29",8.3
"167","2007-08-30",8.3
"168","2007-08-31",8.3
"169","2007-09-04",8.3
"170","2007-09-05",8.1
"171","2007-09-06",7.95
"172","2007-09-07",8
"173","2007-09-10",8
"174","2007-09-11",8
"175","2007-09-12",8
"176","2007-09-13",8
"177","2007-09-14",8
"178","2007-09-17",8
"179","2007-09-18",8.25
"180","2007-09-19",8.25
"181","2007-09-20",8.25
"182","2007-09-21",8.25
"183","2007-09-24",9
"184","2007-09-25",9
"185","2007-09-26",9
"186","2007-09-27",9
"187","2007-09-28",9
"188","2007-10-01",9
"189","2007-10-02",9
"190","2007-10-03",9.75
"191","2007-10-04",9.75
"192","2007-10-05",9.75
"193","2007-10-08",9.75
"194","2007-10-09",9.85
"195","2007-10-10",9.85
"196","2007-10-11",10.52
"197","2007-10-12",10.52
"198","2007-10-15",10
"199","2007-10-16",10
"200","2007-10-17",10
"201","2007-10-18",10
"202","2007-10-19",10
"203","2007-10-22",10.15
"204","2007-10-23",10.22
"205","2007-10-24",10.15
"206","2007-10-25",10.15
"207","2007-10-26",10.15
"208","2007-10-29",10.2
"209","2007-10-30",10.2
"210","2007-10-31",10.1
"211","2007-11-01",10.1
"212","2007-11-02",10.1
"213","2007-11-05",10.1
"214","2007-11-06",10.1
"215","2007-11-07",10.1
"216","2007-11-08",10.1
"217","2007-11-09",10.1
"218","2007-11-12",10.1
"219","2007-11-13",10.1
"220","2007-11-14",10.1
"221","2007-11-15",10.65
"222","2007-11-16",10.65
"223","2007-11-19",10.65
"224","2007-11-20",10
"225","2007-11-21",10.25
"226","2007-11-23",10.25
"227","2007-11-26",10.35
"228","2007-11-27",10.35
"229","2007-11-28",10.35
"230","2007-11-29",10.35
"231","2007-11-30",10.35
"232","2007-12-03",10.35
"233","2007-12-04",11.5
"234","2007-12-05",11.5
"235","2007-12-06",11.5
"236","2007-12-07",11.5
"237","2007-12-10",11.75
"238","2007-12-11",11.75
"239","2007-12-12",11.75
"240","2007-12-13",11.75
"241","2007-12-14",11.75
"242","2007-12-17",11
"243","2007-12-18",11
"244","2007-12-19",11
"245","2007-12-20",12.95
"246","2007-12-21",13.5
"247","2007-12-24",13.35
"248","2007-12-26",13
"249","2007-12-27",13
"250","2007-12-28",13.75
"251","2007-12-31",13.75
"252","2008-01-02",13.25
"253","2008-01-03",13.25
"254","2008-01-04",13.25
"255","2008-01-07",13.25
"256","2008-01-08",13.25
"257","2008-01-09",13.75
"258","2008-01-10",13.75
"259","2008-01-11",13.95
"260","2008-01-14",14.5
"261","2008-01-15",14.25
"262","2008-01-16",14.25
"263","2008-01-17",12
"264","2008-01-18",12
"265","2008-01-22",11.95
"266","2008-01-23",11
"267","2008-01-24",11
"268","2008-01-25",11
"269","2008-01-28",12.55
"270","2008-01-29",13.25
"271","2008-01-30",13.5
"272","2008-01-31",13.25
"273","2008-02-01",13.25
"274","2008-02-04",13.65
"275","2008-02-05",13.5
"276","2008-02-06",13.5
"277","2008-02-07",13
"278","2008-02-08",13
"279","2008-02-11",13
"280","2008-02-12",13
"281","2008-02-13",13.1
"282","2008-02-14",13.1
"283","2008-02-15",13.1
"284","2008-02-19",13.1
"285","2008-02-20",13.1
"286","2008-02-21",13.1
"287","2008-02-22",13.1
"288","2008-02-25",14.8
"289","2008-02-26",14.8
"290","2008-02-27",14.75
"291","2008-02-28",14.75
"292","2008-02-29",14.75
"293","2008-03-03",14
"294","2008-03-04",14
"295","2008-03-05",14
"296","2008-03-06",14.75
"297","2008-03-07",14.35
"298","2008-03-10",14.35
"299","2008-03-11",14.35
"300","2008-03-12",14.35
"301","2008-03-13",14.35
"302","2008-03-14",14.35
"303","2008-03-17",14.5
"304","2008-03-18",15.25
"305","2008-03-19",14.5
"306","2008-03-20",13.25
"307","2008-03-24",13.25
"308","2008-03-25",13.25
"309","2008-03-26",13.25
"310","2008-03-27",13.25
"311","2008-03-28",13.25
"312","2008-03-31",13.75
"313","2008-04-01",13.9
"314","2008-04-02",15
"315","2008-04-03",15
"316","2008-04-04",14.75
"317","2008-04-07",16.5
"318","2008-04-08",16.5
"319","2008-04-09",16.5
"320","2008-04-10",16.75
"321","2008-04-11",16.75
"322","2008-04-14",17.5
"323","2008-04-15",18.5
"324","2008-04-16",19.5
"325","2008-04-17",18.5
"326","2008-04-18",19
"327","2008-04-21",18.35
"328","2008-04-22",18.75
"329","2008-04-23",18.75
"330","2008-04-24",19.75
"331","2008-04-25",19.75
"332","2008-04-28",19.5
"333","2008-04-29",19
"334","2008-04-30",17.75
"335","2008-05-01",18
"336","2008-05-02",18
"337","2008-05-05",17.875
"338","2008-05-06",18.5
"339","2008-05-07",19.25
"340","2008-05-08",19.25
"341","2008-05-09",19.25
"342","2008-05-12",19.75
"343","2008-05-13",19.75
"344","2008-05-14",19.75
"345","2008-05-15",19.75
"346","2008-05-16",20.75
"347","2008-05-19",20
"348","2008-05-20",19.15
"349","2008-05-21",20
"350","2008-05-22",19.25
"351","2008-05-23",20.25
"352","2008-05-27",22.5
"353","2008-05-28",22.25
"354","2008-05-29",22.5
"355","2008-05-30",23.75
"356","2008-06-02",23
"357","2008-06-03",23
"358","2008-06-04",22.75
"359","2008-06-05",22.5
"360","2008-06-06",22.5
"361","2008-06-09",22.5
"362","2008-06-10",21.75
"363","2008-06-11",22.200001
"364","2008-06-12",22
"365","2008-06-13",22.1
"366","2008-06-16",21.5
"367","2008-06-17",23.5
"368","2008-06-18",23.25
"369","2008-06-19",25.5
"370","2008-06-20",24.25
"371","2008-06-23",23.75
"372","2008-06-24",24.25
"373","2008-06-25",23.75
"374","2008-06-26",23
"375","2008-06-27",23.5
"376","2008-06-30",23.5
"377","2008-07-01",23.5
"378","2008-07-02",23.5
"379","2008-07-03",21.35
"380","2008-07-07",20.5
"381","2008-07-08",20
"382","2008-07-09",21.469999
"383","2008-07-10",21.469999
"384","2008-07-11",21.5
"385","2008-07-14",21.5
"386","2008-07-15",20
"387","2008-07-16",18.75
"388","2008-07-17",20
"389","2008-07-18",20.5
"390","2008-07-21",18.573
"391","2008-07-22",18.9
"392","2008-07-23",18.9
"393","2008-07-24",17.25
"394","2008-07-25",17.25
"395","2008-07-28",18.049
"396","2008-07-29",17.799999
"397","2008-07-30",18
"398","2008-07-31",17.700001
"399","2008-08-01",17.700001
"400","2008-08-04",16.25
"401","2008-08-05",15.25
"402","2008-08-06",16.25
"403","2008-08-07",16.25
"404","2008-08-08",15.1
"405","2008-08-11",14.25
"406","2008-08-12",13.5
"407","2008-08-13",14.93
"408","2008-08-14",16.089001
"409","2008-08-15",16
"410","2008-08-18",16
"411","2008-08-19",16.537001
"412","2008-08-20",17.5
"413","2008-08-21",17.75
"414","2008-08-22",17.4
"415","2008-08-25",17.5
"416","2008-08-26",17.25
"417","2008-08-27",17.5
"418","2008-08-28",17.5
"419","2008-08-29",17.5
"420","2008-09-02",15.75
"421","2008-09-03",14.25
"422","2008-09-04",15.25
"423","2008-09-05",15.2
"424","2008-09-08",15.2
"425","2008-09-09",14.2
"426","2008-09-10",13.5
"427","2008-09-11",12.959
"428","2008-09-12",13.2
"429","2008-09-15",13.75
"430","2008-09-16",13.2
"431","2008-09-17",13
"432","2008-09-18",12.45
"433","2008-09-19",13.5
"434","2008-09-22",14.5
"435","2008-09-23",15.5
"436","2008-09-24",15.5
"437","2008-09-25",15.5
"438","2008-09-26",15
"439","2008-09-29",14
"440","2008-09-30",14
"441","2008-10-01",14
"442","2008-10-02",11.75
"443","2008-10-03",11.75
"444","2008-10-06",9.75
"445","2008-10-07",10.5
"446","2008-10-08",9.25
"447","2008-10-09",9.25
"448","2008-10-10",10.25
"449","2008-10-13",9.5
"450","2008-10-14",9.6
"451","2008-10-15",9.6
"452","2008-10-16",9.5
"453","2008-10-17",9.5
"454","2008-10-20",10
"455","2008-10-21",8.85
"456","2008-10-22",8.25
"457","2008-10-23",8.5
"458","2008-10-24",8.5
"459","2008-10-27",8
"460","2008-10-28",9
"461","2008-10-29",9
"462","2008-10-30",9
"463","2008-10-31",10.25
"464","2008-11-03",9.5
"465","2008-11-04",10
"466","2008-11-05",10
"467","2008-11-06",9.5
"468","2008-11-07",9.5
"469","2008-11-10",8.75
"470","2008-11-11",8.25
"471","2008-11-12",8.25
"472","2008-11-13",8
"473","2008-11-14",7.25
"474","2008-11-17",7.327
"475","2008-11-18",6.75
"476","2008-11-19",6.75
"477","2008-11-20",4.85
"478","2008-11-21",4.95
"479","2008-11-24",5.5
"480","2008-11-25",5.75
"481","2008-11-26",5.9
"482","2008-11-28",6
"483","2008-12-01",5.5
"484","2008-12-02",6.25
"485","2008-12-03",6
"486","2008-12-04",6.25
"487","2008-12-05",6.05
"488","2008-12-08",6.75
"489","2008-12-09",6.75
"490","2008-12-10",6.45
"491","2008-12-11",6.45
"492","2008-12-12",7
"493","2008-12-15",6.8
"494","2008-12-16",6.8
"495","2008-12-17",7.5
"496","2008-12-18",8.25
"497","2008-12-19",7.5
"498","2008-12-22",7.25
"499","2008-12-23",7
"500","2008-12-24",7
"501","2008-12-26",6.75
"502","2008-12-29",6.4
"503","2008-12-30",6.7
"504","2008-12-31",6.75
"505","2009-01-02",6.75
"506","2009-01-05",7
"507","2009-01-06",8.15
"508","2009-01-07",8.15
"509","2009-01-08",8.15
"510","2009-01-09",8.25
"511","2009-01-12",8.25
"512","2009-01-13",8.25
"513","2009-01-14",7.15
"514","2009-01-15",6.4
"515","2009-01-16",7.5
"516","2009-01-20",7.4
"517","2009-01-21",7
"518","2009-01-22",7
"519","2009-01-23",7
"520","2009-01-26",7.25
"521","2009-01-27",7.25
"522","2009-01-28",7.45
"523","2009-01-29",7.3
"524","2009-01-30",6.9
"525","2009-02-02",7.25
"526","2009-02-03",7.25
"527","2009-02-04",7.25
"528","2009-02-05",8.1
"529","2009-02-06",8.25
"530","2009-02-09",8.25
