"","date","MARK"
"1","2007-01-03",84
"2","2007-01-04",82.699997
"3","2007-01-05",88.900002
"4","2007-01-08",79.300003
"5","2007-01-09",80.599998
"6","2007-01-10",77.800003
"7","2007-01-11",75.599998
"8","2007-01-12",75.800003
"9","2007-01-16",73.099998
"10","2007-01-17",75.599998
"11","2007-01-18",71.800003
"12","2007-01-19",72.800003
"13","2007-01-22",72.800003
"14","2007-01-23",72.300003
"15","2007-01-24",72.400002
"16","2007-01-25",72
"17","2007-01-26",70.199997
"18","2007-01-29",73.099998
"19","2007-01-30",75.699997
"20","2007-01-31",74.300003
"21","2007-02-01",71.300003
"22","2007-02-02",71.199997
"23","2007-02-05",68.5
"24","2007-02-06",68
"25","2007-02-07",69.300003
"26","2007-02-08",66.900002
"27","2007-02-09",68.199997
"28","2007-02-12",71.099998
"29","2007-02-13",72.099998
"30","2007-02-14",73.199997
"31","2007-02-15",74.5
"32","2007-02-16",68.599998
"33","2007-02-20",69.5
"34","2007-02-21",69.599998
"35","2007-02-22",71.400002
"36","2007-02-23",71.099998
"37","2007-02-26",70.599998
"38","2007-02-27",69.800003
"39","2007-02-28",79.300003
"40","2007-03-01",72.199997
"41","2007-03-02",73.300003
"42","2007-03-05",67.199997
"43","2007-03-06",65.5
"44","2007-03-07",67.400002
"45","2007-03-08",63.5
"46","2007-03-09",64.099998
"47","2007-03-12",62.5
"48","2007-03-13",60
"49","2007-03-14",63.599998
"50","2007-03-15",64.5
"51","2007-03-16",68.5
"52","2007-03-19",70.099998
"53","2007-03-20",70.599998
"54","2007-03-21",71.900002
"55","2007-03-22",71.5
"56","2007-03-23",73.300003
"57","2007-03-26",71.900002
"58","2007-03-27",72.199997
"59","2007-03-28",72
"60","2007-03-29",70
"61","2007-03-30",70.800003
"62","2007-04-02",69.5
"63","2007-04-03",73
"64","2007-04-04",70
"65","2007-04-05",67
"66","2007-04-09",71.400002
"67","2007-04-10",69
"68","2007-04-11",71.599998
"69","2007-04-12",70
"70","2007-04-13",69.5
"71","2007-04-16",68.400002
"72","2007-04-17",70
"73","2007-04-18",75
"74","2007-04-19",70.099998
"75","2007-04-20",70.599998
"76","2007-04-23",70.099998
"77","2007-04-24",70
"78","2007-04-25",70
"79","2007-04-26",69.099998
"80","2007-04-27",69.199997
"81","2007-04-30",71.199997
"82","2007-05-01",69.5
"83","2007-05-02",70.099998
"84","2007-05-03",69.099998
"85","2007-05-04",67.800003
"86","2007-05-07",72.300003
"87","2007-05-08",71.800003
"88","2007-05-09",70.300003
"89","2007-05-10",72.300003
"90","2007-05-11",70.699997
