"","date","MDJH"
"1","2019-01-08",4.7
"2","2019-01-09",5.72
"3","2019-01-10",5.35
"4","2019-01-11",5.3
"5","2019-01-14",4.16
"6","2019-01-15",3.89
"7","2019-01-16",3.84
"8","2019-01-17",3.7
"9","2019-01-18",3.65
"10","2019-01-22",3.7
"11","2019-01-23",3.56
"12","2019-01-24",3.68
"13","2019-01-25",3.35
"14","2019-01-28",3.19
"15","2019-01-29",3.19
"16","2019-01-30",3.56
"17","2019-01-31",3.6
"18","2019-02-01",4.646
"19","2019-02-04",5.13
"20","2019-02-05",4.04
"21","2019-02-06",4.13
"22","2019-02-07",3.95
"23","2019-02-08",3.839
"24","2019-02-11",3.7
"25","2019-02-12",3.819
"26","2019-02-13",3.839
"27","2019-02-14",3.86
"28","2019-02-15",3.99
"29","2019-02-19",4.05
"30","2019-02-20",3.975
"31","2019-02-21",3.877
"32","2019-02-22",3.9
"33","2019-02-25",4.01
"34","2019-02-26",4
"35","2019-02-27",3.91
"36","2019-02-28",4.16
"37","2019-03-01",4.1
"38","2019-03-04",3.98
"39","2019-03-05",4.268
"40","2019-03-06",4.13
"41","2019-03-07",4.28
"42","2019-03-08",3.92
"43","2019-03-11",3.92
"44","2019-03-12",3.75
"45","2019-03-13",3.8
"46","2019-03-14",3.779
"47","2019-03-15",3.79
"48","2019-03-18",3.711
"49","2019-03-19",3.839
"50","2019-03-20",3.71
"51","2019-03-21",3.759
"52","2019-03-22",3.76
"53","2019-03-25",3.58
"54","2019-03-26",3.52
"55","2019-03-27",3.525
"56","2019-03-28",3.46
"57","2019-03-29",3.46
"58","2019-04-01",3.6
"59","2019-04-02",3.7
"60","2019-04-03",3.62
"61","2019-04-04",3.812
"62","2019-04-05",3.55
"63","2019-04-08",3.473
"64","2019-04-09",3.22
"65","2019-04-10",3.113
"66","2019-04-11",3.3
"67","2019-04-12",3.31
"68","2019-04-15",3.3
"69","2019-04-16",3.3
"70","2019-04-17",3.22
"71","2019-04-18",3.25
"72","2019-04-22",3.36
"73","2019-04-23",3.266
"74","2019-04-24",3.38
"75","2019-04-25",3.17
"76","2019-04-26",3.24
"77","2019-04-29",3.24
"78","2019-04-30",3.1
"79","2019-05-01",3.25
"80","2019-05-02",3.02
"81","2019-05-03",3.01
"82","2019-05-06",2.75
"83","2019-05-07",2.8
"84","2019-05-08",2.88
"85","2019-05-09",2.897
"86","2019-05-10",2.897
"87","2019-05-13",2.97
"88","2019-05-14",2.95
"89","2019-05-15",3.24
"90","2019-05-16",2.99
"91","2019-05-17",3.09
"92","2019-05-20",2.58
"93","2019-05-21",2.86
"94","2019-05-22",2.86
"95","2019-05-23",2.29
"96","2019-05-24",2.61
"97","2019-05-28",2.61
"98","2019-05-29",2.61
"99","2019-05-30",2.61
"100","2019-05-31",2.46
"101","2019-06-03",2.85
"102","2019-06-04",2.211
"103","2019-06-05",2.29
"104","2019-06-06",2.29
"105","2019-06-07",2.23
"106","2019-06-10",2.23
"107","2019-06-11",2
"108","2019-06-12",2.1
"109","2019-06-13",2.35
"110","2019-06-14",2.68
"111","2019-06-17",2.68
"112","2019-06-18",3.05
"113","2019-06-19",2.95
"114","2019-06-20",2.65
"115","2019-06-21",2.21
"116","2019-06-24",2.52
"117","2019-06-25",2.99
"118","2019-06-26",2.86
"119","2019-06-27",2.86
"120","2019-06-28",2.541
"121","2019-07-01",2.7
"122","2019-07-02",2.85
"123","2019-07-03",2.74
"124","2019-07-05",2.609
"125","2019-07-08",2.5
"126","2019-07-09",2.58
"127","2019-07-10",2.5
"128","2019-07-11",2.464
"129","2019-07-12",2.8
"130","2019-07-15",2.8
"131","2019-07-16",2.98
"132","2019-07-17",2.94
"133","2019-07-18",2.68
"134","2019-07-19",2.513
"135","2019-07-22",2.676
"136","2019-07-23",2.92
"137","2019-07-24",2.99
"138","2019-07-25",2.8
"139","2019-07-26",2.826
"140","2019-07-29",2.853
"141","2019-07-30",2.853
"142","2019-07-31",2.95
"143","2019-08-01",2.98
"144","2019-08-02",2.76
"145","2019-08-05",2.85
"146","2019-08-06",2.85
"147","2019-08-07",2.85
"148","2019-08-08",2.87
"149","2019-08-09",2.87
"150","2019-08-12",2.86
"151","2019-08-13",2.882
"152","2019-08-14",2.98
"153","2019-08-15",2.98
"154","2019-08-16",2.83
"155","2019-08-19",2.83
"156","2019-08-20",2.83
"157","2019-08-21",2.562
"158","2019-08-22",2.747
"159","2019-08-23",2.62
"160","2019-08-26",2.75
"161","2019-08-27",2.49
"162","2019-08-28",3.46
"163","2019-08-29",3.55
"164","2019-08-30",2.9
"165","2019-09-03",2.77
"166","2019-09-04",2.705
"167","2019-09-05",2.6
"168","2019-09-06",2.653
"169","2019-09-09",2.61
"170","2019-09-10",2.839
"171","2019-09-11",2.61
"172","2019-09-12",3.08
"173","2019-09-13",2.81
"174","2019-09-16",3
"175","2019-09-17",2.86
"176","2019-09-18",2.85
"177","2019-09-19",2.8
"178","2019-09-20",2.76
"179","2019-09-23",2.78
"180","2019-09-24",2.815
"181","2019-09-25",2.778
"182","2019-09-26",2.79
"183","2019-09-27",2.82
"184","2019-09-30",2.84
"185","2019-10-01",2.64
"186","2019-10-02",2.66
"187","2019-10-03",2.67
"188","2019-10-04",2.799
"189","2019-10-07",2.68
"190","2019-10-08",2.67
"191","2019-10-09",2.615
"192","2019-10-10",2.67
"193","2019-10-11",2.68
"194","2019-10-14",2.66
"195","2019-10-15",2.82
"196","2019-10-16",2.782
"197","2019-10-17",2.71
"198","2019-10-18",2.76
"199","2019-10-21",2.76
"200","2019-10-22",2.61
"201","2019-10-23",2.68
"202","2019-10-24",2.58
"203","2019-10-25",2.6
"204","2019-10-28",2.63
"205","2019-10-29",2.62
"206","2019-10-30",2.51
"207","2019-10-31",2.619
"208","2019-11-01",2.66
"209","2019-11-04",2.497
"210","2019-11-05",2.63
"211","2019-11-06",2.74
"212","2019-11-07",2.86
"213","2019-11-08",2.897
"214","2019-11-11",2.81
"215","2019-11-12",2.91
"216","2019-11-13",2.96
"217","2019-11-14",2.88
"218","2019-11-15",2.93
"219","2019-11-18",2.773
"220","2019-11-19",2.89
"221","2019-11-20",2.887
"222","2019-11-21",2.942
"223","2019-11-22",2.942
"224","2019-11-25",2.95
"225","2019-11-26",2.95
"226","2019-11-27",2.85
"227","2019-11-29",2.95
"228","2019-12-02",2.94
"229","2019-12-03",2.94
"230","2019-12-04",2.94
"231","2019-12-05",2.94
"232","2019-12-06",2.6
"233","2019-12-09",2.9
"234","2019-12-10",2.8
"235","2019-12-11",2.9
"236","2019-12-12",2.712
"237","2019-12-13",2.85
"238","2019-12-16",2.861
"239","2019-12-17",2.8
"240","2019-12-18",2.9
"241","2019-12-19",2.865
"242","2019-12-20",2.865
"243","2019-12-23",2.91
"244","2019-12-24",2.91
"245","2019-12-26",2.91
"246","2019-12-27",2.84
"247","2019-12-30",2.9
"248","2019-12-31",2.95
"249","2020-01-02",2.95
"250","2020-01-03",2.647
"251","2020-01-06",2.9
"252","2020-01-07",2.96
"253","2020-01-08",2.829
"254","2020-01-09",2.95
"255","2020-01-10",3
"256","2020-01-13",3
"257","2020-01-14",2.935
"258","2020-01-15",2.9
"259","2020-01-16",2.94
"260","2020-01-17",3.166
"261","2020-01-21",3.17
"262","2020-01-22",3
"263","2020-01-23",3.14
"264","2020-01-24",2.9
"265","2020-01-27",2.778
"266","2020-01-28",2.778
"267","2020-01-29",2.9
"268","2020-01-30",2.9
"269","2020-01-31",2.9
"270","2020-02-03",2.34
"271","2020-02-04",2.94
"272","2020-02-05",2.995
"273","2020-02-06",2.995
"274","2020-02-07",2.744
"275","2020-02-10",2.744
"276","2020-02-11",3
"277","2020-02-12",3
"278","2020-02-13",3
"279","2020-02-14",3
"280","2020-02-18",2.906
"281","2020-02-19",2.906
"282","2020-02-20",2.84
"283","2020-02-21",2.84
"284","2020-02-24",2.84
"285","2020-02-25",2.84
"286","2020-02-26",2.84
"287","2020-02-27",2.98
"288","2020-02-28",2.98
"289","2020-03-02",2.87
"290","2020-03-03",2.95
"291","2020-03-04",2.95
"292","2020-03-05",2.95
"293","2020-03-06",2.95
"294","2020-03-09",2.95
"295","2020-03-10",2.95
"296","2020-03-11",2.95
"297","2020-03-12",2.95
"298","2020-03-13",2.89
"299","2020-03-16",2.8
"300","2020-03-17",2.82
"301","2020-03-18",2.82
"302","2020-03-19",2.67
"303","2020-03-20",2.76
"304","2020-03-23",2.76
"305","2020-03-24",2.71
"306","2020-03-25",2.71
"307","2020-03-26",2.57
"308","2020-03-27",2.8
"309","2020-03-30",2.98
"310","2020-03-31",2.98
"311","2020-04-01",2.98
"312","2020-04-02",2.9
"313","2020-04-03",2.9
"314","2020-04-06",2.9
"315","2020-04-07",2.9
"316","2020-04-08",2.9
"317","2020-04-09",2.99
"318","2020-04-13",2.99
"319","2020-04-14",2.99
"320","2020-04-15",2.99
"321","2020-04-16",2.99
"322","2020-04-17",2.89
"323","2020-04-20",2.95
"324","2020-04-21",2.4
"325","2020-04-22",2.9
"326","2020-04-23",2.9
"327","2020-04-24",2.94
"328","2020-04-27",2.94
"329","2020-04-28",2.94
"330","2020-04-29",2.75
"331","2020-04-30",2.52
"332","2020-05-01",2.573
"333","2020-05-04",2.55
"334","2020-05-05",2.687
"335","2020-05-06",2.7
"336","2020-05-07",2.66
"337","2020-05-08",2.66
"338","2020-05-11",2.76
"339","2020-05-12",2.737
"340","2020-05-13",2.71
"341","2020-05-14",2.74
"342","2020-05-15",2.73
"343","2020-05-18",2.74
"344","2020-05-19",2.74
"345","2020-05-20",2.73
"346","2020-05-21",2.73
"347","2020-05-22",2.73
"348","2020-05-26",2.79
"349","2020-05-27",2.799
"350","2020-05-28",2.8
"351","2020-05-29",2.68
"352","2020-06-01",2.7
"353","2020-06-02",2.7
"354","2020-06-03",2.7
"355","2020-06-04",2.87
"356","2020-06-05",2.87
"357","2020-06-08",2.87
"358","2020-06-09",2.85
"359","2020-06-10",2.657
"360","2020-06-11",2.59
"361","2020-06-12",2.7
"362","2020-06-15",3.5
"363","2020-06-16",3.34
"364","2020-06-17",3
"365","2020-06-18",2.85
"366","2020-06-19",2.72
"367","2020-06-22",2.65
"368","2020-06-23",2.65
"369","2020-06-24",2.71
"370","2020-06-25",2.7
"371","2020-06-26",2.9
"372","2020-06-29",2.685
"373","2020-06-30",2.72
"374","2020-07-01",2.8
"375","2020-07-02",2.97
"376","2020-07-06",3.075
"377","2020-07-07",3.13
"378","2020-07-08",3.15
"379","2020-07-09",2.98
"380","2020-07-10",3.09
"381","2020-07-13",3.24
"382","2020-07-14",3.25
"383","2020-07-15",3.25
"384","2020-07-16",3.25
"385","2020-07-17",3.1
"386","2020-07-20",3.25
"387","2020-07-21",3.21
"388","2020-07-22",2.982
"389","2020-07-23",3.05
"390","2020-07-24",3.071
