"","date","SPGI"
"189","2007-10-02",51.810001
"190","2007-10-03",53.580002
"191","2007-10-04",52.990002
"192","2007-10-05",54.060001
"193","2007-10-08",54.389999
"194","2007-10-09",54.02
"195","2007-10-10",53.610001
"196","2007-10-11",52.900002
"197","2007-10-12",52.77
"198","2007-10-15",51.779999
"199","2007-10-16",51.639999
"200","2007-10-17",50.919998
"201","2007-10-18",51.419998
"202","2007-10-19",50.169998
"203","2007-10-22",50.650002
"204","2007-10-23",50.029999
"205","2007-10-24",49.970001
"206","2007-10-25",49.25
"207","2007-10-26",49.75
"208","2007-10-29",49.68
"209","2007-10-30",50.23
"210","2007-10-31",50.040001
"211","2007-11-01",47.380001
"212","2007-11-02",46.439999
"213","2007-11-05",47.650002
"214","2007-11-06",47
"215","2007-11-07",45.209999
"216","2007-11-08",46.139999
"217","2007-11-09",46.869999
"218","2007-11-12",46.990002
"219","2007-11-13",48.41
"220","2007-11-14",47.57
"221","2007-11-15",46.07
"222","2007-11-16",46.93
"223","2007-11-19",46.400002
"224","2007-11-20",46.490002
"225","2007-11-21",45.650002
"226","2007-11-23",46.18
"227","2007-11-26",45.07
"228","2007-11-27",45.610001
"229","2007-11-28",47.639999
"230","2007-11-29",47.610001
"231","2007-11-30",49.080002
"232","2007-12-03",46.299999
"233","2007-12-04",45.290001
"234","2007-12-05",46.27
"235","2007-12-06",45.990002
"236","2007-12-07",46.240002
"237","2007-12-10",46.599998
"238","2007-12-11",45.790001
"239","2007-12-12",45.310001
"240","2007-12-13",45.470001
"241","2007-12-14",45.419998
"242","2007-12-17",44.639999
"243","2007-12-18",45.52
"244","2007-12-19",44.720001
"245","2007-12-20",44.169998
"246","2007-12-21",44.900002
"247","2007-12-24",45.09
"248","2007-12-26",45.380001
"249","2007-12-27",44.41
"250","2007-12-28",43.860001
"251","2007-12-31",43.810001
"252","2008-01-02",42.720001
"253","2008-01-03",41.970001
"254","2008-01-04",40.810001
"255","2008-01-07",42.380001
"256","2008-01-08",40.52
"257","2008-01-09",42.360001
"258","2008-01-10",42.490002
"259","2008-01-11",42.709999
"260","2008-01-14",42.950001
"261","2008-01-15",41.830002
"262","2008-01-16",40.27
"263","2008-01-17",39.639999
"264","2008-01-18",38.580002
"265","2008-01-22",38.919998
"266","2008-01-23",39.709999
"267","2008-01-24",42.700001
"268","2008-01-25",42
"269","2008-01-28",41.790001
"270","2008-01-29",41.66
"271","2008-01-30",42.330002
"272","2008-01-31",42.759998
"273","2008-02-01",44.060001
"274","2008-02-04",43.580002
"275","2008-02-05",42.939999
"276","2008-02-06",41.48
"277","2008-02-07",43.009998
"278","2008-02-08",40.66
"279","2008-02-11",41.139999
"280","2008-02-12",41.599998
"281","2008-02-13",42.009998
"282","2008-02-14",41.849998
"283","2008-02-15",40.939999
"284","2008-02-19",40.990002
"285","2008-02-20",42
"286","2008-02-21",41.689999
"287","2008-02-22",41.110001
"288","2008-02-25",41.790001
"289","2008-02-26",43.700001
"290","2008-02-27",43.459999
"291","2008-02-28",42.040001
"292","2008-02-29",40.93
"293","2008-03-03",40.709999
"294","2008-03-04",40.459999
"295","2008-03-05",40.389999
"296","2008-03-06",38.75
"297","2008-03-07",38.889999
"298","2008-03-10",37.990002
"299","2008-03-11",37.299999
"300","2008-03-12",37.080002
"301","2008-03-13",36.900002
"302","2008-03-14",35.599998
"303","2008-03-17",35.200001
"304","2008-03-18",36.880001
"305","2008-03-19",35.93
"306","2008-03-20",37.389999
"307","2008-03-24",38.77
"308","2008-03-25",38.700001
"309","2008-03-26",38.369999
"310","2008-03-27",37.75
"311","2008-03-28",37.349998
"312","2008-03-31",36.950001
"313","2008-04-01",38.669998
"314","2008-04-02",39.23
"315","2008-04-03",38.470001
"316","2008-04-04",38.77
"317","2008-04-07",38.990002
"318","2008-04-08",38.529999
"319","2008-04-09",37.610001
"320","2008-04-10",37.369999
"321","2008-04-11",36.459999
"322","2008-04-14",36.84
"323","2008-04-15",36.900002
"324","2008-04-16",38.049999
"325","2008-04-17",38.110001
"326","2008-04-18",38.73
"327","2008-04-21",38.759998
"328","2008-04-22",38.169998
"329","2008-04-23",39.41
"330","2008-04-24",39.349998
"331","2008-04-25",40.040001
"332","2008-04-28",40.389999
"333","2008-04-29",41.310001
"334","2008-04-30",40.990002
"335","2008-05-01",41.75
"336","2008-05-02",41.509998
"337","2008-05-05",40.68
"338","2008-05-06",40.810001
"339","2008-05-07",40.380001
"340","2008-05-08",40.799999
"341","2008-05-09",40.849998
"342","2008-05-12",41.490002
"343","2008-05-13",43.73
"344","2008-05-14",43.529999
"345","2008-05-15",44.5
"346","2008-05-16",44.5
"347","2008-05-19",44.830002
"348","2008-05-20",43.59
"349","2008-05-21",41.18
"350","2008-05-22",40.939999
"351","2008-05-23",39.919998
"352","2008-05-27",39.849998
"353","2008-05-28",39.689999
"354","2008-05-29",41.389999
"355","2008-05-30",41.490002
"356","2008-06-02",40.82
"357","2008-06-03",41.200001
"358","2008-06-04",43.880001
"359","2008-06-05",45.099998
"360","2008-06-06",44.360001
"361","2008-06-09",43.689999
"362","2008-06-10",43.66
"363","2008-06-11",43.189999
"364","2008-06-12",43.080002
"365","2008-06-13",43.73
"366","2008-06-16",44.040001
"367","2008-06-17",43.84
"368","2008-06-18",43.049999
"369","2008-06-19",43.639999
"370","2008-06-20",43.169998
