"","date","CHRS"
"1","2014-11-06",12.61
"2","2014-11-07",15.1
"3","2014-11-10",15.26
"4","2014-11-11",14.95
"5","2014-11-12",14.42
"6","2014-11-13",13.9
"7","2014-11-14",13.92
"8","2014-11-17",13.15
"9","2014-11-18",13.16
"10","2014-11-19",13.16
"11","2014-11-20",13
"12","2014-11-21",13.05
"13","2014-11-24",13.41
"14","2014-11-25",13.75
"15","2014-11-26",13.59
"16","2014-11-28",13.73
"17","2014-12-01",13.37
"18","2014-12-02",14.14
"19","2014-12-03",14.25
"20","2014-12-04",14.18
"21","2014-12-05",14.37
"22","2014-12-08",14.34
"23","2014-12-09",15.19
"24","2014-12-10",14.97
"25","2014-12-11",14.52
"26","2014-12-12",14.12
"27","2014-12-15",13.78
"28","2014-12-16",13.63
"29","2014-12-17",13.04
"30","2014-12-18",13.15
"31","2014-12-19",12.76
"32","2014-12-22",12.82
"33","2014-12-23",14.06
"34","2014-12-24",14.85
"35","2014-12-26",15.68
"36","2014-12-29",16.360001
"37","2014-12-30",16.030001
"38","2014-12-31",16.32
"39","2015-01-02",15.82
"40","2015-01-05",16.059999
"41","2015-01-06",16.84
"42","2015-01-07",19.790001
"43","2015-01-08",21.32
"44","2015-01-09",22.24
"45","2015-01-12",21.379999
"46","2015-01-13",22.440001
"47","2015-01-14",22.780001
"48","2015-01-15",20.99
"49","2015-01-16",20.6
"50","2015-01-20",21.08
"51","2015-01-21",20.440001
"52","2015-01-22",20.860001
"53","2015-01-23",20.17
"54","2015-01-26",22.139999
"55","2015-01-27",22.26
"56","2015-01-28",22.190001
"57","2015-01-29",23
"58","2015-01-30",22.440001
"59","2015-02-02",22.49
"60","2015-02-03",21.91
"61","2015-02-04",21.65
"62","2015-02-05",24.389999
"63","2015-02-06",28.66
"64","2015-02-09",32.360001
"65","2015-02-10",29.360001
"66","2015-02-11",27.459999
"67","2015-02-12",27.82
"68","2015-02-13",27.110001
"69","2015-02-17",26.58
"70","2015-02-18",27.99
"71","2015-02-19",27.389999
"72","2015-02-20",27.450001
"73","2015-02-23",28.110001
"74","2015-02-24",29.860001
"75","2015-02-25",32.16
"76","2015-02-26",32.700001
"77","2015-02-27",31.59
"78","2015-03-02",32.849998
"79","2015-03-03",31.77
"80","2015-03-04",32.619999
"81","2015-03-05",29.709999
"82","2015-03-06",27.48
"83","2015-03-09",26.98
"84","2015-03-10",27.84
"85","2015-03-11",27.48
"86","2015-03-12",28.02
"87","2015-03-13",28.959999
"88","2015-03-16",29.91
