"","date","NSCO"
"1","2017-10-09",9.8
"2","2017-10-10",9.85
"3","2017-10-11",9.8
"4","2017-10-12",9.8
"5","2017-10-13",9.78
"6","2017-10-16",9.78
"7","2017-10-17",9.76
"8","2017-10-18",9.77
"9","2017-10-19",9.76
"10","2017-10-20",9.73
"11","2017-10-23",9.74
"12","2017-10-24",9.74
"13","2017-10-25",9.78
"14","2017-10-26",9.76
"15","2017-10-27",9.79
"16","2017-10-30",9.79
"17","2017-10-31",9.79
"18","2017-11-01",9.79
"19","2017-11-02",9.78
"20","2017-11-03",9.75
"21","2017-11-06",9.75
"22","2017-11-07",9.75
"23","2017-11-08",9.75
"24","2017-11-09",9.72
"25","2017-11-10",9.72
"26","2017-11-13",9.72
"27","2017-11-14",9.72
"28","2017-11-15",9.72
"29","2017-11-16",9.72
"30","2017-11-17",9.72
"31","2017-11-20",9.72
"32","2017-11-21",9.72
"33","2017-11-22",9.72
"34","2017-11-24",9.67
"35","2017-11-27",9.67
"36","2017-11-28",9.67
"37","2017-11-29",9.67
"38","2017-11-30",9.67
"39","2017-12-01",9.75
"40","2017-12-04",9.75
"41","2017-12-05",9.75
"42","2017-12-06",9.68
"43","2017-12-07",9.69
"44","2017-12-08",9.69
"45","2017-12-11",9.69
"46","2017-12-12",9.69
"47","2017-12-13",9.66
"48","2017-12-14",9.66
"49","2017-12-15",9.66
"50","2017-12-18",9.66
"51","2017-12-19",9.65
"52","2017-12-20",9.65
"53","2017-12-21",9.65
"54","2017-12-22",9.65
"55","2017-12-26",9.68
"56","2017-12-27",9.68
"57","2017-12-28",9.68
"58","2017-12-29",9.68
"59","2018-01-02",9.68
"60","2018-01-03",9.68
"61","2018-01-04",9.68
"62","2018-01-05",9.68
"63","2018-01-08",9.66
"64","2018-01-09",9.66
"65","2018-01-10",9.692
"66","2018-01-11",9.695
"67","2018-01-12",9.7
"68","2018-01-16",9.67
"69","2018-01-17",9.69
"70","2018-01-18",9.69
"71","2018-01-19",9.69
"72","2018-01-22",9.69
"73","2018-01-23",9.67
"74","2018-01-24",9.67
"75","2018-01-25",9.67
"76","2018-01-26",9.67
"77","2018-01-29",9.67
"78","2018-01-30",9.69
"79","2018-01-31",9.69
"80","2018-02-01",9.68
"81","2018-02-02",9.73
"82","2018-02-05",9.714
"83","2018-02-06",9.69
"84","2018-02-07",9.7
"85","2018-02-08",9.7
"86","2018-02-09",9.7
"87","2018-02-12",9.7
"88","2018-02-13",9.7
"89","2018-02-14",9.71
"90","2018-02-15",9.67
"91","2018-02-16",9.75
"92","2018-02-20",9.73
"93","2018-02-21",9.68
"94","2018-02-22",9.68
"95","2018-02-23",9.68
"96","2018-02-26",9.68
"97","2018-02-27",9.68
"98","2018-02-28",9.67
"99","2018-03-01",9.67
"100","2018-03-02",9.67
"101","2018-03-05",9.67
"102","2018-03-06",9.67
"103","2018-03-07",9.67
"104","2018-03-08",9.67
"105","2018-03-09",9.68
"106","2018-03-12",9.68
"107","2018-03-13",9.67
"108","2018-03-14",9.67
"109","2018-03-15",9.67
"110","2018-03-16",9.68
"111","2018-03-19",9.68
"112","2018-03-20",9.68
"113","2018-03-21",9.68
"114","2018-03-22",9.7
"115","2018-03-23",9.67
"116","2018-03-26",9.67
"117","2018-03-27",9.67
"118","2018-03-28",9.67
"119","2018-03-29",9.67
"120","2018-04-02",9.67
"121","2018-04-03",9.67
"122","2018-04-04",9.67
"123","2018-04-05",9.67
"124","2018-04-06",9.69
"125","2018-04-09",9.69
"126","2018-04-10",9.69
"127","2018-04-11",9.69
"128","2018-04-12",9.67
"129","2018-04-13",9.67
"130","2018-04-16",9.67
"131","2018-04-17",9.67
"132","2018-04-18",9.67
"133","2018-04-19",9.67
"134","2018-04-20",9.67
"135","2018-04-23",9.75
"136","2018-04-24",9.77
"137","2018-04-25",9.8
"138","2018-04-26",9.76
"139","2018-04-27",9.79
"140","2018-04-30",9.79
