"","date","WIX"
"1","2013-11-06",16.309999
"2","2013-11-07",16.559999
"3","2013-11-08",17.299999
"4","2013-11-11",17.940001
"5","2013-11-12",17.549999
"6","2013-11-13",17.27
"7","2013-11-14",17.34
"8","2013-11-15",17.66
"9","2013-11-18",18.74
"10","2013-11-19",18.110001
"11","2013-11-20",18.41
"12","2013-11-21",18.299999
"13","2013-11-22",18.17
"14","2013-11-25",18.299999
"15","2013-11-26",18.209999
"16","2013-11-27",19.530001
"17","2013-11-29",20.5
"18","2013-12-02",22.940001
"19","2013-12-03",22.07
"20","2013-12-04",21.030001
"21","2013-12-05",21.93
"22","2013-12-06",23.889999
"23","2013-12-09",24.639999
"24","2013-12-10",25.190001
"25","2013-12-11",24.99
"26","2013-12-12",23.959999
"27","2013-12-13",24.23
"28","2013-12-16",25.91
"29","2013-12-17",27.620001
"30","2013-12-18",27.92
"31","2013-12-19",26.870001
"32","2013-12-20",27.959999
"33","2013-12-23",27.74
"34","2013-12-24",27.82
"35","2013-12-26",28.49
"36","2013-12-27",28.16
"37","2013-12-30",27.77
"38","2013-12-31",26.85
"39","2014-01-02",25.780001
"40","2014-01-03",25.030001
"41","2014-01-06",24.43
"42","2014-01-07",24.049999
"43","2014-01-08",24.299999
"44","2014-01-09",26.059999
"45","2014-01-10",26.450001
"46","2014-01-13",26.889999
"47","2014-01-14",27.389999
"48","2014-01-15",27.43
"49","2014-01-16",27.58
"50","2014-01-17",28.450001
"51","2014-01-21",28.85
"52","2014-01-22",29.5
"53","2014-01-23",30.07
"54","2014-01-24",28.33
"55","2014-01-27",27.09
"56","2014-01-28",27.549999
"57","2014-01-29",26.99
"58","2014-01-30",27.91
"59","2014-01-31",28.66
"60","2014-02-03",27.01
"61","2014-02-04",26.219999
"62","2014-02-05",25.290001
"63","2014-02-06",25.58
"64","2014-02-07",28.139999
"65","2014-02-10",28.51
"66","2014-02-11",29.77
"67","2014-02-12",29.809999
"68","2014-02-13",29.450001
"69","2014-02-14",29.040001
"70","2014-02-18",28.280001
"71","2014-02-19",27.940001
"72","2014-02-20",28.98
"73","2014-02-21",29.35
"74","2014-02-24",29.120001
"75","2014-02-25",31.23
"76","2014-02-26",31.209999
"77","2014-02-27",31.32
"78","2014-02-28",30.9
"79","2014-03-03",29.889999
"80","2014-03-04",30.34
"81","2014-03-05",29.219999
"82","2014-03-06",29.65
"83","2014-03-07",28.16
"84","2014-03-10",26.870001
"85","2014-03-11",26.549999
"86","2014-03-12",27.35
"87","2014-03-13",26.35
"88","2014-03-14",26.4
"89","2014-03-17",26.780001
"90","2014-03-18",26.799999
"91","2014-03-19",26.629999
"92","2014-03-20",26.559999
"93","2014-03-21",25.68
"94","2014-03-24",23.209999
"95","2014-03-25",23.5
"96","2014-03-26",22.41
"97","2014-03-27",20.200001
"98","2014-03-28",21.02
"99","2014-03-31",22.969999
"100","2014-04-01",22.610001
"101","2014-04-02",22.5
"102","2014-04-03",22.790001
"103","2014-04-04",21.440001
"104","2014-04-07",21.01
"105","2014-04-08",21.1
"106","2014-04-09",22.75
"107","2014-04-10",22.549999
"108","2014-04-11",21.370001
"109","2014-04-14",21
"110","2014-04-15",21.209999
"111","2014-04-16",21.25
"112","2014-04-17",21.450001
"113","2014-04-21",21.290001
"114","2014-04-22",22
"115","2014-04-23",21.82
"116","2014-04-24",21.15
"117","2014-04-25",20.52
"118","2014-04-28",19.940001
"119","2014-04-29",19.879999
"120","2014-04-30",20.49
"121","2014-05-01",20.24
"122","2014-05-02",19.91
"123","2014-05-05",19.84
"124","2014-05-06",19.26
"125","2014-05-07",18.440001
"126","2014-05-08",17.24
"127","2014-05-09",16.52
"128","2014-05-12",17.43
"129","2014-05-13",16.84
"130","2014-05-14",16.219999
"131","2014-05-15",14.76
"132","2014-05-16",15.43
"133","2014-05-19",15.95
"134","2014-05-20",15.62
"135","2014-05-21",15.57
"136","2014-05-22",15.93
"137","2014-05-23",15.43
"138","2014-05-27",16.65
"139","2014-05-28",17.84
"140","2014-05-29",17.879999
"141","2014-05-30",17.860001
"142","2014-06-02",17.700001
"143","2014-06-03",16.59
"144","2014-06-04",16.549999
"145","2014-06-05",16.700001
"146","2014-06-06",17.01
"147","2014-06-09",17.49
"148","2014-06-10",18.030001
"149","2014-06-11",17.83
"150","2014-06-12",17.76
"151","2014-06-13",17.93
"152","2014-06-16",17.59
"153","2014-06-17",17.629999
"154","2014-06-18",17.76
"155","2014-06-19",17.620001
"156","2014-06-20",17.540001
"157","2014-06-23",17.77
"158","2014-06-24",20.040001
"159","2014-06-25",20.059999
"160","2014-06-26",20.049999
"161","2014-06-27",19.99
"162","2014-06-30",19.84
"163","2014-07-01",20.23
"164","2014-07-02",19.91
"165","2014-07-03",20.09
"166","2014-07-07",20
"167","2014-07-08",19.309999
"168","2014-07-09",19.93
"169","2014-07-10",19.17
"170","2014-07-11",19.1
"171","2014-07-14",19.24
"172","2014-07-15",18.33
"173","2014-07-16",18.07
"174","2014-07-17",17.92
"175","2014-07-18",17.83
"176","2014-07-21",17.360001
"177","2014-07-22",17.92
"178","2014-07-23",17.700001
"179","2014-07-24",17.76
"180","2014-07-25",17.629999
"181","2014-07-28",17.190001
"182","2014-07-29",17.75
"183","2014-07-30",17.469999
"184","2014-07-31",16.950001
"185","2014-08-01",16.15
"186","2014-08-04",16.33
"187","2014-08-05",17.360001
"188","2014-08-06",17.620001
"189","2014-08-07",16.780001
"190","2014-08-08",16.52
"191","2014-08-11",16.5
"192","2014-08-12",16.200001
"193","2014-08-13",16.790001
"194","2014-08-14",16.709999
"195","2014-08-15",16.74
"196","2014-08-18",17.49
"197","2014-08-19",17.450001
"198","2014-08-20",16.9
"199","2014-08-21",17.6
"200","2014-08-22",16.77
"201","2014-08-25",16.92
"202","2014-08-26",16.74
"203","2014-08-27",16.5
"204","2014-08-28",16.23
"205","2014-08-29",16.459999
"206","2014-09-02",16.629999
