"","date","APRE"
"1","2019-10-03",20.5
"2","2019-10-04",19.07
"3","2019-10-07",20.25
"4","2019-10-08",18.940001
"5","2019-10-09",19.040001
"6","2019-10-10",19.440001
"7","2019-10-11",19.02
"8","2019-10-14",19.360001
"9","2019-10-15",19.33
"10","2019-10-16",19.5
"11","2019-10-17",20.48
"12","2019-10-18",21.4
"13","2019-10-21",26
"14","2019-10-22",24.700001
"15","2019-10-23",24.799999
"16","2019-10-24",25.700001
"17","2019-10-25",25.59
"18","2019-10-28",24.84
"19","2019-10-29",24.969999
"20","2019-10-30",23.68
"21","2019-10-31",24.15
"22","2019-11-01",24.969999
"23","2019-11-04",24.98
"24","2019-11-05",24.799999
"25","2019-11-06",25
"26","2019-11-07",24.18
"27","2019-11-08",24.875
"28","2019-11-11",24.99
"29","2019-11-12",24.01
"30","2019-11-13",24.5
"31","2019-11-14",27.040001
"32","2019-11-15",29.85
"33","2019-11-18",29.58
"34","2019-11-19",30.16
"35","2019-11-20",29.01
"36","2019-11-21",24.620001
"37","2019-11-22",25.57
"38","2019-11-25",23.870001
"39","2019-11-26",22.690001
"40","2019-11-27",23.549999
"41","2019-11-29",25.18
"42","2019-12-02",25.18
"43","2019-12-03",25.139999
"44","2019-12-04",25.610001
"45","2019-12-05",24.16
"46","2019-12-06",26.049999
"47","2019-12-09",27.32
"48","2019-12-10",30.690001
"49","2019-12-11",35.700001
"50","2019-12-12",39.369999
"51","2019-12-13",36.889999
"52","2019-12-16",33.299999
"53","2019-12-17",33.27
"54","2019-12-18",32.5
"55","2019-12-19",33.16
"56","2019-12-20",35.82
"57","2019-12-23",38.150002
"58","2019-12-24",39.619999
"59","2019-12-26",47.439999
"60","2019-12-27",49.529999
"61","2019-12-30",48.25
"62","2019-12-31",45.889999
"63","2020-01-02",45.299999
"64","2020-01-03",41
"65","2020-01-06",42.740002
"66","2020-01-07",43.560001
"67","2020-01-08",42.939999
"68","2020-01-09",42.029999
"69","2020-01-10",41.549999
"70","2020-01-13",38.419998
"71","2020-01-14",39.82
"72","2020-01-15",40.299999
"73","2020-01-16",42.459999
"74","2020-01-17",39.48
"75","2020-01-21",38.830002
"76","2020-01-22",40
"77","2020-01-23",40.34
"78","2020-01-24",38.580002
"79","2020-01-27",37.84
"80","2020-01-28",35.939999
"81","2020-01-29",35.849998
"82","2020-01-30",37.23
"83","2020-01-31",38.34
"84","2020-02-03",39.5
"85","2020-02-04",38.48
"86","2020-02-05",37.959999
"87","2020-02-06",36.02
"88","2020-02-07",35.110001
"89","2020-02-10",34.799999
"90","2020-02-11",34.619999
"91","2020-02-12",34.52
"92","2020-02-13",33.09
"93","2020-02-14",31.65
"94","2020-02-18",33.32
"95","2020-02-19",32.919998
"96","2020-02-20",33.599998
"97","2020-02-21",34.889999
"98","2020-02-24",36.380001
"99","2020-02-25",35
"100","2020-02-26",34.650002
"101","2020-02-27",34.099998
"102","2020-02-28",34.299999
"103","2020-03-02",36
"104","2020-03-03",35.389999
"105","2020-03-04",35.41
"106","2020-03-05",36.259998
"107","2020-03-06",36.34
"108","2020-03-09",32.860001
"109","2020-03-10",34.43
"110","2020-03-11",32.540001
"111","2020-03-12",31.82
"112","2020-03-13",41.09
"113","2020-03-16",35.310001
"114","2020-03-17",37
"115","2020-03-18",32.389999
"116","2020-03-19",35.630001
"117","2020-03-20",32.599998
"118","2020-03-23",35.470001
"119","2020-03-24",35.5
"120","2020-03-25",36
"121","2020-03-26",31.860001
"122","2020-03-27",34.75
"123","2020-03-30",33.490002
"124","2020-03-31",34.759998
"125","2020-04-01",32.290001
"126","2020-04-02",32.5
"127","2020-04-03",30.99
"128","2020-04-06",32.990002
"129","2020-04-07",32.23
"130","2020-04-08",33.040001
"131","2020-04-09",33.610001
"132","2020-04-13",33.799999
"133","2020-04-14",33.919998
"134","2020-04-15",34
"135","2020-04-16",34.029999
"136","2020-04-17",33.98
"137","2020-04-20",33.240002
"138","2020-04-21",34
"139","2020-04-22",33.880001
"140","2020-04-23",33.77
"141","2020-04-24",33.75
"142","2020-04-27",33.540001
"143","2020-04-28",33.970001
"144","2020-04-29",33.200001
"145","2020-04-30",31.790001
"146","2020-05-01",31.1
"147","2020-05-04",32.470001
"148","2020-05-05",33.639999
"149","2020-05-06",32.93
"150","2020-05-07",34.209999
"151","2020-05-08",35
"152","2020-05-11",37.400002
"153","2020-05-12",35.099998
"154","2020-05-13",33.549999
"155","2020-05-14",34.34
"156","2020-05-15",36.07
"157","2020-05-18",37.080002
"158","2020-05-19",30.92
"159","2020-05-20",32.689999
"160","2020-05-21",30.02
"161","2020-05-22",29
"162","2020-05-26",25.469999
"163","2020-05-27",25.719999
"164","2020-05-28",26.379999
"165","2020-05-29",26.860001
"166","2020-06-01",27.209999
"167","2020-06-02",26.18
"168","2020-06-03",26.559999
"169","2020-06-04",26.940001
"170","2020-06-05",27.01
"171","2020-06-08",28.610001
"172","2020-06-09",29.059999
"173","2020-06-10",30.73
"174","2020-06-11",30.049999
"175","2020-06-12",30.66
"176","2020-06-15",32.060001
"177","2020-06-16",34.119999
"178","2020-06-17",34.5
"179","2020-06-18",36.029999
"180","2020-06-19",37.900002
"181","2020-06-22",39.57
"182","2020-06-23",39.689999
"183","2020-06-24",38.82
"184","2020-06-25",39.299999
"185","2020-06-26",38.32
"186","2020-06-29",36.459999
"187","2020-06-30",38.779999
