"","date","TTOO"
"1","2014-08-07",14.32
"2","2014-08-08",13.4
"3","2014-08-11",13.7
"4","2014-08-12",15.16
"5","2014-08-13",16.77
"6","2014-08-14",17.290001
"7","2014-08-15",17
"8","2014-08-18",19.59
"9","2014-08-19",19.6
"10","2014-08-20",22.969999
"11","2014-08-21",20.43
"12","2014-08-22",21.74
"13","2014-08-25",21.32
"14","2014-08-26",22.209999
"15","2014-08-27",21.200001
"16","2014-08-28",22.1
"17","2014-08-29",23.209999
"18","2014-09-02",20.77
"19","2014-09-03",20.99
"20","2014-09-04",20
"21","2014-09-05",19.66
"22","2014-09-08",20.049999
"23","2014-09-09",19.59
"24","2014-09-10",18.549999
"25","2014-09-11",18.43
"26","2014-09-12",17.75
"27","2014-09-15",17.709999
"28","2014-09-16",17.23
"29","2014-09-17",16.969999
"30","2014-09-18",16.129999
"31","2014-09-19",16.17
"32","2014-09-22",16.93
"33","2014-09-23",18.549999
"34","2014-09-24",17.93
"35","2014-09-25",17.969999
"36","2014-09-26",18
"37","2014-09-29",17.790001
"38","2014-09-30",18.09
"39","2014-10-01",17.360001
"40","2014-10-02",17.700001
"41","2014-10-03",17.9
"42","2014-10-06",17.68
"43","2014-10-07",16.879999
"44","2014-10-08",16.879999
"45","2014-10-09",15.59
"46","2014-10-10",15.16
"47","2014-10-13",14.77
"48","2014-10-14",14.33
"49","2014-10-15",14.59
"50","2014-10-16",14.25
"51","2014-10-17",14.12
"52","2014-10-20",13.91
"53","2014-10-21",14.23
"54","2014-10-22",13.87
"55","2014-10-23",14.4
"56","2014-10-24",14.11
"57","2014-10-27",14.05
"58","2014-10-28",14.65
"59","2014-10-29",16.110001
"60","2014-10-30",16.27
"61","2014-10-31",16.15
"62","2014-11-03",15.38
"63","2014-11-04",15.04
"64","2014-11-05",14.16
"65","2014-11-06",14.56
"66","2014-11-07",14.89
"67","2014-11-10",15.26
"68","2014-11-11",15.32
"69","2014-11-12",14.53
"70","2014-11-13",14.87
"71","2014-11-14",15.95
"72","2014-11-17",15.89
"73","2014-11-18",16.41
"74","2014-11-19",15.96
"75","2014-11-20",15.31
"76","2014-11-21",16.59
"77","2014-11-24",17.68
"78","2014-11-25",17.9
