"","date","LL"
"1","2007-11-09",9.76
"2","2007-11-12",9.25
"3","2007-11-13",9.6
"4","2007-11-14",9
"5","2007-11-15",9.01
"6","2007-11-16",8.95
"7","2007-11-19",8.95
"8","2007-11-20",9.04
"9","2007-11-21",9.07
"10","2007-11-23",8.98
"11","2007-11-26",8.6
"12","2007-11-27",7.83
"13","2007-11-28",8.51
"14","2007-11-29",8.6
"15","2007-11-30",8.97
"16","2007-12-03",9.61
"17","2007-12-04",9.4
"18","2007-12-05",9.47
"19","2007-12-06",9.1
"20","2007-12-07",9.3
"21","2007-12-10",9.47
"22","2007-12-11",9.5
"23","2007-12-12",9.34
"24","2007-12-13",9.13
"25","2007-12-14",9.07
"26","2007-12-17",8.55
"27","2007-12-18",8.26
"28","2007-12-19",8.99
"29","2007-12-20",8.8
"30","2007-12-21",8.61
"31","2007-12-24",8.99
"32","2007-12-26",8.9
"33","2007-12-27",9.01
"34","2007-12-28",9.03
"35","2007-12-31",8.99
"36","2008-01-02",9.1
"37","2008-01-03",9.13
"38","2008-01-04",9.03
"39","2008-01-07",8.71
"40","2008-01-08",8.39
"41","2008-01-09",8.11
"42","2008-01-10",8.14
"43","2008-01-11",7.45
"44","2008-01-14",7.42
"45","2008-01-15",7.25
"46","2008-01-16",6.75
"47","2008-01-17",6.28
"48","2008-01-18",6.07
"49","2008-01-22",6.5
"50","2008-01-23",6.5
"51","2008-01-24",6.5
"52","2008-01-25",6.61
"53","2008-01-28",7.65
"54","2008-01-29",8.15
"55","2008-01-30",8.26
"56","2008-01-31",8.9
"57","2008-02-01",9.48
"58","2008-02-04",9.4
"59","2008-02-05",9.15
"60","2008-02-06",9.35
"61","2008-02-07",9.24
"62","2008-02-08",9.31
"63","2008-02-11",9.29
"64","2008-02-12",9.42
"65","2008-02-13",9.31
"66","2008-02-14",9.39
"67","2008-02-15",9.58
"68","2008-02-19",9.33
"69","2008-02-20",9.59
"70","2008-02-21",9.55
"71","2008-02-22",9.39
"72","2008-02-25",10.15
"73","2008-02-26",9.99
"74","2008-02-27",9.53
"75","2008-02-28",9
"76","2008-02-29",9.15
"77","2008-03-03",8.81
"78","2008-03-04",8.44
"79","2008-03-05",8.49
"80","2008-03-06",8.28
"81","2008-03-07",8.09
"82","2008-03-10",7.76
"83","2008-03-11",7.63
"84","2008-03-12",8.69
