"","date","TTI"
"1","2007-01-03",23
"2","2007-01-04",22.08
"3","2007-01-05",22.719999
"4","2007-01-08",22.620001
"5","2007-01-09",22.68
"6","2007-01-10",22.5
"7","2007-01-11",22.16
"8","2007-01-12",22.809999
"9","2007-01-16",23
"10","2007-01-17",23.09
"11","2007-01-18",22.58
"12","2007-01-19",23.559999
"13","2007-01-22",23.43
"14","2007-01-23",24.18
"15","2007-01-24",24.219999
"16","2007-01-25",23.26
"17","2007-01-26",23.1
"18","2007-01-29",22.73
"19","2007-01-30",23.190001
"20","2007-01-31",23.16
"21","2007-02-01",23.200001
"22","2007-02-02",23.360001
"23","2007-02-05",23.52
"24","2007-02-06",23.6
"25","2007-02-07",23.18
"26","2007-02-08",23.389999
"27","2007-02-09",23.09
"28","2007-02-12",22.639999
"29","2007-02-13",22.52
"30","2007-02-14",22.23
"31","2007-02-15",22.23
"32","2007-02-16",22.440001
"33","2007-02-20",22.35
"34","2007-02-21",22.290001
"35","2007-02-22",22.75
"36","2007-02-23",23.040001
"37","2007-02-26",23.35
"38","2007-02-27",22.610001
"39","2007-02-28",22.18
"40","2007-03-01",22.09
"41","2007-03-02",21.809999
"42","2007-03-05",21.790001
"43","2007-03-06",22.360001
"44","2007-03-07",23.030001
"45","2007-03-08",23.049999
"46","2007-03-09",23.01
"47","2007-03-12",23
"48","2007-03-13",22.76
"49","2007-03-14",22.93
"50","2007-03-15",22.950001
"51","2007-03-16",22.91
"52","2007-03-19",23.5
"53","2007-03-20",23.700001
"54","2007-03-21",24.26
"55","2007-03-22",24.549999
"56","2007-03-23",24.93
"57","2007-03-26",25.370001
"58","2007-03-27",24.49
"59","2007-03-28",24.549999
"60","2007-03-29",25.51
"61","2007-03-30",24.709999
"62","2007-04-02",25.209999
"63","2007-04-03",25.16
"64","2007-04-04",25.049999
"65","2007-04-05",25.110001
"66","2007-04-09",25.25
"67","2007-04-10",26.32
"68","2007-04-11",26.440001
"69","2007-04-12",27.07
"70","2007-04-13",27.299999
"71","2007-04-16",27.58
"72","2007-04-17",27.110001
"73","2007-04-18",26.690001
"74","2007-04-19",26.290001
"75","2007-04-20",26.440001
"76","2007-04-23",26.52
"77","2007-04-24",26.610001
"78","2007-04-25",27.08
"79","2007-04-26",27.200001
"80","2007-04-27",27.17
"81","2007-04-30",26.49
"82","2007-05-01",26.6
"83","2007-05-02",27.15
"84","2007-05-03",27.23
"85","2007-05-04",26.76
"86","2007-05-07",25.959999
"87","2007-05-08",26.549999
"88","2007-05-09",26.4
"89","2007-05-10",26.040001
"90","2007-05-11",26.84
"91","2007-05-14",27.639999
"92","2007-05-15",27.459999
"93","2007-05-16",27.040001
"94","2007-05-17",27.93
"95","2007-05-18",27.98
"96","2007-05-21",27.969999
"97","2007-05-22",27.790001
"98","2007-05-23",27.6
"99","2007-05-24",26.700001
"100","2007-05-25",27.120001
"101","2007-05-29",27.33
"102","2007-05-30",27.879999
"103","2007-05-31",27.93
"104","2007-06-01",27.92
"105","2007-06-04",28.49
"106","2007-06-05",28.6
"107","2007-06-06",28.219999
"108","2007-06-07",26.9
"109","2007-06-08",26.09
"110","2007-06-11",26.25
"111","2007-06-12",25.799999
"112","2007-06-13",26.1
"113","2007-06-14",26.969999
"114","2007-06-15",27.15
"115","2007-06-18",27.68
"116","2007-06-19",27.85
"117","2007-06-20",26.799999
"118","2007-06-21",27.290001
"119","2007-06-22",27.219999
"120","2007-06-25",26.4
"121","2007-06-26",26.32
"122","2007-06-27",26.620001
"123","2007-06-28",28
"124","2007-06-29",28.200001
"125","2007-07-02",28.68
"126","2007-07-03",29.030001
