"","date","RFIL"
"1","2007-01-03",3.665
"2","2007-01-04",3.825
"3","2007-01-05",3.89
"4","2007-01-08",4.04
"5","2007-01-09",4.025
"6","2007-01-10",4.015
"7","2007-01-11",4.015
"8","2007-01-12",3.97
"9","2007-01-16",4.09
"10","2007-01-17",4.085
"11","2007-01-18",4
"12","2007-01-19",4
"13","2007-01-22",4
"14","2007-01-23",3.985
"15","2007-01-24",4.11
"16","2007-01-25",4.03
"17","2007-01-26",3.95
"18","2007-01-29",4.395
"19","2007-01-30",4.285
"20","2007-01-31",4.17
"21","2007-02-01",3.99
"22","2007-02-02",3.905
"23","2007-02-05",4.015
"24","2007-02-06",3.865
"25","2007-02-07",3.875
"26","2007-02-08",4.005
"27","2007-02-09",4
"28","2007-02-12",4.105
"29","2007-02-13",4.175
"30","2007-02-14",4.105
"31","2007-02-15",4.045
"32","2007-02-16",4.06
"33","2007-02-20",4.06
"34","2007-02-21",3.98
"35","2007-02-22",3.945
"36","2007-02-23",3.9
"37","2007-02-26",3.92
"38","2007-02-27",3.75
"39","2007-02-28",3.825
"40","2007-03-01",3.775
"41","2007-03-02",3.725
"42","2007-03-05",3.515
"43","2007-03-06",3.725
"44","2007-03-07",3.63
"45","2007-03-08",3.7
"46","2007-03-09",3.73
"47","2007-03-12",3.75
"48","2007-03-13",3.645
"49","2007-03-14",3.575
"50","2007-03-15",3.575
"51","2007-03-16",3.74
"52","2007-03-19",3.625
"53","2007-03-20",3.04
"54","2007-03-21",2.99
"55","2007-03-22",2.89
"56","2007-03-23",2.775
"57","2007-03-26",2.93
"58","2007-03-27",2.88
"59","2007-03-28",2.835
"60","2007-03-29",2.79
"61","2007-03-30",2.78
"62","2007-04-02",2.7
"63","2007-04-03",2.79
"64","2007-04-04",2.93
"65","2007-04-05",2.845
"66","2007-04-09",2.73
"67","2007-04-10",2.885
"68","2007-04-11",2.87
"69","2007-04-12",2.9
"70","2007-04-13",2.78
"71","2007-04-16",2.82
"72","2007-04-17",2.875
"73","2007-04-18",2.92
"74","2007-04-19",2.915
"75","2007-04-20",2.865
"76","2007-04-23",2.86
"77","2007-04-24",2.92
"78","2007-04-25",2.89
"79","2007-04-26",2.905
"80","2007-04-27",2.9
"81","2007-04-30",2.865
"82","2007-05-01",2.92
"83","2007-05-02",2.915
"84","2007-05-03",2.93
"85","2007-05-04",2.95
"86","2007-05-07",2.925
"87","2007-05-08",3.005
"88","2007-05-09",3.015
"89","2007-05-10",3.005
"90","2007-05-11",3.025
"91","2007-05-14",3.01
"92","2007-05-15",3
"93","2007-05-16",2.99
"94","2007-05-17",2.95
"95","2007-05-18",2.965
"96","2007-05-21",2.97
"97","2007-05-22",2.98
"98","2007-05-23",2.95
"99","2007-05-24",2.915
"100","2007-05-25",2.9
"101","2007-05-29",2.9
"102","2007-05-30",2.9
"103","2007-05-31",2.885
"104","2007-06-01",2.845
"105","2007-06-04",2.825
"106","2007-06-05",2.845
"107","2007-06-06",2.8
"108","2007-06-07",2.765
"109","2007-06-08",2.8
"110","2007-06-11",2.8
"111","2007-06-12",2.725
"112","2007-06-13",2.77
"113","2007-06-14",2.9
"114","2007-06-15",2.855
"115","2007-06-18",2.83
"116","2007-06-19",2.88
"117","2007-06-20",2.855
"118","2007-06-21",2.85
"119","2007-06-22",2.825
"120","2007-06-25",2.8
"121","2007-06-26",2.815
"122","2007-06-27",2.81
"123","2007-06-28",2.8
"124","2007-06-29",2.8
"125","2007-07-02",2.795
"126","2007-07-03",2.78
"127","2007-07-05",2.735
"128","2007-07-06",2.75
"129","2007-07-09",2.745
"130","2007-07-10",2.775
"131","2007-07-11",2.745
"132","2007-07-12",2.72
"133","2007-07-13",2.745
"134","2007-07-16",2.76
"135","2007-07-17",2.84
"136","2007-07-18",2.865
"137","2007-07-19",2.83
"138","2007-07-20",2.85
"139","2007-07-23",2.835
"140","2007-07-24",2.865
"141","2007-07-25",2.87
"142","2007-07-26",2.805
"143","2007-07-27",2.83
"144","2007-07-30",2.85
"145","2007-07-31",2.865
"146","2007-08-01",2.815
"147","2007-08-02",2.82
"148","2007-08-03",2.885
"149","2007-08-06",2.87
"150","2007-08-07",2.885
"151","2007-08-08",2.85
"152","2007-08-09",2.765
"153","2007-08-10",2.825
"154","2007-08-13",2.845
"155","2007-08-14",2.785
"156","2007-08-15",2.75
"157","2007-08-16",2.7
"158","2007-08-17",2.745
"159","2007-08-20",2.78
"160","2007-08-21",2.875
"161","2007-08-22",2.83
"162","2007-08-23",2.87
"163","2007-08-24",2.775
"164","2007-08-27",2.85
"165","2007-08-28",2.845
"166","2007-08-29",2.825
"167","2007-08-30",2.785
"168","2007-08-31",2.865
