"","date","KR"
"1","2007-01-03",11.585
"2","2007-01-04",11.795
"3","2007-01-05",11.8
"4","2007-01-08",11.83
"5","2007-01-09",11.825
"6","2007-01-10",11.85
"7","2007-01-11",11.885
"8","2007-01-12",11.79
"9","2007-01-16",11.875
"10","2007-01-17",11.86
"11","2007-01-18",11.9
"12","2007-01-19",12.06
"13","2007-01-22",12.15
"14","2007-01-23",12.165
"15","2007-01-24",12.18
"16","2007-01-25",12.035
"17","2007-01-26",12.255
"18","2007-01-29",12.515
"19","2007-01-30",12.78
"20","2007-01-31",12.8
"21","2007-02-01",12.86
"22","2007-02-02",12.925
"23","2007-02-05",12.985
"24","2007-02-06",12.86
"25","2007-02-07",13.07
"26","2007-02-08",12.975
"27","2007-02-09",12.94
"28","2007-02-12",12.95
"29","2007-02-13",12.91
"30","2007-02-14",13.045
"31","2007-02-15",13.1
"32","2007-02-16",13.235
"33","2007-02-20",13.255
"34","2007-02-21",13.235
"35","2007-02-22",13
"36","2007-02-23",12.835
"37","2007-02-26",12.875
"38","2007-02-27",12.485
"39","2007-02-28",12.82
"40","2007-03-01",12.765
"41","2007-03-02",12.675
"42","2007-03-05",12.605
"43","2007-03-06",12.57
"44","2007-03-07",12.465
"45","2007-03-08",12.785
"46","2007-03-09",12.645
"47","2007-03-12",12.88
"48","2007-03-13",13.145
"49","2007-03-14",13.285
"50","2007-03-15",13.375
"51","2007-03-16",13.3
"52","2007-03-19",13.52
"53","2007-03-20",13.975
"54","2007-03-21",14.095
"55","2007-03-22",14.175
"56","2007-03-23",14.155
"57","2007-03-26",14.315
"58","2007-03-27",14.195
"59","2007-03-28",14.175
"60","2007-03-29",14
"61","2007-03-30",14.125
"62","2007-04-02",14.275
"63","2007-04-03",14.5
"64","2007-04-04",14.675
"65","2007-04-05",14.555
"66","2007-04-09",14.61
"67","2007-04-10",14.745
"68","2007-04-11",14.45
"69","2007-04-12",14.44
"70","2007-04-13",14.33
"71","2007-04-16",14.7
"72","2007-04-17",14.675
"73","2007-04-18",14.7
"74","2007-04-19",15.04
"75","2007-04-20",15.005
"76","2007-04-23",15.1
"77","2007-04-24",14.82
"78","2007-04-25",14.955
"79","2007-04-26",14.745
"80","2007-04-27",14.865
"81","2007-04-30",14.755
"82","2007-05-01",14.72
"83","2007-05-02",14.885
"84","2007-05-03",14.855
"85","2007-05-04",14.76
"86","2007-05-07",14.81
"87","2007-05-08",14.655
"88","2007-05-09",14.54
"89","2007-05-10",14.425
"90","2007-05-11",14.425
"91","2007-05-14",14.555
"92","2007-05-15",14.57
"93","2007-05-16",14.725
"94","2007-05-17",14.7
"95","2007-05-18",14.795
"96","2007-05-21",14.76
"97","2007-05-22",14.765
"98","2007-05-23",14.76
"99","2007-05-24",14.64
"100","2007-05-25",14.775
"101","2007-05-29",14.99
"102","2007-05-30",15.03
"103","2007-05-31",15.16
"104","2007-06-01",15.705
"105","2007-06-04",15.145
"106","2007-06-05",14.96
"107","2007-06-06",14.95
"108","2007-06-07",14.76
"109","2007-06-08",14.775
"110","2007-06-11",14.95
"111","2007-06-12",14.7
"112","2007-06-13",15.02
"113","2007-06-14",15.215
"114","2007-06-15",15.325
"115","2007-06-18",15.145
"116","2007-06-19",15.175
"117","2007-06-20",15.1
"118","2007-06-21",15.045
"119","2007-06-22",14.55
"120","2007-06-25",14.83
"121","2007-06-26",13.83
"122","2007-06-27",14.125
"123","2007-06-28",14.135
"124","2007-06-29",14.065
"125","2007-07-02",14.38
"126","2007-07-03",14.26
"127","2007-07-05",14.045
"128","2007-07-06",14.115
"129","2007-07-09",14.16
"130","2007-07-10",14.025
"131","2007-07-11",14.065
"132","2007-07-12",14.515
"133","2007-07-13",14.405
"134","2007-07-16",14.585
"135","2007-07-17",14.455
"136","2007-07-18",14.55
"137","2007-07-19",14.375
"138","2007-07-20",14.17
"139","2007-07-23",14.295
"140","2007-07-24",13.88
"141","2007-07-25",13.68
"142","2007-07-26",13.4
"143","2007-07-27",13.16
"144","2007-07-30",13.24
"145","2007-07-31",12.98
"146","2007-08-01",13.5
"147","2007-08-02",13.4
"148","2007-08-03",12.915
"149","2007-08-06",13.23
"150","2007-08-07",13.125
"151","2007-08-08",12.725
"152","2007-08-09",12.415
"153","2007-08-10",12.73
"154","2007-08-13",12.73
"155","2007-08-14",12.54
"156","2007-08-15",12.42
"157","2007-08-16",12.4
"158","2007-08-17",13.045
"159","2007-08-20",12.93
"160","2007-08-21",13.075
"161","2007-08-22",13.205
"162","2007-08-23",13.2
"163","2007-08-24",13.69
"164","2007-08-27",13.305
"165","2007-08-28",12.81
"166","2007-08-29",13.085
"167","2007-08-30",12.84
"168","2007-08-31",13.29
"169","2007-09-04",13.21
"170","2007-09-05",12.835
"171","2007-09-06",12.95
"172","2007-09-07",12.725
"173","2007-09-10",12.91
"174","2007-09-11",13.365
"175","2007-09-12",13.22
"176","2007-09-13",13.35
"177","2007-09-14",13.585
"178","2007-09-17",13.51
"179","2007-09-18",14.545
"180","2007-09-19",14.5
"181","2007-09-20",14.31
"182","2007-09-21",14.27
"183","2007-09-24",14.13
"184","2007-09-25",14.06
"185","2007-09-26",14.08
"186","2007-09-27",14.29
"187","2007-09-28",14.26
"188","2007-10-01",14.375
"189","2007-10-02",14.315
"190","2007-10-03",14.35
"191","2007-10-04",14.38
"192","2007-10-05",14.5
"193","2007-10-08",14.375
"194","2007-10-09",14.375
"195","2007-10-10",14.42
"196","2007-10-11",14.525
"197","2007-10-12",14.91
"198","2007-10-15",14.655
"199","2007-10-16",14.29
"200","2007-10-17",14.255
"201","2007-10-18",14.055
"202","2007-10-19",14.005
"203","2007-10-22",14.31
"204","2007-10-23",14.205
"205","2007-10-24",14.3
"206","2007-10-25",14.385
"207","2007-10-26",14.34
"208","2007-10-29",14.58
"209","2007-10-30",14.54
"210","2007-10-31",14.695
"211","2007-11-01",14.1
"212","2007-11-02",14.165
"213","2007-11-05",14.01
"214","2007-11-06",13.92
"215","2007-11-07",13.665
"216","2007-11-08",13.68
"217","2007-11-09",13.355
"218","2007-11-12",13.355
"219","2007-11-13",13.91
"220","2007-11-14",14.005
"221","2007-11-15",13.845
"222","2007-11-16",14.325
"223","2007-11-19",14.155
"224","2007-11-20",14.14
"225","2007-11-21",14.115
"226","2007-11-23",14
"227","2007-11-26",14
"228","2007-11-27",13.92
"229","2007-11-28",14.27
"230","2007-11-29",14.14
"231","2007-11-30",14.375
"232","2007-12-03",14.445
"233","2007-12-04",14.145
"234","2007-12-05",14.125
"235","2007-12-06",14.065
"236","2007-12-07",14.195
"237","2007-12-10",14.17
"238","2007-12-11",13.235
"239","2007-12-12",12.985
"240","2007-12-13",13.105
"241","2007-12-14",13.105
"242","2007-12-17",12.865
"243","2007-12-18",13.085
"244","2007-12-19",12.94
"245","2007-12-20",13.305
"246","2007-12-21",13.4
"247","2007-12-24",13.715
"248","2007-12-26",13.515
"249","2007-12-27",13.445
"250","2007-12-28",13.485
"251","2007-12-31",13.355
"252","2008-01-02",12.835
"253","2008-01-03",12.915
"254","2008-01-04",12.67
"255","2008-01-07",12.785
"256","2008-01-08",12.775
"257","2008-01-09",13.165
"258","2008-01-10",13.55
"259","2008-01-11",13.225
"260","2008-01-14",12.925
"261","2008-01-15",12.755
"262","2008-01-16",13.25
"263","2008-01-17",12.805
"264","2008-01-18",12.695
"265","2008-01-22",12.715
"266","2008-01-23",13.32
"267","2008-01-24",12.97
"268","2008-01-25",12.65
"269","2008-01-28",12.68
"270","2008-01-29",12.64
"271","2008-01-30",12.585
"272","2008-01-31",12.725
"273","2008-02-01",12.99
"274","2008-02-04",13
"275","2008-02-05",12.675
"276","2008-02-06",12.67
"277","2008-02-07",12.675
"278","2008-02-08",12.86
"279","2008-02-11",12.985
"280","2008-02-12",12.89
"281","2008-02-13",13.23
"282","2008-02-14",13.14
"283","2008-02-15",13.435
"284","2008-02-19",13.175
"285","2008-02-20",13.15
"286","2008-02-21",12.655
"287","2008-02-22",12.87
"288","2008-02-25",12.9
"289","2008-02-26",12.97
"290","2008-02-27",12.73
"291","2008-02-28",12.585
"292","2008-02-29",12.125
"293","2008-03-03",12.415
"294","2008-03-04",12.505
"295","2008-03-05",12.555
"296","2008-03-06",12.59
"297","2008-03-07",12.83
"298","2008-03-10",12.66
"299","2008-03-11",13
"300","2008-03-12",12.535
"301","2008-03-13",12.5
"302","2008-03-14",12.145
"303","2008-03-17",12.265
"304","2008-03-18",12.585
"305","2008-03-19",12.465
"306","2008-03-20",12.7
"307","2008-03-24",12.62
"308","2008-03-25",12.725
"309","2008-03-26",12.585
"310","2008-03-27",12.375
"311","2008-03-28",12.58
"312","2008-03-31",12.7
"313","2008-04-01",12.91
"314","2008-04-02",12.78
"315","2008-04-03",12.69
"316","2008-04-04",12.6
"317","2008-04-07",12.39
"318","2008-04-08",12.345
"319","2008-04-09",12.08
"320","2008-04-10",12.27
"321","2008-04-11",11.945
"322","2008-04-14",11.81
"323","2008-04-15",11.995
"324","2008-04-16",12.065
"325","2008-04-17",12.335
"326","2008-04-18",12.5
"327","2008-04-21",12.655
"328","2008-04-22",12.315
"329","2008-04-23",12.71
"330","2008-04-24",13.12
"331","2008-04-25",13.195
"332","2008-04-28",13.04
"333","2008-04-29",13.625
"334","2008-04-30",13.625
"335","2008-05-01",13.91
"336","2008-05-02",13.685
"337","2008-05-05",13.63
"338","2008-05-06",13.52
"339","2008-05-07",13.45
"340","2008-05-08",13.245
"341","2008-05-09",13.15
"342","2008-05-12",13.59
"343","2008-05-13",13.355
"344","2008-05-14",13.74
