"","date","JWS"
"1","2020-07-02",5
"2","2020-07-06",10.2
"3","2020-07-07",10.17
"4","2020-07-08",10.1
"5","2020-07-09",10.108
"6","2020-07-10",10.48
"7","2020-07-13",10.3
"8","2020-07-14",10.28
"9","2020-07-15",10.25
"10","2020-07-16",10.35
"11","2020-07-17",10.464
"12","2020-07-20",10.38
"13","2020-07-21",10.404
"14","2020-07-22",10.47
"15","2020-07-23",11.18
"16","2020-07-24",11.35
"17","2020-07-27",11.24
"18","2020-07-28",11.23
"19","2020-07-29",10.94
"20","2020-07-30",10.5
"21","2020-07-31",10.39
"22","2020-08-03",10.39
"23","2020-08-04",10.4
"24","2020-08-05",10.319
"25","2020-08-06",10.3
"26","2020-08-07",10.462
"27","2020-08-10",10.39
"28","2020-08-11",10.5
"29","2020-08-12",10.5
"30","2020-08-13",10.33
"31","2020-08-14",10.18
"32","2020-08-17",10.28
"33","2020-08-18",10.1
"34","2020-08-19",10.08
"35","2020-08-20",10.09
"36","2020-08-21",10.15
"37","2020-08-24",10.15
"38","2020-08-25",10.18
"39","2020-08-26",10.15
"40","2020-08-27",10.15
"41","2020-08-28",10.15
"42","2020-08-31",10.08
"43","2020-09-01",10.1
"44","2020-09-02",10.28
"45","2020-09-03",10.53
"46","2020-09-04",10.83
"47","2020-09-08",10.6
"48","2020-09-09",10.53
"49","2020-09-10",10.4
"50","2020-09-11",10.44
"51","2020-09-14",10.5
"52","2020-09-15",10.54
"53","2020-09-16",10.85
"54","2020-09-17",10.825
"55","2020-09-18",10.97
"56","2020-09-21",10.93
"57","2020-09-22",10.75
"58","2020-09-23",10.53
"59","2020-09-24",10.57
"60","2020-09-25",10.5
"61","2020-09-28",10.4
"62","2020-09-29",10.5
"63","2020-09-30",10.41
"64","2020-10-01",10.31
"65","2020-10-02",10.33
"66","2020-10-05",10.265
"67","2020-10-06",10.13
"68","2020-10-07",10.17
"69","2020-10-08",10.18
"70","2020-10-09",10.25
"71","2020-10-12",10.2
"72","2020-10-13",10.15
"73","2020-10-14",10.15
"74","2020-10-15",10.15
"75","2020-10-16",10.25
"76","2020-10-19",10.28
"77","2020-10-20",10.2
"78","2020-10-21",10.18
"79","2020-10-22",10.14
"80","2020-10-23",10.13
"81","2020-10-26",10.03
"82","2020-10-27",10.03
"83","2020-10-28",10.02
"84","2020-10-29",9.97
"85","2020-10-30",10.08
"86","2020-11-02",10.03
"87","2020-11-03",10.08
"88","2020-11-04",10
"89","2020-11-05",10.04
"90","2020-11-06",10.04
"91","2020-11-09",10.08
"92","2020-11-10",10.13
"93","2020-11-11",10.13
"94","2020-11-12",11.73
"95","2020-11-13",11.97
"96","2020-11-16",11.8
"97","2020-11-17",11.49
"98","2020-11-18",11.33
"99","2020-11-19",11.35
"100","2020-11-20",11.26
"101","2020-11-23",11.21
"102","2020-11-24",11.18
"103","2020-11-25",11.16
"104","2020-11-27",11.32
