"","date","CIO"
"1","2014-04-15",12.4
"2","2014-04-16",12.32
"3","2014-04-17",12.4
"4","2014-04-21",12.53
"5","2014-04-22",12.55
"6","2014-04-23",12.57
"7","2014-04-24",12.41
"8","2014-04-25",12.47
"9","2014-04-28",12.53
"10","2014-04-29",12.46
"11","2014-04-30",12.53
"12","2014-05-01",12.54
"13","2014-05-02",12.49
"14","2014-05-05",12.57
"15","2014-05-06",12.49
"16","2014-05-07",12.49
"17","2014-05-08",12.52
"18","2014-05-09",12.46
"19","2014-05-12",12.48
"20","2014-05-13",12.46
"21","2014-05-14",12.53
"22","2014-05-15",12.5
"23","2014-05-16",12.49
"24","2014-05-19",12.46
"25","2014-05-20",12.45
"26","2014-05-21",12.44
"27","2014-05-22",12.37
"28","2014-05-23",12.44
"29","2014-05-27",12.38
"30","2014-05-28",12.39
"31","2014-05-29",12.36
"32","2014-05-30",12.42
"33","2014-06-02",12.44
"34","2014-06-03",12.45
"35","2014-06-04",12.49
"36","2014-06-05",12.54
"37","2014-06-06",12.5
"38","2014-06-09",12.5
"39","2014-06-10",12.5
"40","2014-06-11",12.5
"41","2014-06-12",12.6
"42","2014-06-13",12.77
"43","2014-06-16",12.95
"44","2014-06-17",12.79
"45","2014-06-18",12.75
"46","2014-06-19",12.48
"47","2014-06-20",11.91
"48","2014-06-23",12.38
"49","2014-06-24",12.67
"50","2014-06-25",12.71
"51","2014-06-26",12.77
"52","2014-06-27",12.59
"53","2014-06-30",12.68
"54","2014-07-01",12.65
"55","2014-07-02",12.56
"56","2014-07-03",12.65
"57","2014-07-07",12.72
"58","2014-07-08",12.75
"59","2014-07-09",12.58
"60","2014-07-10",12.84
"61","2014-07-11",12.97
"62","2014-07-14",12.84
"63","2014-07-15",12.74
"64","2014-07-16",12.76
"65","2014-07-17",12.87
"66","2014-07-18",12.87
"67","2014-07-21",12.75
"68","2014-07-22",12.7
"69","2014-07-23",12.94
"70","2014-07-24",12.58
"71","2014-07-25",12.55
"72","2014-07-28",12.59
"73","2014-07-29",12.52
"74","2014-07-30",12.56
"75","2014-07-31",12.51
"76","2014-08-01",12.47
"77","2014-08-04",12.34
"78","2014-08-05",12.8
"79","2014-08-06",12.5
"80","2014-08-07",12.52
"81","2014-08-08",12.54
"82","2014-08-11",12.55
"83","2014-08-12",12.5
"84","2014-08-13",12.49
"85","2014-08-14",12.55
"86","2014-08-15",12.6
"87","2014-08-18",12.52
"88","2014-08-19",12.65
"89","2014-08-20",12.78
"90","2014-08-21",12.7
"91","2014-08-22",12.69
"92","2014-08-25",12.73
"93","2014-08-26",12.79
"94","2014-08-27",13.09
"95","2014-08-28",13.02
"96","2014-08-29",12.86
"97","2014-09-02",12.82
"98","2014-09-03",12.57
"99","2014-09-04",12.51
"100","2014-09-05",12.88
"101","2014-09-08",12.89
"102","2014-09-09",12.91
