"","date","IMKTA"
"1","2007-01-03",30.84
"2","2007-01-04",31.450001
"3","2007-01-05",31.08
"4","2007-01-08",32.310001
"5","2007-01-09",32.880001
"6","2007-01-10",33.110001
"7","2007-01-11",33.860001
"8","2007-01-12",34.09
"9","2007-01-16",33.490002
"10","2007-01-17",33.43
"11","2007-01-18",33.23
"12","2007-01-19",33.18
"13","2007-01-22",33.25
"14","2007-01-23",33.869999
"15","2007-01-24",34
"16","2007-01-25",34.049999
"17","2007-01-26",34.16
"18","2007-01-29",35.32
"19","2007-01-30",36.810001
"20","2007-01-31",36.619999
"21","2007-02-01",40
"22","2007-02-02",40.75
"23","2007-02-05",39.970001
"24","2007-02-06",39.970001
"25","2007-02-07",40
"26","2007-02-08",41.919998
"27","2007-02-09",40.880001
"28","2007-02-12",41.5
"29","2007-02-13",41.77
"30","2007-02-14",41.709999
"31","2007-02-15",41.759998
"32","2007-02-16",42.59
"33","2007-02-20",42.34
"34","2007-02-21",41.970001
"35","2007-02-22",42.209999
"36","2007-02-23",41.720001
"37","2007-02-26",41.43
"38","2007-02-27",37.990002
"39","2007-02-28",38.18
"40","2007-03-01",37.25
"41","2007-03-02",36.27
"42","2007-03-05",35.470001
"43","2007-03-06",36.369999
"44","2007-03-07",36.34
"45","2007-03-08",37.630001
"46","2007-03-09",38.16
"47","2007-03-12",37.830002
"48","2007-03-13",36.790001
"49","2007-03-14",37.27
"50","2007-03-15",37.16
"51","2007-03-16",37.950001
"52","2007-03-19",38.43
"53","2007-03-20",38.959999
"54","2007-03-21",40.240002
"55","2007-03-22",41.32
"56","2007-03-23",41.459999
"57","2007-03-26",42.029999
"58","2007-03-27",41.810001
"59","2007-03-28",41.049999
"60","2007-03-29",41.119999
"61","2007-03-30",40.84
"62","2007-04-02",41.259998
"63","2007-04-03",41.400002
"64","2007-04-04",41.099998
"65","2007-04-05",41.650002
"66","2007-04-09",40.66
"67","2007-04-10",40.549999
"68","2007-04-11",40.540001
"69","2007-04-12",40.610001
"70","2007-04-13",40.93
"71","2007-04-16",40.259998
"72","2007-04-17",40.139999
"73","2007-04-18",39.119999
"74","2007-04-19",38.84
"75","2007-04-20",39.560001
"76","2007-04-23",39.740002
"77","2007-04-24",36.16
"78","2007-04-25",38.700001
"79","2007-04-26",38.040001
"80","2007-04-27",37.84
"81","2007-04-30",35.959999
"82","2007-05-01",35.389999
"83","2007-05-02",35.349998
"84","2007-05-03",36.130001
"85","2007-05-04",36.860001
"86","2007-05-07",35.91
"87","2007-05-08",35.049999
"88","2007-05-09",34.990002
"89","2007-05-10",34.509998
"90","2007-05-11",35.27
"91","2007-05-14",35.650002
"92","2007-05-15",35.34
"93","2007-05-16",36.639999
"94","2007-05-17",35.73
"95","2007-05-18",35.889999
"96","2007-05-21",35.689999
"97","2007-05-22",36.299999
"98","2007-05-23",35.200001
"99","2007-05-24",34.740002
"100","2007-05-25",34.560001
"101","2007-05-29",35.389999
"102","2007-05-30",36.150002
"103","2007-05-31",35.689999
"104","2007-06-01",36.169998
"105","2007-06-04",36.310001
"106","2007-06-05",35.990002
"107","2007-06-06",34.880001
"108","2007-06-07",34.580002
"109","2007-06-08",34.759998
"110","2007-06-11",35.32
"111","2007-06-12",35.02
"112","2007-06-13",35.939999
"113","2007-06-14",35.470001
"114","2007-06-15",35.740002
"115","2007-06-18",35.259998
"116","2007-06-19",34.790001
"117","2007-06-20",33.650002
"118","2007-06-21",33.950001
"119","2007-06-22",32.950001
