"","date","BNL"
"1","2020-09-17",16.299999
"2","2020-09-18",16.75
"3","2020-09-21",16.450001
"4","2020-09-22",16.26
"5","2020-09-23",16.360001
"6","2020-09-24",16.57
"7","2020-09-25",16.59
"8","2020-09-28",17
"9","2020-09-29",16.790001
"10","2020-09-30",16.780001
"11","2020-10-01",16.68
"12","2020-10-02",16.85
"13","2020-10-05",16.959999
"14","2020-10-06",16.84
"15","2020-10-07",16.799999
"16","2020-10-08",16.799999
"17","2020-10-09",16.76
"18","2020-10-12",16.9
"19","2020-10-13",16.76
"20","2020-10-14",16.719999
"21","2020-10-15",16.790001
"22","2020-10-16",17.02
"23","2020-10-19",16.610001
"24","2020-10-20",16.73
"25","2020-10-21",16.6
"26","2020-10-22",16.58
"27","2020-10-23",16.77
"28","2020-10-26",16.74
"29","2020-10-27",16.75
"30","2020-10-28",16.389999
"31","2020-10-29",16.620001
"32","2020-10-30",16.5
"33","2020-11-02",16.48
"34","2020-11-03",16.26
"35","2020-11-04",16.190001
"36","2020-11-05",16.5
"37","2020-11-06",16.469999
"38","2020-11-09",16.74
"39","2020-11-10",16.98
"40","2020-11-11",17.030001
"41","2020-11-12",17
"42","2020-11-13",17.030001
"43","2020-11-16",17.360001
"44","2020-11-17",17.790001
"45","2020-11-18",17.389999
"46","2020-11-19",17.530001
"47","2020-11-20",17.5
"48","2020-11-23",17.459999
"49","2020-11-24",17.700001
"50","2020-11-25",18.09
"51","2020-11-27",17.940001
